,Shops
0,"http://WWW.GLASSRACK.NET
"
1,"http://apartysource.com
"
2,"http://brittandjules.com
"
3,"http://clickserve.cc-dt.com/link/click?lid=41000000005587322
"
4,"http://discountdecorativeflags.com
"
5,"http://gate4great.info/
"
6,"http://gurneys.com
"
7,"http://livingsocial.com
"
8,"http://my-bio-zen.com
"
9,"http://parkseed.com
"
10,"http://pinkboxaccessories.com
"
11,"http://poshmark.com
"
12,"http://samsclub.com
"
13,"http://shop.nhl.com
"
14,"http://shopping.franklincovey.com
"
15,"http://soccer.epicsports.com
"
16,"http://store.yahoo.com/cgi-bin/clink?dragonballzcentral+eBT9Zm+index.html
"
17,"http://store.yahoo.com/cgi-bin/clink?landfallnav+jqfRKG+index.html
"
18,"http://strongsupplementshop.com
"
19,"http://www.1800lighting.com
"
20,"http://www.CatalogFavorites.com/
"
21,"http://www.CenturyNovelty.com
"
22,"http://www.DisneyStore.com
"
23,"http://www.Educents.com
"
24,"http://www.Fanatics.com
"
25,"http://www.JustArtifacts.net
"
26,"http://www.MidwayUSA.com
"
27,"http://www.PartySpin.com
"
28,"http://www.PulseTV.com
"
29,"http://www.ReStockIt.com
"
30,"http://www.SchoolOutfitters.com
"
31,"http://www.agrisupply.com
"
32,"http://www.allivet.com
"
33,"http://www.allposters.com
"
34,"http://www.amazon.com
"
35,"http://www.amazon.com/
"
36,"http://www.americanbookwarehouse.com
"
37,"http://www.amsterdamprinting.com
"
38,"http://www.aninebing.com/
"
39,"http://www.apmex.com
"
40,"http://www.ashleystewart.com
"
41,"http://www.autoanything.com/car_truck_accessories.aspx?kc=BR351
"
42,"http://www.autogeek.net
"
43,"http://www.autopia-carcare.com
"
44,"http://www.backcountry.com/index.html?CP=BizRateSurvey&SPC-BizRate&mv_pc=r111&GCID=C2000x023
"
45,"http://www.bagsandbowsonline.com
"
46,"http://www.ballarddesigns.com
"
47,"http://www.basspro.com/servlet/catalog.OnlineShopping?hvarAID=bizrate&cm_mmc=Shopzilla-_-Marketing+Link-_--1-_-default
"
48,"http://www.beallsflorida.com
"
49,"http://www.belk.com/
"
50,"http://www.bestmaterials.com
"
51,"http://www.bhphotovideo.com/?BI=82
"
52,"http://www.bizchair.com
"
53,"http://www.black.co.uk
"
54,"http://www.bluefly.com
"
55,"http://www.boscovs.com/
"
56,"http://www.brownells.com
"
57,"http://www.build.com
"
58,"http://www.buybizsupplies.com
"
59,"http://www.candymachines.com
"
60,"http://www.cavenders.com
"
61,"http://www.cellphonecases.com
"
62,"http://www.countrystorecatalog.com
"
63,"http://www.crutchfield.com/I-rbizc000/index.html
"
64,"http://www.deepdiscount.com
"
65,"http://www.deluxe.com
"
66,"http://www.designeroptics.com
"
67,"http://www.diabeticstreatment.com/
"
68,"http://www.discountdance.com/spframe_set.php3?mf=/main_index.html&ovmkt=VHVCGLKSIBH11ELMVT8R23BIL0
"
69,"http://www.displays2go.com
"
70,"http://www.doversaddlery.com
"
71,"http://www.efaucets.com
"
72,"http://www.efloors.com
"
73,"http://www.emerchantoutlet.com
"
74,"http://www.expressionscatalog.com/
"
75,"http://www.fansedge.com/
"
76,"http://www.faucetdirect.com?/source=bizrate
"
77,"http://www.franceandson.com
"
78,"http://www.freshnless.com
"
79,"http://www.frontgate.com/jump.jsp?itemID=162&itemType=HOME_PAGE&k=ZZ50921
"
80,"http://www.groupon.com
"
81,"http://www.halloweencostumes.com
"
82,"http://www.halloweencostumesupplystore.com
"
83,"http://www.hautelook.com
"
84,"http://www.highfashionhome.com
"
85,"http://www.homeclick.com/default.asp?&tl=BIZRATE&mafid=4530
"
86,"http://www.homedepot.com
"
87,"http://www.hottopic.com
"
88,"http://www.houzz.com
"
89,"http://www.hrdirect.com
"
90,"http://www.interstatemusic.com
"
91,"http://www.inthecompanyofdogs.com/
"
92,"http://www.jcpenney.com/
"
93,"http://www.jerrysartarama.com
"
94,"http://www.jmbullion.com/
"
95,"http://www.joylot.com
"
96,"http://www.kohls.com
"
97,"http://www.kotulas.com
"
98,"http://www.kqzyfj.com/click-177778-10379988
"
99,"http://www.layoffpain.com/
"
100,"http://www.lightingdirect.com
"
101,"http://www.lulus.com
"
102,"http://www.lyst.com
"
103,"http://www.macys.com
"
104,"http://www.magellans.com
"
105,"http://www.marcusuniforms.com
"
106,"http://www.maurices.com
"
107,"http://www.michiganbulb.com
"
108,"http://www.mobilityequip.com/
"
109,"http://www.modcloth.com
"
110,"http://www.motoin.de/index.php?language=en
"
111,"http://www.musiciansfriend.com/srs7/src=3WBZ4DS/g=home/content/cb/index
"
112,"http://www.naturesjewelry.com/
"
113,"http://www.naturewoo.com/
"
114,"http://www.net-a-porter.com
"
115,"http://www.nordstromrack.com
"
116,"http://www.northerntool.com/
"
117,"http://www.northstyle.com/
"
118,"http://www.novica.com
"
119,"http://www.oceansmall.net
"
120,"http://www.officesupersavers.com
"
121,"http://www.onlinelivingaids.com/
"
122,"http://www.onlinemegamall.com
"
123,"http://www.orange-traffic-cones.com
"
124,"http://www.partsgeek.com
"
125,"http://www.peazzfurniture.com
"
126,"http://www.personalcreations.com/x_e.asp?r=PCBZRT
"
127,"http://www.personalizationmall.com
"
128,"http://www.proflowers.com
"
129,"http://www.pyramidcollection.com/
"
130,"http://www.qvc.com/
"
131,"http://www.respiratorycarestore.com/
"
132,"http://www.rosegal.com
"
133,"http://www.sarraf.com
"
134,"http://www.sawesometoys.com
"
135,"http://www.scoutandnimble.com
"
136,"http://www.sears.com/sr/entry.jsp?eid=2&sid=I0083000010000100286
"
137,"http://www.serengeticatalog.com/
"
138,"http://www.shein.com
"
139,"http://www.shindigz.com
"
140,"http://www.shoemall.com
"
141,"http://www.society6.com/
"
142,"http://www.spellbinderspaperarts.com
"
143,"http://www.sportsmanguide.com
"
144,"http://www.ssense.com
"
145,"http://www.stomabags.com/
"
146,"http://www.stumpsparty.com
"
147,"http://www.teamstores.com
"
148,"http://www.theoutnet.com/
"
149,"http://www.therestoredhome.com
"
150,"http://www.thestitchery.com/
"
151,"http://www.thredup.com
"
152,"http://www.toolstoday.com
"
153,"http://www.totallyfurniture.com/
"
154,"http://www.touchofclass.com
"
155,"http://www.tschome.com
"
156,"http://www.tscshops.com
"
157,"http://www.tsctoys.com
"
158,"http://www.underarmour.com
"
159,"http://www.unique-vintage.com
"
160,"http://www.us.purecollection.com
"
161,"http://www.valleyvet.com
"
162,"http://www.vandykes.com
"
163,"http://www.vidaxl.com
"
164,"http://www.vivaterra.com
"
165,"http://www.voler.com
"
166,"http://www.walmart.com
"
167,"http://www.wayfair.com
"
168,"http://www.webstaurantstore.com
"
169,"http://www.whateverworks.com/
"
170,"http://www.wholesurgical.com/
"
171,"http://www.winechateau.com
"
172,"http://www.woundtx.com/
"
173,"http://www.yoox.com
"
174,"http://www.youngexplorers.com/
"
175,"http://www.zazzle.com
"
176,"http://www.zoro.com
"
177,"http://www.zoro1.com
"
178,"http://www.zulily.com
"
179,"https://acdecor.biz/
"
180,"https://brandsvice.com/
"
181,"https://daintri.com/
"
182,"https://flogrown.com/
"
183,"https://gg-decor.com/
"
184,"https://goop.com
"
185,"https://ironandresin.com/
"
186,"https://pstpoolsupplies.com
"
187,"https://shop.bikini.com
"
188,"https://shop.mininprice.com/
"
189,"https://store12373258.ecwid.com/
"
190,"https://thevacuumfactory.com
"
191,"https://webstore.northsails.com/us/en/homepage
"
192,"https://www.MostlyDead.com
"
193,"https://www.aosom.com
"
194,"https://www.artistsupplysource.com
"
195,"https://www.balfour.com
"
196,"https://www.chicksaddlery.com
"
197,"https://www.coedstore.co/
"
198,"https://www.converse.com
"
199,"https://www.costbuys.com
"
200,"https://www.costway.com/
"
201,"https://www.couturecandy.com
"
202,"https://www.crowdcontrolstore.com
"
203,"https://www.davincivaporizer.com
"
204,"https://www.dhgate.com/
"
205,"https://www.discountmugs.com
"
206,"https://www.fun.com
"
207,"https://www.hayneedle.com
"
208,"https://www.homedepot.com
"
209,"https://www.homeshoppingmalls.com/
"
210,"https://www.hotelrestaurantsupply.com/
"
211,"https://www.italist.com/en/
"
212,"https://www.lightbulbs.com
"
213,"https://www.marketcol.com
"
214,"https://www.marksandspencer.com/us/
"
215,"https://www.mountainwarehouse.com/us/
"
216,"https://www.mypanier.com
"
217,"https://www.orientaloutpost.com
"
218,"https://www.pandasuperstore.com
"
219,"https://www.quenchessentials.com
"
220,"https://www.raise.com/
"
221,"https://www.rejuvenateproducts.com
"
222,"https://www.ruelala.com
"
223,"https://www.secondsale.com
"
224,"https://www.sportsmans.com/
"
225,"https://www.springhillnursery.com
"
226,"https://www.therealreal.com
"
227,"https://www.threadsquad.com
"
228,"https://www.toolnut.com/?utm_source=shopzilla&utm_medium=cse
"
229,"https://www.toyorb.com
"
230,"https://www.trouva.com/
"
231,"https://www.uncommongoods.com
"
232,"https://zonabargainsusa.com
"
233,"www.flooranddecor.com
"
234,"www.ssense.com
"
235,"www.stylebop.com
"
