,Shops
0,"http://WWW.GLASSRACK.NET
"
1,"http://automotiveequipmentspecialists.com
"
2,"http://bluebath.com
"
3,"http://brittandjules.com
"
4,"http://buymbs.com
"
5,"http://clickserve.cc-dt.com/link/click?lid=41000000005587322
"
6,"http://closetsauce.com
"
7,"http://gate4great.info/
"
8,"http://gurneys.com
"
9,"http://holabirdsports.com
"
10,"http://livingsocial.com
"
11,"http://luxycouture.com
"
12,"http://my-bio-zen.com
"
13,"http://poshmark.com
"
14,"http://samsclub.com
"
15,"http://shop.mlb.com/
"
16,"http://shop.nhl.com
"
17,"http://shopping.franklincovey.com
"
18,"http://soccer.epicsports.com
"
19,"http://store.nascar.com/entry.point?target=z&source=BZLG:2774:TXT:N:3693:1003:NASCAR
"
20,"http://store.nba.com/
"
21,"http://store.yahoo.com/cgi-bin/clink?dragonballzcentral+eBT9Zm+index.html
"
22,"http://store.yahoo.com/cgi-bin/clink?landfallnav+jqfRKG+index.html
"
23,"http://store.yahoo.com/cgi-bin/clink?opticsplanet+2FJqzq+index.html
"
24,"http://tires-guru.com
"
25,"http://www.Adorama.com
"
26,"http://www.AtticTrunk.com
"
27,"http://www.Campmor.com
"
28,"http://www.CatalogFavorites.com/
"
29,"http://www.DrsFosterSmith.com
"
30,"http://www.Educents.com
"
31,"http://www.ElectricGeneratorDepot.com
"
32,"http://www.Fanatics.com
"
33,"http://www.LambertVetSupply.com
"
34,"http://www.MidwayUSA.com
"
35,"http://www.PartySpin.com
"
36,"http://www.PulseTV.com
"
37,"http://www.ReStockIt.com
"
38,"http://www.SchoolOutfitters.com
"
39,"http://www.abt.com
"
40,"http://www.agrisupply.com
"
41,"http://www.allposters.com
"
42,"http://www.amazon.com
"
43,"http://www.amazon.com/
"
44,"http://www.americanbookwarehouse.com
"
45,"http://www.amsterdamprinting.com
"
46,"http://www.appoutdoors.com
"
47,"http://www.autoanything.com/car_truck_accessories.aspx?kc=BR351
"
48,"http://www.autogeek.net
"
49,"http://www.autopartswarehouse.com
"
50,"http://www.autopia-carcare.com
"
51,"http://www.backcountry.com/index.html?CP=BizRateSurvey&SPC-BizRate&mv_pc=r111&GCID=C2000x023
"
52,"http://www.bagsandbowsonline.com
"
53,"http://www.bambeco.com
"
54,"http://www.basspro.com/servlet/catalog.OnlineShopping?hvarAID=bizrate&cm_mmc=Shopzilla-_-Marketing+Link-_--1-_-default
"
55,"http://www.beallsflorida.com
"
56,"http://www.belk.com/
"
57,"http://www.bestmaterials.com
"
58,"http://www.bevmo.com
"
59,"http://www.bhphotovideo.com/?BI=82
"
60,"http://www.bizchair.com
"
61,"http://www.blackhelmetapparel.com
"
62,"http://www.blendmount.com
"
63,"http://www.bluecosmo.com
"
64,"http://www.boscovs.com/
"
65,"http://www.bossaudio.com
"
66,"http://www.brownells.com
"
67,"http://www.build.com
"
68,"http://www.bulbamerica.com
"
69,"http://www.carcovers.com
"
70,"http://www.carparts.com
"
71,"http://www.cellphonecases.com
"
72,"http://www.cepcompression.com
"
73,"http://www.chewy.com
"
74,"http://www.cleanitsupply.com
"
75,"http://www.cpooutlets.com
"
76,"http://www.crazycarlsdeals.com
"
77,"http://www.crutchfield.com/I-rbizc000/index.html
"
78,"http://www.cyberteez.com
"
79,"http://www.deepdiscount.com
"
80,"http://www.dell.com
"
81,"http://www.deluxe.com
"
82,"http://www.denniskirk.com
"
83,"http://www.designeroptics.com
"
84,"http://www.diabeticstreatment.com/
"
85,"http://www.directvapor.com
"
86,"http://www.discounttiredirect.com
"
87,"http://www.doversaddlery.com
"
88,"http://www.efaucets.com
"
89,"http://www.elephantwine.com
"
90,"http://www.elitemetaltools.com
"
91,"http://www.emerchantoutlet.com
"
92,"http://www.energysavinglighting.com
"
93,"http://www.equiptool.com
"
94,"http://www.everestgear.com
"
95,"http://www.fansedge.com/
"
96,"http://www.faucetdirect.com?/source=bizrate
"
97,"http://www.fillernecksupply.com
"
98,"http://www.freshnless.com
"
99,"http://www.freshwatersystems.com
"
100,"http://www.frsport.com
"
101,"http://www.gamestop.com
"
102,"http://www.gesusa.com/
"
103,"http://www.groupon.com
"
