,Shops
0,"http://apartysource.com
"
1,"http://brittandjules.com
"
2,"http://gate4great.info/
"
3,"http://livingsocial.com
"
4,"http://parkseed.com
"
5,"http://poshmark.com
"
6,"http://samsclub.com
"
7,"http://shop.nhl.com
"
8,"http://soccer.epicsports.com
"
9,"http://store.nba.com/
"
10,"http://store.yahoo.com/cgi-bin/clink?dragonballzcentral+eBT9Zm+index.html
"
11,"http://www.Adorama.com
"
12,"http://www.Campmor.com
"
13,"http://www.CatalogFavorites.com/
"
14,"http://www.Educents.com
"
15,"http://www.Fanatics.com
"
16,"http://www.SchoolOutfitters.com
"
17,"http://www.albeebaby.com
"
18,"http://www.amazon.com
"
19,"http://www.amazon.com/
"
20,"http://www.autogeek.net
"
21,"http://www.backcountry.com/index.html?CP=BizRateSurvey&SPC-BizRate&mv_pc=r111&GCID=C2000x023
"
22,"http://www.basspro.com/servlet/catalog.OnlineShopping?hvarAID=bizrate&cm_mmc=Shopzilla-_-Marketing+Link-_--1-_-default
"
23,"http://www.belk.com/
"
24,"http://www.bizchair.com
"
25,"http://www.bluefly.com
"
26,"http://www.boscovs.com/
"
27,"http://www.build.com
"
28,"http://www.countrystorecatalog.com
"
29,"http://www.crateandbarrel.com
"
30,"http://www.cymax.com/
"
31,"http://www.deepdiscount.com
"
32,"http://www.doversaddlery.com
"
33,"http://www.dreamsoftbedware.com
"
34,"http://www.ergoback.com
"
35,"http://www.expressionscatalog.com/
"
36,"http://www.fansedge.com/
"
37,"http://www.finelinens.com
"
38,"http://www.franceandson.com
"
39,"http://www.frugalorganics.com
"
40,"http://www.groupon.com
"
41,"http://www.homeclick.com/default.asp?&tl=BIZRATE&mafid=4530
"
42,"http://www.homedepot.com
"
43,"http://www.houzz.com
"
44,"http://www.jcpenney.com/
"
45,"http://www.jenniferadams.com
"
46,"http://www.kohls.com
"
47,"http://www.landofnod.com
"
48,"http://www.lightingdirect.com
"
49,"http://www.luckyvitamin.com
"
50,"http://www.lyst.com
"
51,"http://www.macys.com
"
52,"http://www.madisonseating.com
"
53,"http://www.memorablegifts.com
"
54,"http://www.nordstromrack.com
"
55,"http://www.onlinelivingaids.com/
"
56,"http://www.onlinemegamall.com
"
57,"http://www.peazzfurniture.com
"
58,"http://www.personalcreations.com/x_e.asp?r=PCBZRT
"
59,"http://www.personalizationmall.com
"
60,"http://www.qvc.com/
"
61,"http://www.roomstogokids.com
"
62,"http://www.saksoff5th.com
"
63,"http://www.sawesometoys.com
"
64,"http://www.sears.com/sr/entry.jsp?eid=2&sid=I0083000010000100286
"
65,"http://www.shein.com
"
66,"http://www.ssense.com
"
67,"http://www.surrounding.com
"
68,"http://www.totallyfurniture.com/
"
69,"http://www.tschome.com
"
70,"http://www.tscshops.com
"
71,"http://www.tsctoys.com
"
72,"http://www.underarmour.com
"
73,"http://www.us.purecollection.com
"
74,"http://www.walmart.com
"
75,"http://www.wayfair.com
"
76,"http://www.webstaurantstore.com
"
77,"http://www.wholesurgical.com/
"
78,"http://www.yoox.com
"
79,"http://www.youngexplorers.com/
"
80,"http://www.zappos.com
"
81,"http://www.zazzle.com
"
82,"http://www.zoro.com
"
83,"http://www.zulily.com
"
84,"https://acdecor.biz/
"
85,"https://gg-decor.com/
"
86,"https://gonegreenstore.com
"
87,"https://www.amara.com
"
88,"https://www.balfour.com
"
89,"https://www.costway.com/
"
90,"https://www.couturecandy.com
"
91,"https://www.discountmugs.com
"
92,"https://www.epicpetster.com
"
93,"https://www.fun.com
"
94,"https://www.hayneedle.com
"
95,"https://www.homedepot.com
"
96,"https://www.homeshoppingmalls.com/
"
97,"https://www.homesquare.com
"
98,"https://www.italist.com/en/
"
99,"https://www.marketcol.com
"
100,"https://www.marksandspencer.com/us/
"
101,"https://www.mileskimball.com
"
102,"https://www.pandasuperstore.com
"
103,"https://www.parachutehome.com
"
104,"https://www.peacockalley.com
"
105,"https://www.ruelala.com
"
106,"https://www.secondsale.com
"
107,"https://www.therealreal.com
"
108,"https://www.toyorb.com
"
109,"https://www.trouva.com/
"
110,"https://www.uncommongoods.com
"
111,"modernnest.com
"
112,"www.nflshop.com
"
