,Shops
0,"http://adameve.com
"
1,"http://amazonmicrousa.com
"
2,"http://brittandjules.com
"
3,"http://buymbs.com
"
4,"http://gate4great.info/
"
5,"http://livingsocial.com
"
6,"http://poshmark.com
"
7,"http://samsclub.com
"
8,"http://store.yahoo.com/cgi-bin/clink?dragonballzcentral+eBT9Zm+index.html
"
9,"http://store.yahoo.com/cgi-bin/clink?landfallnav+jqfRKG+index.html
"
10,"http://store.yahoo.com/cgi-bin/clink?opticsplanet+2FJqzq+index.html
"
11,"http://www.Adorama.com
"
12,"http://www.DrsFosterSmith.com
"
13,"http://www.ElectricGeneratorDepot.com
"
14,"http://www.LambertVetSupply.com
"
15,"http://www.MidwayUSA.com
"
16,"http://www.PulseTV.com
"
17,"http://www.ReStockIt.com
"
18,"http://www.abt.com
"
19,"http://www.amazon.com
"
20,"http://www.amazon.com/
"
21,"http://www.autoanything.com/car_truck_accessories.aspx?kc=BR351
"
22,"http://www.autogeek.net
"
23,"http://www.autopia-carcare.com
"
24,"http://www.backcountry.com/index.html?CP=BizRateSurvey&SPC-BizRate&mv_pc=r111&GCID=C2000x023
"
25,"http://www.basspro.com/servlet/catalog.OnlineShopping?hvarAID=bizrate&cm_mmc=Shopzilla-_-Marketing+Link-_--1-_-default
"
26,"http://www.batteryclerk.com/
"
27,"http://www.bhphotovideo.com/?BI=82
"
28,"http://www.bizchair.com
"
29,"http://www.blair.com
"
30,"http://www.bluecosmo.com
"
31,"http://www.boscovs.com/
"
32,"http://www.brownells.com
"
33,"http://www.build.com
"
34,"http://www.buybizsupplies.com
"
35,"http://www.cpooutlets.com
"
36,"http://www.crutchfield.com/I-rbizc000/index.html
"
37,"http://www.dell.com
"
38,"http://www.denniskirk.com
"
39,"http://www.devices-now.com
"
40,"http://www.diabeticstreatment.com/
"
41,"http://www.directvapor.com
"
42,"http://www.doversaddlery.com
"
43,"http://www.driparmor.com/
"
44,"http://www.emerchantoutlet.com
"
45,"http://www.eventcameras.com
"
46,"http://www.factoryoutletstore.com
"
47,"http://www.faucetdirect.com?/source=bizrate
"
48,"http://www.freshwatersystems.com
"
49,"http://www.funridingtoys.com
"
50,"http://www.gamestop.com
"
51,"http://www.grandinroad.com/jump.jsp?itemID=163&itemType=HOME_PAGE&k=ZZ50922
"
52,"http://www.groupon.com
"
53,"http://www.halloweencostumesupplystore.com
"
54,"http://www.homedepot.com
"
55,"http://www.homegoodscenter.com
"
56,"http://www.houzz.com
"
57,"http://www.hpshopping.com/cgi-bin/shopping/site_entrance.cgi?template_type=Home&aoid=9142
"
58,"http://www.jcpenney.com/
"
59,"http://www.johnnyseeds.com
"
60,"http://www.katom.com
"
61,"http://www.kinkytoy.store
"
62,"http://www.kohls.com
"
63,"http://www.kotulas.com
"
64,"http://www.larsonelectronics.com
"
65,"http://www.layoffpain.com/
"
66,"http://www.lenovo.com/think/us/en/
"
67,"http://www.lightingsquad.com
"
68,"http://www.lockandhinge.com
"
69,"http://www.macys.com
"
70,"http://www.mobilityequip.com/
"
71,"http://www.motoin.de/index.php?language=en
"
72,"http://www.mpb.com/en-us
"
73,"http://www.musiciansfriend.com/srs7/src=3WBZ4DS/g=home/content/cb/index
"
74,"http://www.newegg.com
"
75,"http://www.northerntool.com/
"
76,"http://www.oceansmall.net
"
77,"http://www.oempcworld.com/?GCID=C8090x010
"
78,"http://www.officesupersavers.com
"
79,"http://www.onlinelivingaids.com/
"
80,"http://www.petfenceusa.com
"
81,"http://www.petsupplies4less.com
"
82,"http://www.qvc.com/
"
83,"http://www.respiratorycarestore.com/
"
84,"http://www.ritzcamera.com
"
85,"http://www.sears.com/sr/entry.jsp?eid=2&sid=I0083000010000100286
"
86,"http://www.serversupply.com
"
87,"http://www.shelhealth.com
"
88,"http://www.sonicelectronix.com
"
89,"http://www.sportsmanguide.com
"
90,"http://www.sportsmanslogistics.com
"
91,"http://www.stomabags.com/
"
92,"http://www.sweetwater.com
"
93,"http://www.swimoutlet.com
"
94,"http://www.thewarmingstore.com
"
95,"http://www.tirerack.com
"
96,"http://www.toolbarn.com
"
97,"http://www.tschome.com
"
98,"http://www.tscshops.com
"
99,"http://www.valleyvet.com
"
100,"http://www.walmart.com
"
101,"http://www.warehousespot.com
"
102,"http://www.wayfair.com
"
103,"http://www.webstaurantstore.com
"
104,"http://www.wholesurgical.com/
"
105,"http://www.zoro.com
"
106,"http://www.zoro1.com
"
107,"http://www.zulily.com
"
108,"http://www1.us.dell.com/content/
"
109,"https://bargainjunkie.com/
"
110,"https://pstpoolsupplies.com
"
111,"https://renewgoo.com/
"
112,"https://replacementbatterystore.com/
"
113,"https://selletonscales.com
"
114,"https://thevacuumfactory.com
"
115,"https://www.alphabetdeal.com
"
116,"https://www.campsaver.com
"
117,"https://www.cjponyparts.com/
"
118,"https://www.coedstore.co/
"
119,"https://www.datavision.com
"
120,"https://www.dhgate.com/
"
121,"https://www.discountmugs.com
"
122,"https://www.entirelypets.com
"
123,"https://www.factorydirecthardware.com
"
124,"https://www.hayneedle.com
"
125,"https://www.homedepot.com
"
126,"https://www.homeshoppingmalls.com/
"
127,"https://www.invertersupply.com
"
128,"https://www.lightbulbs.com
"
129,"https://www.marketcol.com
"
130,"https://www.mileskimball.com
"
131,"https://www.pethoot.com
"
132,"https://www.sportsmans.com/
"
133,"https://www.swaggsauce.com
"
134,"https://www.theenhancedmale.com
"
135,"https://www.toolnut.com/?utm_source=shopzilla&utm_medium=cse
"
136,"https://zonabargainsusa.com
"
137,"www.crutchfield.com
"
