,Shops
0,"http://bluebath.com
"
1,"http://brittandjules.com
"
2,"http://clickserve.cc-dt.com/link/click?lid=41000000005587322
"
3,"http://livingsocial.com
"
4,"http://poshmark.com
"
5,"http://samsclub.com
"
6,"http://shopping.franklincovey.com
"
7,"http://store.yahoo.com/cgi-bin/clink?dragonballzcentral+eBT9Zm+index.html
"
8,"http://www.Adorama.com
"
9,"http://www.PartySpin.com
"
10,"http://www.ReStockIt.com
"
11,"http://www.SchoolOutfitters.com
"
12,"http://www.allposters.com
"
13,"http://www.amazon.com
"
14,"http://www.amazon.com/
"
15,"http://www.appoutdoors.com
"
16,"http://www.autoanything.com/car_truck_accessories.aspx?kc=BR351
"
17,"http://www.backcountry.com/index.html?CP=BizRateSurvey&SPC-BizRate&mv_pc=r111&GCID=C2000x023
"
18,"http://www.beallsflorida.com
"
19,"http://www.bhphotovideo.com/?BI=82
"
20,"http://www.bizchair.com
"
21,"http://www.boscovs.com/
"
22,"http://www.brownells.com
"
23,"http://www.build.com
"
24,"http://www.buybizsupplies.com
"
25,"http://www.cleanitsupply.com
"
26,"http://www.crazycarlsdeals.com
"
27,"http://www.deluxe.com
"
28,"http://www.designeroptics.com
"
29,"http://www.displays2go.com
"
30,"http://www.doversaddlery.com
"
31,"http://www.efaucets.com
"
32,"http://www.emerchantoutlet.com
"
33,"http://www.faucetdirect.com?/source=bizrate
"
34,"http://www.groupon.com
"
35,"http://www.halloweencostumesupplystore.com
"
36,"http://www.hconecompanies.com
"
37,"http://www.homeclick.com/default.asp?&tl=BIZRATE&mafid=4530
"
38,"http://www.homedepot.com
"
39,"http://www.houzz.com
"
40,"http://www.jcpenney.com/
"
41,"http://www.jerrysartarama.com
"
42,"http://www.katom.com
"
43,"http://www.kohls.com
"
44,"http://www.lockandhinge.com
"
45,"http://www.macys.com
"
46,"http://www.motoin.de/index.php?language=en
"
47,"http://www.musiciansfriend.com/srs7/src=3WBZ4DS/g=home/content/cb/index
"
48,"http://www.northerntool.com/
"
49,"http://www.oceansmall.net
"
50,"http://www.officesupersavers.com
"
51,"http://www.onlinelivingaids.com/
"
52,"http://www.onlinemegamall.com
"
53,"http://www.precisiontools.com
"
54,"http://www.qvc.com/
"
55,"http://www.sawesometoys.com
"
56,"http://www.sears.com/sr/entry.jsp?eid=2&sid=I0083000010000100286
"
57,"http://www.shein.com
"
58,"http://www.shelhealth.com
"
59,"http://www.spellbinderspaperarts.com
"
60,"http://www.sportsmanguide.com
"
61,"http://www.ssense.com
"
62,"http://www.totallyfurniture.com/
"
63,"http://www.tschome.com
"
64,"http://www.tscshops.com
"
65,"http://www.valleyvet.com
"
66,"http://www.wayfair.com
"
67,"http://www.webstaurantstore.com
"
68,"http://www.wholesurgical.com/
"
69,"http://www.woundtx.com/
"
70,"http://www.zazzle.com
"
71,"http://www.zoro.com
"
72,"http://www.zoro1.com
"
73,"http://www.zulily.com
"
74,"https://pstpoolsupplies.com
"
75,"https://www.discountmugs.com
"
76,"https://www.epicpetster.com
"
77,"https://www.hayneedle.com
"
78,"https://www.homedepot.com
"
79,"https://www.homeshoppingmalls.com/
"
80,"https://www.marketcol.com
"
81,"https://www.officedesk.com
"
82,"https://www.secondsale.com
"
83,"https://www.shoes.com
"
