,Shops
0,"http://brittandjules.com
"
1,"http://livingsocial.com
"
2,"http://poshmark.com
"
3,"http://samsclub.com
"
4,"http://store.yahoo.com/cgi-bin/clink?opticsplanet+2FJqzq+index.html
"
5,"http://www.Adorama.com
"
6,"http://www.abt.com
"
7,"http://www.amazon.com
"
8,"http://www.amazon.com/
"
9,"http://www.backcountry.com/index.html?CP=BizRateSurvey&SPC-BizRate&mv_pc=r111&GCID=C2000x023
"
10,"http://www.belk.com/
"
11,"http://www.bluefly.com
"
12,"http://www.boscovs.com/
"
13,"http://www.build.com
"
14,"http://www.cpooutlets.com
"
15,"http://www.crateandbarrel.com
"
16,"http://www.dealyard.com
"
17,"http://www.emerchantoutlet.com
"
18,"http://www.faucetdirect.com?/source=bizrate
"
19,"http://www.freshnless.com
"
20,"http://www.frontgate.com/jump.jsp?itemID=162&itemType=HOME_PAGE&k=ZZ50921
"
21,"http://www.hautelook.com
"
22,"http://www.homedepot.com
"
23,"http://www.houzz.com
"
24,"http://www.jcpenney.com/
"
25,"http://www.katom.com
"
26,"http://www.kohls.com
"
27,"http://www.luckyvitamin.com
"
28,"http://www.macys.com
"
29,"http://www.nordstromrack.com
"
30,"http://www.onlinemegamall.com
"
31,"http://www.qvc.com/
"
32,"http://www.saksoff5th.com
"
33,"http://www.sears.com/sr/entry.jsp?eid=2&sid=I0083000010000100286
"
34,"http://www.shein.com
"
35,"http://www.tobox.com
"
36,"http://www.tschome.com
"
37,"http://www.walmart.com
"
38,"http://www.wayfair.com
"
39,"http://www.webstaurantstore.com
"
40,"http://www.wholesurgical.com/
"
41,"http://www.zoro.com
"
42,"http://www.zulily.com
"
43,"https://bargainjunkie.com/
"
44,"https://renewgoo.com/
"
45,"https://www.acitydiscount.com
"
46,"https://www.alphabetdeal.com
"
47,"https://www.datavision.com
"
48,"https://www.epicpetster.com
"
49,"https://www.fun.com
"
50,"https://www.hayneedle.com
"
51,"https://www.homedepot.com
"
52,"https://www.mileskimball.com
"
53,"https://www.quenchessentials.com
"
54,"https://www.ruelala.com
"
55,"https://www.trouva.com/
"
