,Shops
0,"http://livingsocial.com
"
1,"http://poshmark.com
"
2,"http://samsclub.com
"
3,"http://shopping.franklincovey.com
"
4,"http://store.yahoo.com/cgi-bin/clink?landfallnav+jqfRKG+index.html
"
5,"http://www.Adorama.com
"
6,"http://www.BarristerBooks.com
"
7,"http://www.abt.com
"
8,"http://www.allposters.com
"
9,"http://www.amazon.com
"
10,"http://www.amazon.com/
"
11,"http://www.americanbookwarehouse.com
"
12,"http://www.amsterdamprinting.com
"
13,"http://www.basspro.com/servlet/catalog.OnlineShopping?hvarAID=bizrate&cm_mmc=Shopzilla-_-Marketing+Link-_--1-_-default
"
14,"http://www.belk.com/
"
15,"http://www.bizchair.com
"
16,"http://www.boscovs.com/
"
17,"http://www.build.com
"
18,"http://www.buybizsupplies.com
"
19,"http://www.christianbookbag.com
"
20,"http://www.cpooutlets.com
"
21,"http://www.cymax.com/
"
22,"http://www.deepdiscount.com
"
23,"http://www.efaucets.com
"
24,"http://www.elitemetaltools.com
"
25,"http://www.emerchantoutlet.com
"
26,"http://www.faucetdirect.com?/source=bizrate
"
27,"http://www.halloweencostumesupplystore.com
"
28,"http://www.homedepot.com
"
29,"http://www.houzz.com
"
30,"http://www.interstatemusic.com
"
31,"http://www.jcpenney.com/
"
32,"http://www.layoffpain.com/
"
33,"http://www.macys.com
"
34,"http://www.onlinelivingaids.com/
"
35,"http://www.onlinemegamall.com
"
36,"http://www.qvc.com/
"
37,"http://www.sportscollectibles.com
"
38,"http://www.stomabags.com/
"
39,"http://www.swimoutlet.com
"
40,"http://www.totallyfurniture.com/
"
41,"http://www.underarmour.com
"
42,"http://www.walmart.com
"
43,"http://www.wayfair.com
"
44,"http://www.webstaurantstore.com
"
45,"http://www.wholesurgical.com/
"
46,"http://www.winechateau.com
"
47,"http://www.worldmarket.com
"
48,"http://www.zazzle.com
"
49,"http://www.zoro.com
"
50,"https://www.balfour.com
"
51,"https://www.discountmugs.com
"
52,"https://www.homeshoppingmalls.com/
"
53,"https://www.homesquare.com
"
54,"https://www.lightbulbs.com
"
55,"https://www.secondsale.com
"
56,"https://www.trouva.com/
"
57,"www.flooranddecor.com
"
