,Shops
0,"http://amazonmicrousa.com
"
1,"http://livingsocial.com
"
2,"http://www.Adorama.com
"
3,"http://www.abt.com
"
4,"http://www.amazon.com
"
5,"http://www.amazon.com/
"
6,"http://www.bhphotovideo.com/?BI=82
"
7,"http://www.buybizsupplies.com
"
8,"http://www.deepdiscount.com
"
9,"http://www.dell.com
"
10,"http://www.emerchantoutlet.com
"
11,"http://www.groupon.com
"
12,"http://www.lenovo.com/think/us/en/
"
13,"http://www.o.com
"
14,"http://www.onlinemegamall.com
"
15,"http://www.tschome.com
"
16,"http://www.walmart.com
"
17,"http://www.webstaurantstore.com
"
18,"http://www.zoro.com
"
19,"http://www1.us.dell.com/content/
"
20,"https://hexadash.com/
"
21,"https://www.allhdd.com
"
22,"https://www.dhgate.com/
"
