,Shops
0,"http://discountdecorativeflags.com
"
1,"http://poshmark.com
"
2,"http://www.allposters.com
"
3,"http://www.amazon.com
"
4,"http://www.amazon.com/
"
5,"http://www.basspro.com/servlet/catalog.OnlineShopping?hvarAID=bizrate&cm_mmc=Shopzilla-_-Marketing+Link-_--1-_-default
"
6,"http://www.belk.com/
"
7,"http://www.cavenders.com
"
8,"http://www.christianbookbag.com
"
9,"http://www.deepdiscount.com
"
10,"http://www.directvapor.com
"
11,"http://www.fitzulas.com
"
12,"http://www.gliks.com
"
13,"http://www.interstatemusic.com
"
14,"http://www.lightingdirect.com
"
15,"http://www.mobilityequip.com/
"
16,"http://www.musiciansfriend.com/srs7/src=3WBZ4DS/g=home/content/cb/index
"
17,"http://www.net-a-porter.com
"
18,"http://www.personalcreations.com/x_e.asp?r=PCBZRT
"
19,"http://www.personalizationmall.com
"
20,"http://www.ssense.com
"
21,"http://www.walmart.com
"
22,"http://www.wayfair.com
"
23,"http://www.zazzle.com
"
24,"https://daytshirt.com
"
25,"https://www.cozzoo.com/
"
26,"https://www.fun.com
"
27,"https://www.homedepot.com
"
28,"https://www.secondsale.com
"
29,"https://www.springhillnursery.com
"
30,"https://www.trouva.com/
"
