,Shops
0,"http://livingsocial.com
"
1,"http://samsclub.com
"
2,"http://software-now.com
"
3,"http://www.Adorama.com
"
4,"http://www.BarristerBooks.com
"
5,"http://www.SchoolOutfitters.com
"
6,"http://www.amazon.com
"
7,"http://www.amazon.com/
"
8,"http://www.americanbookwarehouse.com
"
9,"http://www.backinthesaddle.com/
"
10,"http://www.bizchair.com
"
11,"http://www.build.com
"
12,"http://www.buybizsupplies.com
"
13,"http://www.christianbookbag.com
"
14,"http://www.doversaddlery.com
"
15,"http://www.eset.com/us/
"
16,"http://www.homedepot.com
"
17,"http://www.oceansmall.net
"
18,"http://www.officesupersavers.com
"
19,"http://www.onlinemegamall.com
"
20,"http://www.respiratorycarestore.com/
"
21,"http://www.society6.com/
"
22,"http://www.softwarecw.com
"
23,"http://www.tschome.com
"
24,"http://www.walmart.com
"
25,"http://www.wayfair.com
"
26,"http://www.webstaurantstore.com
"
27,"http://www.wholesurgical.com/
"
28,"http://www.youngexplorers.com/
"
29,"http://www.zazzle.com
"
30,"https://www.dhgate.com/
"
31,"https://www.secondsale.com
"
32,"https://www.tillys.com
"
33,"https://www.trouva.com/
"
