,Shops
0,"http://livingsocial.com
"
1,"http://samsclub.com
"
2,"http://store.yahoo.com/cgi-bin/clink?opticsplanet+2FJqzq+index.html
"
3,"http://www.Adorama.com
"
4,"http://www.DrsFosterSmith.com
"
5,"http://www.abt.com
"
6,"http://www.amazon.com
"
7,"http://www.amazon.com/
"
8,"http://www.bhphotovideo.com/?BI=82
"
9,"http://www.boscovs.com/
"
10,"http://www.brownells.com
"
11,"http://www.build.com
"
12,"http://www.efaucets.com
"
13,"http://www.energysavinglighting.com
"
14,"http://www.faucetdirect.com?/source=bizrate
"
15,"http://www.groupon.com
"
16,"http://www.homeclick.com/default.asp?&tl=BIZRATE&mafid=4530
"
17,"http://www.homedepot.com
"
18,"http://www.houzz.com
"
19,"http://www.jcpenney.com/
"
20,"http://www.kohls.com
"
21,"http://www.macys.com
"
22,"http://www.northerntool.com/
"
23,"http://www.qvc.com/
"
24,"http://www.sears.com/sr/entry.jsp?eid=2&sid=I0083000010000100286
"
25,"http://www.sylvane.com
"
26,"http://www.vidaxl.com
"
27,"http://www.walmart.com
"
28,"http://www.wayfair.com
"
29,"http://www.webstaurantstore.com
"
30,"http://www.zoro.com
"
31,"https://www.costway.com/
"
32,"https://www.hayneedle.com
"
33,"https://www.homedepot.com
"
34,"https://www.sportsmans.com/
"
