,Shops
0,"http://livingsocial.com
"
1,"http://poshmark.com
"
2,"http://shopping.franklincovey.com
"
3,"http://www.Adorama.com
"
4,"http://www.CellularOutfitter.com
"
5,"http://www.Fanatics.com
"
6,"http://www.amazon.com
"
7,"http://www.amazon.com/
"
8,"http://www.bhphotovideo.com/?BI=82
"
9,"http://www.boscovs.com/
"
10,"http://www.cellphonecases.com
"
11,"http://www.emerchantoutlet.com
"
12,"http://www.fansedge.com/
"
13,"http://www.groupon.com
"
14,"http://www.onlinemegamall.com
"
15,"http://www.personalcreations.com/x_e.asp?r=PCBZRT
"
16,"http://www.qvc.com/
"
17,"http://www.walmart.com
"
18,"https://www.costbuys.com
"
19,"https://www.datavision.com
"
20,"https://www.discountmugs.com
"
21,"https://www.epicpetster.com
"
22,"https://www.homedepot.com
"
