,Shops
0,"http://livingsocial.com
"
1,"http://poshmark.com
"
2,"http://samsclub.com
"
3,"http://store.yahoo.com/cgi-bin/clink?landfallnav+jqfRKG+index.html
"
4,"http://www.Adorama.com
"
5,"http://www.Educents.com
"
6,"http://www.amazon.com
"
7,"http://www.amazon.com/
"
8,"http://www.americanbookwarehouse.com
"
9,"http://www.autopia-carcare.com
"
10,"http://www.deepdiscount.com
"
11,"http://www.hrdirect.com
"
12,"http://www.interstatemusic.com
"
13,"http://www.lenovo.com/think/us/en/
"
14,"http://www.musiciansfriend.com/srs7/src=3WBZ4DS/g=home/content/cb/index
"
15,"http://www.officesupersavers.com
"
16,"http://www.softwarecw.com
"
17,"http://www.wayfair.com
"
18,"http://www.webstaurantstore.com
"
19,"https://www.secondsale.com
"
20,"https://www.trouva.com/
"
