,Shops
0,"http://brittandjules.com
"
1,"http://critpro.com
"
2,"http://poshmark.com
"
3,"http://store.yahoo.com/cgi-bin/clink?landfallnav+jqfRKG+index.html
"
4,"http://store.yahoo.com/cgi-bin/clink?opticsplanet+2FJqzq+index.html
"
5,"http://www.1800petmeds.com
"
6,"http://www.Adorama.com
"
7,"http://www.DrsFosterSmith.com
"
8,"http://www.LambertVetSupply.com
"
9,"http://www.MidwayUSA.com
"
10,"http://www.albeebaby.com
"
11,"http://www.allivet.com
"
12,"http://www.allposters.com
"
13,"http://www.amazon.com
"
14,"http://www.amazon.com/
"
15,"http://www.aninebing.com/
"
16,"http://www.aquapillar.com
"
17,"http://www.ariat.com
"
18,"http://www.autoanything.com/car_truck_accessories.aspx?kc=BR351
"
19,"http://www.autogeek.net
"
20,"http://www.autopia-carcare.com
"
21,"http://www.backcountry.com/index.html?CP=BizRateSurvey&SPC-BizRate&mv_pc=r111&GCID=C2000x023
"
22,"http://www.basspro.com/servlet/catalog.OnlineShopping?hvarAID=bizrate&cm_mmc=Shopzilla-_-Marketing+Link-_--1-_-default
"
23,"http://www.black.co.uk
"
24,"http://www.boscovs.com/
"
25,"http://www.brownells.com
"
26,"http://www.californiapetpharmacy.com
"
27,"http://www.cavenders.com
"
28,"http://www.chewy.com
"
29,"http://www.designeroptics.com
"
30,"http://www.doversaddlery.com
"
31,"http://www.efaucets.com
"
32,"http://www.emerchantoutlet.com
"
33,"http://www.freshnless.com
"
34,"http://www.halloweencostumesupplystore.com
"
35,"http://www.homedepot.com
"
36,"http://www.horsesaddleshop.com
"
37,"http://www.inthecompanyofdogs.com/
"
38,"http://www.joylot.com
"
39,"http://www.katom.com
"
40,"http://www.lockandhinge.com
"
41,"http://www.netnutri.com
"
42,"http://www.oceansmall.net
"
43,"http://www.onlinelivingaids.com/
"
44,"http://www.petco.com/Landing/RedirectSource.aspx?RedirectURL=http%3a%2f%2fwww.petco.com%3fcm_ven%3dbiz%26cm_cat%3d
"
45,"http://www.peterglenn.com
"
46,"http://www.petfenceusa.com
"
47,"http://www.petsupplies4less.com
"
48,"http://www.respiratorycarestore.com/
"
49,"http://www.ritzcamera.com
"
50,"http://www.sawesometoys.com
"
51,"http://www.sears.com/sr/entry.jsp?eid=2&sid=I0083000010000100286
"
52,"http://www.shein.com
"
53,"http://www.shindigz.com
"
54,"http://www.spellbinderspaperarts.com
"
55,"http://www.ssense.com
"
56,"http://www.trivoshop.com
"
57,"http://www.tscshops.com
"
58,"http://www.valleyvet.com
"
59,"http://www.vidaxl.com
"
60,"http://www.voler.com
"
61,"http://www.walmart.com
"
62,"http://www.wayfair.com
"
63,"http://www.whateverworks.com/
"
64,"http://www.wholesurgical.com/
"
65,"http://www.yesglasses.com
"
66,"http://www.yoox.com
"
67,"http://www.zappos.com
"
68,"http://www.zazzle.com
"
69,"http://www.zulily.com
"
70,"https://russellswesternwear.com
"
71,"https://webstore.northsails.com/us/en/homepage
"
72,"https://www.MostlyDead.com
"
73,"https://www.campsaver.com
"
74,"https://www.chicksaddlery.com
"
75,"https://www.costbuys.com
"
76,"https://www.crowdcontrolstore.com
"
77,"https://www.discountmugs.com
"
78,"https://www.entirelypets.com
"
79,"https://www.epicpetster.com
"
80,"https://www.homedepot.com
"
81,"https://www.mountainwarehouse.com/us/
"
82,"https://www.naughtydelight.com
"
83,"https://www.pethoot.com
"
84,"https://www.ruelala.com
"
85,"https://www.secondsale.com
"
86,"https://www.shoes.com
"
87,"https://www.therealreal.com
"
88,"https://www.tillys.com
"
89,"https://www.trouva.com/
"
90,"www.ssense.com
"
