,Shops
0,"http://bluebath.com
"
1,"http://brittandjules.com
"
2,"http://buymbs.com
"
3,"http://carhartt.com
"
4,"http://decormarket.com
"
5,"http://gate4great.info/
"
6,"http://gurneys.com
"
7,"http://livingsocial.com
"
8,"http://modernofficefurniture.com
"
9,"http://my-bio-zen.com
"
10,"http://newlinkz.com
"
11,"http://parkseed.com
"
12,"http://poshmark.com
"
13,"http://samsclub.com
"
14,"http://shop.mlb.com/
"
15,"http://shop.nhl.com
"
16,"http://soccer.epicsports.com
"
17,"http://store.nba.com/
"
18,"http://store.yahoo.com/cgi-bin/clink?dragonballzcentral+eBT9Zm+index.html
"
19,"http://store.yahoo.com/cgi-bin/clink?landfallnav+jqfRKG+index.html
"
20,"http://store.yahoo.com/cgi-bin/clink?opticsplanet+2FJqzq+index.html
"
21,"http://usa.hudsonreed.com
"
22,"http://www.1800lighting.com
"
23,"http://www.Adorama.com
"
24,"http://www.CB2.com
"
25,"http://www.CatalogFavorites.com/
"
26,"http://www.CenturyNovelty.com
"
27,"http://www.DrsFosterSmith.com
"
28,"http://www.Fanatics.com
"
29,"http://www.LambertVetSupply.com
"
30,"http://www.Lenox.com
"
31,"http://www.PulseTV.com
"
32,"http://www.ReStockIt.com
"
33,"http://www.SchoolOutfitters.com
"
34,"http://www.abbapatio.com/
"
35,"http://www.abt.com
"
36,"http://www.acoutlet.shop/
"
37,"http://www.albeebaby.com
"
38,"http://www.allivet.com
"
39,"http://www.allposters.com
"
40,"http://www.allurez.com
"
41,"http://www.amazon.com
"
42,"http://www.amazon.com/
"
43,"http://www.americanbookwarehouse.com
"
44,"http://www.appoutdoors.com
"
45,"http://www.ariaperfume.com
"
46,"http://www.autoanything.com/car_truck_accessories.aspx?kc=BR351
"
47,"http://www.autogeek.net
"
48,"http://www.autopia-carcare.com
"
49,"http://www.backcountry.com/index.html?CP=BizRateSurvey&SPC-BizRate&mv_pc=r111&GCID=C2000x023
"
50,"http://www.backinthesaddle.com/
"
51,"http://www.ballarddesigns.com
"
52,"http://www.bambeco.com
"
53,"http://www.barstooldirect.com
"
54,"http://www.basspro.com/servlet/catalog.OnlineShopping?hvarAID=bizrate&cm_mmc=Shopzilla-_-Marketing+Link-_--1-_-default
"
55,"http://www.beallsflorida.com
"
56,"http://www.belk.com/
"
57,"http://www.bhphotovideo.com/?BI=82
"
58,"http://www.bizchair.com
"
59,"http://www.blackbeltshop.us
"
60,"http://www.blair.com
"
61,"http://www.blueandcream.com
"
62,"http://www.bluefly.com
"
63,"http://www.boscovs.com/
"
64,"http://www.brownells.com
"
65,"http://www.build.com
"
66,"http://www.buybizsupplies.com
"
67,"http://www.carcovers.com
"
68,"http://www.casper.com
"
69,"http://www.chewy.com
"
70,"http://www.cleanitsupply.com
"
71,"http://www.countrystorecatalog.com
"
72,"http://www.cpooutlets.com
"
73,"http://www.crateandbarrel.com
"
74,"http://www.crutchfield.com/I-rbizc000/index.html
"
75,"http://www.cyberteez.com
"
76,"http://www.cymax.com/
"
77,"http://www.dealyard.com
"
78,"http://www.deepdiscount.com
"
79,"http://www.dell.com
"
80,"http://www.discountcatheters.com/
"
81,"http://www.discountdance.com/spframe_set.php3?mf=/main_index.html&ovmkt=VHVCGLKSIBH11ELMVT8R23BIL0
"
82,"http://www.displays2go.com
"
83,"http://www.doversaddlery.com
"
84,"http://www.dreamsoftbedware.com
"
85,"http://www.driparmor.com/
"
86,"http://www.efaucets.com
"
87,"http://www.elitemetaltools.com
"
88,"http://www.emerchantoutlet.com
"
89,"http://www.ergoback.com
"
90,"http://www.expressionscatalog.com/
"
91,"http://www.factorybunkbeds.com
"
92,"http://www.familyleisure.com
"
93,"http://www.fansedge.com/
"
94,"http://www.faucetdirect.com?/source=bizrate
"
95,"http://www.finelinens.com
"
96,"http://www.fitzulas.com
"
97,"http://www.flashfurniturestore.com
"
98,"http://www.franceandson.com
"
99,"http://www.freshnless.com
"
100,"http://www.freshwatersystems.com
"
101,"http://www.frontgate.com/jump.jsp?itemID=162&itemType=HOME_PAGE&k=ZZ50921
"
102,"http://www.gamestop.com
"
103,"http://www.gardensalive.com
"
104,"http://www.grandinroad.com/jump.jsp?itemID=163&itemType=HOME_PAGE&k=ZZ50922
"
105,"http://www.groupon.com
"
106,"http://www.haband.com
"
107,"http://www.halloweencostumesupplystore.com
"
108,"http://www.hautelook.com
"
109,"http://www.hconecompanies.com
"
110,"http://www.healthproductsforyou.com
"
111,"http://www.highfashionhome.com
"
112,"http://www.hillsdalesuperstore.com
"
113,"http://www.homeclick.com/default.asp?&tl=BIZRATE&mafid=4530
"
114,"http://www.homedepot.com
"
115,"http://www.homegoodscenter.com
"
116,"http://www.houzz.com
"
117,"http://www.humantouch.com
"
118,"http://www.ifitnessdirect.com
"
119,"http://www.interstatemusic.com
"
120,"http://www.inthecompanyofdogs.com/
"
121,"http://www.jcpenney.com/
"
122,"http://www.jenniferadams.com
"
123,"http://www.jerrysartarama.com
"
124,"http://www.johnnyseeds.com
"
125,"http://www.katespade.com
"
126,"http://www.katom.com
"
127,"http://www.kinkytoy.store
"
128,"http://www.kohls.com
"
129,"http://www.kotulas.com
"
130,"http://www.kqzyfj.com/click-177778-10379988
"
131,"http://www.lampsplus.com/source.asp?a=17528
"
132,"http://www.landofnod.com
"
133,"http://www.laurelcrown.com
"
134,"http://www.layoffpain.com/
"
