,Shops
0,"http://amazonmicrousa.com
"
1,"http://livingsocial.com
"
2,"http://www.Adorama.com
"
3,"http://www.amazon.com
"
4,"http://www.amazon.com/
"
5,"http://www.bhphotovideo.com/?BI=82
"
6,"http://www.dell.com
"
7,"http://www.emerchantoutlet.com
"
8,"http://www.gamestop.com
"
9,"http://www.homedepot.com
"
10,"http://www.hpshopping.com/cgi-bin/shopping/site_entrance.cgi?template_type=Home&aoid=9142
"
11,"http://www.lenovo.com/think/us/en/
"
12,"http://www.musiciansfriend.com/srs7/src=3WBZ4DS/g=home/content/cb/index
"
13,"http://www.newegg.com
"
14,"http://www.onlinemegamall.com
"
15,"http://www.walmart.com
"
16,"http://www.webstaurantstore.com
"
17,"http://www.zoro.com
"
18,"http://www1.us.dell.com/content/
"
19,"https://hexadash.com/
"
20,"https://www.datavision.com
"
21,"https://www.dhgate.com/
"
22,"https://www.homedepot.com
"
23,"https://www.thepcconnectstorellc.com/
"
