,Shops
0,"http://brittandjules.com
"
1,"http://gate4great.info/
"
2,"http://livingsocial.com
"
3,"http://poshmark.com
"
4,"http://samsclub.com
"
5,"http://www.CatalogFavorites.com/
"
6,"http://www.abt.com
"
7,"http://www.amazon.com
"
8,"http://www.amazon.com/
"
9,"http://www.autogeek.net
"
10,"http://www.autopia-carcare.com
"
11,"http://www.basspro.com/servlet/catalog.OnlineShopping?hvarAID=bizrate&cm_mmc=Shopzilla-_-Marketing+Link-_--1-_-default
"
12,"http://www.beallsflorida.com
"
13,"http://www.belk.com/
"
14,"http://www.birchbox.com
"
15,"http://www.bluefly.com
"
16,"http://www.boscovs.com/
"
17,"http://www.chewy.com
"
18,"http://www.dealyard.com
"
19,"http://www.deepdiscount.com
"
20,"http://www.drapers.com
"
21,"http://www.emerchantoutlet.com
"
22,"http://www.esalon.com
"
23,"http://www.factoryoutletstore.com
"
24,"http://www.faucetdirect.com?/source=bizrate
"
25,"http://www.fragrancenet.com/fnet/index.html?mv_pc=bizrateMF
"
26,"http://www.freshnless.com
"
27,"http://www.groupon.com
"
28,"http://www.hairthirst.com
"
29,"http://www.halloweencostumesupplystore.com
"
30,"http://www.hautelook.com
"
31,"http://www.hconecompanies.com
"
32,"http://www.homeclick.com/default.asp?&tl=BIZRATE&mafid=4530
"
33,"http://www.homedepot.com
"
34,"http://www.homegoodscenter.com
"
35,"http://www.houzz.com
"
36,"http://www.jcpenney.com/
"
37,"http://www.katom.com
"
38,"http://www.kohls.com
"
39,"http://www.macys.com
"
40,"http://www.magellans.com
"
41,"http://www.melissabeauty.biz
"
42,"http://www.mybeautybuy.com
"
43,"http://www.net-a-porter.com
"
44,"http://www.nordstromrack.com
"
45,"http://www.oceansmall.net
"
46,"http://www.olordejulie.com
"
47,"http://www.onlinemegamall.com
"
48,"http://www.peazz.com
"
49,"http://www.petco.com/Landing/RedirectSource.aspx?RedirectURL=http%3a%2f%2fwww.petco.com%3fcm_ven%3dbiz%26cm_cat%3d
"
50,"http://www.petsupplies4less.com
"
51,"http://www.qvc.com/
"
52,"http://www.saksoff5th.com
"
53,"http://www.sawesometoys.com
"
54,"http://www.sears.com/sr/entry.jsp?eid=2&sid=I0083000010000100286
"
55,"http://www.shein.com
"
56,"http://www.shelhealth.com
"
57,"http://www.tschome.com
"
58,"http://www.tscshops.com
"
59,"http://www.valleyvet.com
"
60,"http://www.walmart.com
"
61,"http://www.wayfair.com
"
62,"http://www.webstaurantstore.com
"
63,"http://www.whateverworks.com/
"
64,"http://www.zazzle.com
"
65,"http://www.zoro.com
"
66,"http://www.zulily.com
"
67,"https://acdecor.biz/
"
68,"https://bargainjunkie.com/
"
69,"https://goop.com
"
70,"https://renewgoo.com/
"
71,"https://www.alphabetdeal.com
"
72,"https://www.costway.com/
"
73,"https://www.foxybae.com/
"
74,"https://www.hayneedle.com
"
75,"https://www.homedepot.com
"
76,"https://www.homeshoppingmalls.com/
"
77,"https://www.marketcol.com
"
78,"https://www.ruelala.com
"
79,"https://www.secondsale.com
"
80,"https://www.shoes.com
"
81,"https://www.swaggsauce.com
"
82,"https://www.therealreal.com
"
83,"https://www.trendsavvy.com
"
84,"https://www.trouva.com/
"
