,Shops
0,"http://amerilifevitamin.com
"
1,"http://blbeauty.co
"
2,"http://brittandjules.com
"
3,"http://carhartt.com
"
4,"http://gurneys.com
"
5,"http://livingsocial.com
"
6,"http://my-bio-zen.com
"
7,"http://poshmark.com
"
8,"http://samsclub.com
"
9,"http://shop.mlb.com/
"
10,"http://shop.nhl.com
"
11,"http://shopping.franklincovey.com
"
12,"http://soccer.epicsports.com
"
13,"http://store.nba.com/
"
14,"http://store.yahoo.com/cgi-bin/clink?dragonballzcentral+eBT9Zm+index.html
"
15,"http://store.yahoo.com/cgi-bin/clink?vitasprings+QpULg7+index.html
"
16,"http://strongsupplementshop.com
"
17,"http://www.1800petmeds.com
"
18,"http://www.4AllVitamins.com
"
19,"http://www.Adorama.com
"
20,"http://www.AtticTrunk.com
"
21,"http://www.Campmor.com
"
22,"http://www.CenturyNovelty.com
"
23,"http://www.CherylLeeMD.com
"
24,"http://www.DisneyStore.com
"
25,"http://www.DrsFosterSmith.com
"
26,"http://www.Fanatics.com
"
27,"http://www.LambertVetSupply.com
"
28,"http://www.MidwayUSA.com
"
29,"http://www.PartySpin.com
"
30,"http://www.allivet.com
"
31,"http://www.allposters.com
"
32,"http://www.amazon.com
"
33,"http://www.amazon.com/
"
34,"http://www.autogeek.net
"
35,"http://www.autopia-carcare.com
"
36,"http://www.backcountry.com/index.html?CP=BizRateSurvey&SPC-BizRate&mv_pc=r111&GCID=C2000x023
"
37,"http://www.backinthesaddle.com/
"
38,"http://www.bambeco.com
"
39,"http://www.bananarepublic.com/
"
40,"http://www.basspro.com/servlet/catalog.OnlineShopping?hvarAID=bizrate&cm_mmc=Shopzilla-_-Marketing+Link-_--1-_-default
"
41,"http://www.beallsflorida.com
"
42,"http://www.belk.com/
"
43,"http://www.betterhealthinternational.com/
"
44,"http://www.birchbox.com
"
45,"http://www.black.co.uk
"
46,"http://www.boscovs.com/
"
47,"http://www.brownells.com
"
48,"http://www.build.com
"
49,"http://www.cavenders.com
"
50,"http://www.deepdiscount.com
"
51,"http://www.discountdance.com/spframe_set.php3?mf=/main_index.html&ovmkt=VHVCGLKSIBH11ELMVT8R23BIL0
"
52,"http://www.doversaddlery.com
"
53,"http://www.efloors.com
"
54,"http://www.elephantwine.com
"
55,"http://www.emerchantoutlet.com
"
56,"http://www.esalon.com
"
57,"http://www.everythingbutwater.com
"
58,"http://www.fansedge.com/
"
59,"http://www.fragrancenet.com/fnet/index.html?mv_pc=bizrateMF
"
60,"http://www.freshnless.com
"
61,"http://www.gardensalive.com
"
62,"http://www.giftespot.com
"
63,"http://www.gnc.com
"
64,"http://www.golfworks.com
"
65,"http://www.groupon.com
"
66,"http://www.hairthirst.com
"
67,"http://www.halloweencostumes.com
"
68,"http://www.halloweencostumesupplystore.com
"
69,"http://www.hautelook.com
"
70,"http://www.hconecompanies.com
"
71,"http://www.homedepot.com
"
72,"http://www.honest.com
"
73,"http://www.hottopic.com
"
74,"http://www.houzz.com
"
75,"http://www.jcpenney.com/
"
76,"http://www.joylot.com
"
77,"http://www.katom.com
"
78,"http://www.kinkytoy.store
"
79,"http://www.kmart.com
"
80,"http://www.kohls.com
"
81,"http://www.layoffpain.com/
"
82,"http://www.luckyvitamin.com
"
83,"http://www.lulus.com
"
84,"http://www.lyst.com
"
85,"http://www.macys.com
"
86,"http://www.maurices.com
"
87,"http://www.mrporter.com
"
88,"http://www.mybeautybuy.com
"
89,"http://www.naturewoo.com/
"
90,"http://www.net-a-porter.com
"
91,"http://www.netnutri.com
"
92,"http://www.nordstrom.com
"
93,"http://www.nordstromrack.com
"
94,"http://www.northerntool.com/
"
95,"http://www.novica.com
"
96,"http://www.oceansmall.net
"
97,"http://www.officesupersavers.com
"
98,"http://www.olordejulie.com
"
99,"http://www.onlinelivingaids.com/
"
100,"http://www.onlinemegamall.com
"
101,"http://www.peazzfurniture.com
"
102,"http://www.petco.com/Landing/RedirectSource.aspx?RedirectURL=http%3a%2f%2fwww.petco.com%3fcm_ven%3dbiz%26cm_cat%3d
"
103,"http://www.peterglenn.com
"
104,"http://www.qvc.com/
"
105,"http://www.respiratorycarestore.com/
"
106,"http://www.rosegal.com
"
107,"http://www.sababotanical.com
"
108,"http://www.saksoff5th.com
"
109,"http://www.sears.com/sr/entry.jsp?eid=2&sid=I0083000010000100286
"
110,"http://www.shein.com
"
111,"http://www.shelhealth.com
"
112,"http://www.shindigz.com
"
113,"http://www.sonicelectronix.com
"
114,"http://www.spellbinderspaperarts.com
"
115,"http://www.sportsmanguide.com
"
116,"http://www.springsunday.com
"
117,"http://www.ssense.com
"
118,"http://www.stomabags.com/
"
119,"http://www.swimoutlet.com
"
120,"http://www.thecrabbynook.com
"
121,"http://www.theoutnet.com/
"
122,"http://www.tschome.com
"
