,Shops
0,"http://advancecomputeronline.com
"
1,"http://livingsocial.com
"
2,"http://poshmark.com
"
3,"http://samsclub.com
"
4,"http://software-now.com
"
5,"http://www.Adorama.com
"
6,"http://www.BarristerBooks.com
"
7,"http://www.abt.com
"
8,"http://www.amazon.com
"
9,"http://www.amazon.com/
"
10,"http://www.autoanything.com/car_truck_accessories.aspx?kc=BR351
"
11,"http://www.autopartswarehouse.com
"
12,"http://www.bhphotovideo.com/?BI=82
"
13,"http://www.bizchair.com
"
14,"http://www.deluxe.com
"
15,"http://www.emerchantoutlet.com
"
16,"http://www.groupon.com
"
17,"http://www.homedepot.com
"
18,"http://www.hrdirect.com
"
19,"http://www.interstatemusic.com
"
20,"http://www.lenovo.com/think/us/en/
"
21,"http://www.newegg.com
"
22,"http://www.officemediasoftware.com
"
23,"http://www.quicken.com
"
24,"http://www.qvc.com/
"
25,"http://www.softwarecw.com
"
26,"http://www.turbotax.com
"
27,"http://www1.us.dell.com/content/
"
28,"https://renewgoo.com/
"
29,"https://softdiscountoutlet.com/
"
30,"https://www.allhdd.com
"
31,"https://www.greatamericancomputer.com
"
32,"https://www.homedepot.com
"
33,"https://www.secondsale.com
"
34,"https://www.thepcconnectstorellc.com/
"
