,Shops
0,"http://brittandjules.com
"
1,"http://livingsocial.com
"
2,"http://poshmark.com
"
3,"http://samsclub.com
"
4,"http://www.CenturyNovelty.com
"
5,"http://www.DisneyStore.com
"
6,"http://www.abt.com
"
7,"http://www.allposters.com
"
8,"http://www.amazon.com
"
9,"http://www.amazon.com/
"
10,"http://www.basspro.com/servlet/catalog.OnlineShopping?hvarAID=bizrate&cm_mmc=Shopzilla-_-Marketing+Link-_--1-_-default
"
11,"http://www.beallsflorida.com
"
12,"http://www.belk.com/
"
13,"http://www.boscovs.com/
"
14,"http://www.build.com
"
15,"http://www.crateandbarrel.com
"
16,"http://www.emerchantoutlet.com
"
17,"http://www.freshnless.com
"
18,"http://www.groupon.com
"
19,"http://www.homeclick.com/default.asp?&tl=BIZRATE&mafid=4530
"
20,"http://www.homedepot.com
"
21,"http://www.hottopic.com
"
22,"http://www.houzz.com
"
23,"http://www.jcpenney.com/
"
24,"http://www.katom.com
"
25,"http://www.kohls.com
"
26,"http://www.kotulas.com
"
27,"http://www.macys.com
"
28,"http://www.nordstromrack.com
"
29,"http://www.northerntool.com/
"
30,"http://www.personalcreations.com/x_e.asp?r=PCBZRT
"
31,"http://www.qvc.com/
"
32,"http://www.shindigz.com
"
33,"http://www.tschome.com
"
34,"http://www.walmart.com
"
35,"http://www.wayfair.com
"
36,"http://www.webstaurantstore.com
"
37,"http://www.youngexplorers.com/
"
38,"http://www.zoro.com
"
39,"http://www.zulily.com
"
40,"https://acdecor.biz/
"
41,"https://bargainjunkie.com/
"
42,"https://gg-decor.com/
"
43,"https://ironandresin.com/
"
44,"https://www.discountmugs.com
"
45,"https://www.fun.com
"
46,"https://www.hayneedle.com
"
47,"https://www.homedepot.com
"
48,"https://www.trouva.com/
"
