,Shops
0,"http://livingsocial.com
"
1,"http://poshmark.com
"
2,"http://samsclub.com
"
3,"http://www.6ave.com
"
4,"http://www.Adorama.com
"
5,"http://www.ReStockIt.com
"
6,"http://www.SchoolOutfitters.com
"
7,"http://www.abt.com
"
8,"http://www.amazon.com
"
9,"http://www.amazon.com/
"
10,"http://www.belk.com/
"
11,"http://www.bhphotovideo.com/?BI=82
"
12,"http://www.bulbamerica.com
"
13,"http://www.buybizsupplies.com
"
14,"http://www.crutchfield.com/I-rbizc000/index.html
"
15,"http://www.dell.com
"
16,"http://www.emerchantoutlet.com
"
17,"http://www.epsonstore.com
"
18,"http://www.gamestop.com
"
19,"http://www.groupon.com
"
20,"http://www.homedepot.com
"
21,"http://www.homegoodscenter.com
"
22,"http://www.hpshopping.com/cgi-bin/shopping/site_entrance.cgi?template_type=Home&aoid=9142
"
23,"http://www.jcpenney.com/
"
24,"http://www.jerrysartarama.com
"
25,"http://www.kohls.com
"
26,"http://www.macys.com
"
27,"http://www.newegg.com
"
28,"http://www.oceansmall.net
"
29,"http://www.officesupersavers.com
"
30,"http://www.onlinemegamall.com
"
31,"http://www.qvc.com/
"
32,"http://www.tschome.com
"
33,"http://www.walmart.com
"
34,"http://www.wayfair.com
"
35,"http://www.webstaurantstore.com
"
36,"http://www.wholesurgical.com/
"
37,"http://www1.us.dell.com/content/
"
38,"https://pstpoolsupplies.com
"
39,"https://renewgoo.com/
"
40,"https://www.costway.com/
"
41,"https://www.dhgate.com/
"
42,"https://www.discountmugs.com
"
43,"https://www.hayneedle.com
"
44,"https://www.homedepot.com
"
45,"https://www.porterelectronics.com
"
46,"https://www.seenebula.com/
"
47,"https://www.trouva.com/
"
48,"www.crutchfield.com
"
