,Shops
0,"http://bluebath.com
"
1,"http://brittandjules.com
"
2,"http://gurneys.com
"
3,"http://poshmark.com
"
4,"http://www.BarristerBooks.com
"
5,"http://www.DrsFosterSmith.com
"
6,"http://www.MidwayUSA.com
"
7,"http://www.allposters.com
"
8,"http://www.amazon.com
"
9,"http://www.amazon.com/
"
10,"http://www.americanbookwarehouse.com
"
11,"http://www.autogeek.net
"
12,"http://www.autopia-carcare.com
"
13,"http://www.basspro.com/servlet/catalog.OnlineShopping?hvarAID=bizrate&cm_mmc=Shopzilla-_-Marketing+Link-_--1-_-default
"
14,"http://www.belk.com/
"
15,"http://www.brownells.com
"
16,"http://www.christianbookbag.com
"
17,"http://www.cyberteez.com
"
18,"http://www.deepdiscount.com
"
19,"http://www.emerchantoutlet.com
"
20,"http://www.fansedge.com/
"
21,"http://www.fitzulas.com
"
22,"http://www.freshnless.com
"
23,"http://www.groupon.com
"
24,"http://www.halloweencostumesupplystore.com
"
25,"http://www.homedepot.com
"
26,"http://www.lyst.com
"
27,"http://www.macys.com
"
28,"http://www.musiciansfriend.com/srs7/src=3WBZ4DS/g=home/content/cb/index
"
29,"http://www.net-a-porter.com
"
30,"http://www.oceansmall.net
"
31,"http://www.omahasteaks.com
"
32,"http://www.onlinemegamall.com
"
33,"http://www.personalcreations.com/x_e.asp?r=PCBZRT
"
34,"http://www.personalizationmall.com
"
35,"http://www.proflowers.com
"
36,"http://www.respiratorycarestore.com/
"
37,"http://www.sawesometoys.com
"
38,"http://www.shindigz.com
"
39,"http://www.society6.com/
"
40,"http://www.spellbinderspaperarts.com
"
41,"http://www.sportscollectibles.com
"
42,"http://www.ssense.com
"
43,"http://www.stumpsparty.com
"
44,"http://www.thinkcooltoys.com
"
45,"http://www.titlenine.com
"
46,"http://www.walmart.com
"
47,"http://www.wayfair.com
"
48,"http://www.wholesurgical.com/
"
49,"http://www.yoox.com
"
50,"http://www.zazzle.com
"
51,"https://AutographsForSale.com
"
52,"https://dadancycles.com
"
53,"https://daytshirt.com
"
54,"https://proxytee.com/
"
55,"https://www.coedstore.co/
"
56,"https://www.costbuys.com
"
57,"https://www.cozzoo.com/
"
58,"https://www.fun.com
"
59,"https://www.ruelala.com
"
60,"https://www.secondsale.com
"
61,"https://www.springhillnursery.com
"
62,"https://www.swaggsauce.com
"
63,"https://www.threadsquad.com
"
64,"https://www.tillys.com
"
65,"https://www.trouva.com/
"
66,"https://zonabargainsusa.com
"
67,"thavapeshop.com/
"
