,Shops
0,"http://brittandjules.com
"
1,"http://gate4great.info/
"
2,"http://livingsocial.com
"
3,"http://nitroracer.net
"
4,"http://northshorefaucets.com
"
5,"http://poshmark.com
"
6,"http://samsclub.com
"
7,"http://store.yahoo.com/cgi-bin/clink?dragonballzcentral+eBT9Zm+index.html
"
8,"http://store.yahoo.com/cgi-bin/clink?landfallnav+jqfRKG+index.html
"
9,"http://store.yahoo.com/cgi-bin/clink?opticsplanet+2FJqzq+index.html
"
10,"http://www.6ave.com
"
11,"http://www.Adorama.com
"
12,"http://www.CatalogFavorites.com/
"
13,"http://www.Educents.com
"
14,"http://www.LambertVetSupply.com
"
15,"http://www.PulseTV.com
"
16,"http://www.abt.com
"
17,"http://www.agrisupply.com
"
18,"http://www.amazon.com
"
19,"http://www.amazon.com/
"
20,"http://www.autoanything.com/car_truck_accessories.aspx?kc=BR351
"
21,"http://www.autogeek.net
"
22,"http://www.autopia-carcare.com
"
23,"http://www.backcountry.com/index.html?CP=BizRateSurvey&SPC-BizRate&mv_pc=r111&GCID=C2000x023
"
24,"http://www.basspro.com/servlet/catalog.OnlineShopping?hvarAID=bizrate&cm_mmc=Shopzilla-_-Marketing+Link-_--1-_-default
"
25,"http://www.beallsflorida.com
"
26,"http://www.belk.com/
"
27,"http://www.bhphotovideo.com/?BI=82
"
28,"http://www.blendmount.com
"
29,"http://www.bluecosmo.com
"
30,"http://www.boscovs.com/
"
31,"http://www.brownells.com
"
32,"http://www.build.com
"
33,"http://www.cavenders.com
"
34,"http://www.chewy.com
"
35,"http://www.cpooutlets.com
"
36,"http://www.crazycarlsdeals.com
"
37,"http://www.crutchfield.com/I-rbizc000/index.html
"
38,"http://www.deepdiscount.com
"
39,"http://www.dell.com
"
40,"http://www.denniskirk.com
"
41,"http://www.discounttiredirect.com
"
42,"http://www.emerchantoutlet.com
"
43,"http://www.fansedge.com/
"
44,"http://www.faucetdirect.com?/source=bizrate
"
45,"http://www.gamestop.com
"
46,"http://www.groupon.com
"
47,"http://www.halloweencostumes.com
"
48,"http://www.homeclick.com/default.asp?&tl=BIZRATE&mafid=4530
"
49,"http://www.homedepot.com
"
50,"http://www.houzz.com
"
51,"http://www.jcpenney.com/
"
52,"http://www.johnnyseeds.com
"
53,"http://www.kohls.com
"
54,"http://www.kotulas.com
"
55,"http://www.larsonelectronics.com
"
56,"http://www.lenovo.com/think/us/en/
"
57,"http://www.lightingdirect.com
"
58,"http://www.lockandhinge.com
"
59,"http://www.macys.com
"
60,"http://www.motoin.de/index.php?language=en
"
61,"http://www.mpb.com/en-us
"
62,"http://www.musiciansfriend.com/srs7/src=3WBZ4DS/g=home/content/cb/index
"
63,"http://www.northerntool.com/
"
64,"http://www.oceansmall.net
"
65,"http://www.onlinemegamall.com
"
66,"http://www.partsgeek.com
"
67,"http://www.qvc.com/
"
68,"http://www.ritzcamera.com
"
69,"http://www.sawesometoys.com
"
70,"http://www.shineretrofits.com
"
71,"http://www.shoemall.com
"
72,"http://www.ssense.com
"
73,"http://www.thesensorconnection.com
"
74,"http://www.tschome.com
"
75,"http://www.tscshops.com
"
76,"http://www.tsctoys.com
"
77,"http://www.underarmour.com
"
78,"http://www.walmart.com
"
79,"http://www.warehousespot.com
"
80,"http://www.wayfair.com
"
81,"http://www.webstaurantstore.com
"
82,"http://www.weldingsuppliesfromioc.com
"
83,"http://www.wholesurgical.com/
"
84,"http://www.youngexplorers.com/
"
85,"http://www.zoro.com
"
86,"http://www.zulily.com
"
87,"https://acdecor.biz/
"
88,"https://caautoparts.com/
"
89,"https://gg-decor.com/
"
90,"https://pstpoolsupplies.com
"
91,"https://renewgoo.com/
"
92,"https://swagtron.com
"
93,"https://voalens.com
"
94,"https://www.aosom.com
"
95,"https://www.campsaver.com
"
96,"https://www.cjponyparts.com/
"
97,"https://www.coedstore.co/
"
98,"https://www.costway.com/
"
99,"https://www.cozzoo.com/
"
100,"https://www.dhgate.com/
"
101,"https://www.discountmugs.com
"
102,"https://www.fun.com
"
103,"https://www.hayneedle.com
"
104,"https://www.hexbug.com
"
105,"https://www.hibbett.com/
"
106,"https://www.hlsproparts.com
"
107,"https://www.homedepot.com
"
108,"https://www.marketcol.com
"
109,"https://www.sportsmans.com/
"
110,"https://www.trouva.com/
"
111,"www.crutchfield.com
"
