,Shops
0,"http://gate4great.info/
"
1,"http://parkseed.com
"
2,"http://poshmark.com
"
3,"http://samsclub.com
"
4,"http://store.yahoo.com/cgi-bin/clink?landfallnav+jqfRKG+index.html
"
5,"http://store.yahoo.com/cgi-bin/clink?opticsplanet+2FJqzq+index.html
"
6,"http://www.Adorama.com
"
7,"http://www.UtahSkis.com
"
8,"http://www.allposters.com
"
9,"http://www.amazon.com
"
10,"http://www.amazon.com/
"
11,"http://www.appoutdoors.com
"
12,"http://www.autoanything.com/car_truck_accessories.aspx?kc=BR351
"
13,"http://www.backcountry.com/index.html?CP=BizRateSurvey&SPC-BizRate&mv_pc=r111&GCID=C2000x023
"
14,"http://www.basspro.com/servlet/catalog.OnlineShopping?hvarAID=bizrate&cm_mmc=Shopzilla-_-Marketing+Link-_--1-_-default
"
15,"http://www.bluefly.com
"
16,"http://www.boscovs.com/
"
17,"http://www.classicshapewear.com
"
18,"http://www.deepdiscount.com
"
19,"http://www.designeroptics.com
"
20,"http://www.doversaddlery.com
"
21,"http://www.emerchantoutlet.com
"
22,"http://www.everestgear.com
"
23,"http://www.hautelook.com
"
24,"http://www.homedepot.com
"
25,"http://www.jcpenney.com/
"
26,"http://www.joesnewbalanceoutlet.com
"
27,"http://www.joylot.com
"
28,"http://www.llbean.com/
"
29,"http://www.lyst.com
"
30,"http://www.macys.com
"
31,"http://www.mountainsteals.com
"
32,"http://www.net-a-porter.com
"
33,"http://www.peterglenn.com
"
34,"http://www.proboardshop.com
"
35,"http://www.rue21.com/
"
36,"http://www.sears.com/sr/entry.jsp?eid=2&sid=I0083000010000100286
"
37,"http://www.shoemall.com
"
38,"http://www.sportsmanguide.com
"
39,"http://www.ssense.com
"
40,"http://www.the-house.com
"
41,"http://www.thredup.com
"
42,"http://www.walmart.com
"
43,"http://www.woundtx.com/
"
44,"http://www.yoox.com
"
45,"http://www.zappos.com
"
46,"https://brandsvice.com/
"
47,"https://dadancycles.com
"
48,"https://shop.bikini.com
"
49,"https://webstore.northsails.com/us/en/homepage
"
50,"https://www.big5sportinggoods.com
"
51,"https://www.campsaver.com
"
52,"https://www.costbuys.com
"
53,"https://www.italist.com/en/
"
54,"https://www.mountainwarehouse.com/us/
"
55,"https://www.shoes.com
"
56,"https://www.sportsmans.com/
"
57,"https://www.springhillnursery.com
"
58,"https://www.therealreal.com
"
59,"https://www.tillys.com
"
60,"https://www.trouva.com/
"
