,Shops
0,"http://amazonmicrousa.com
"
1,"http://brittandjules.com
"
2,"http://critpro.com
"
3,"http://holabirdsports.com
"
4,"http://livingsocial.com
"
5,"http://modernofficefurniture.com
"
6,"http://poshmark.com
"
7,"http://samsclub.com
"
8,"http://shop.mlb.com/
"
9,"http://soccer.epicsports.com
"
10,"http://store.yahoo.com/cgi-bin/clink?landfallnav+jqfRKG+index.html
"
11,"http://store.yahoo.com/cgi-bin/clink?opticsplanet+2FJqzq+index.html
"
12,"http://www.1800lighting.com
"
13,"http://www.Adorama.com
"
14,"http://www.CB2.com
"
15,"http://www.CellularOutfitter.com
"
16,"http://www.DisneyStore.com
"
17,"http://www.Fanatics.com
"
18,"http://www.PulseTV.com
"
19,"http://www.SchoolOutfitters.com
"
20,"http://www.abt.com
"
21,"http://www.acoutlet.shop/
"
22,"http://www.allivet.com
"
23,"http://www.allposters.com
"
24,"http://www.amazon.com
"
25,"http://www.amazon.com/
"
26,"http://www.americanbookwarehouse.com
"
27,"http://www.amsterdamprinting.com
"
28,"http://www.appoutdoors.com
"
29,"http://www.autoanything.com/car_truck_accessories.aspx?kc=BR351
"
30,"http://www.backcountry.com/index.html?CP=BizRateSurvey&SPC-BizRate&mv_pc=r111&GCID=C2000x023
"
31,"http://www.bambeco.com
"
32,"http://www.basspro.com/servlet/catalog.OnlineShopping?hvarAID=bizrate&cm_mmc=Shopzilla-_-Marketing+Link-_--1-_-default
"
33,"http://www.beallsflorida.com
"
34,"http://www.belk.com/
"
35,"http://www.betterhealthinternational.com/
"
36,"http://www.bhphotovideo.com/?BI=82
"
37,"http://www.birchbox.com
"
38,"http://www.bizchair.com
"
39,"http://www.boscovs.com/
"
40,"http://www.bossaudio.com
"
41,"http://www.build.com
"
42,"http://www.buybizsupplies.com
"
43,"http://www.cellphonecases.com
"
44,"http://www.cleanitsupply.com
"
45,"http://www.cpooutlets.com
"
46,"http://www.crazycarlsdeals.com
"
47,"http://www.crutchfield.com/I-rbizc000/index.html
"
48,"http://www.cymax.com/
"
49,"http://www.deepdiscount.com
"
50,"http://www.dell.com
"
51,"http://www.denniskirk.com
"
52,"http://www.efaucets.com
"
53,"http://www.emerchantoutlet.com
"
54,"http://www.eventcameras.com
"
55,"http://www.fansedge.com/
"
56,"http://www.faucetdirect.com?/source=bizrate
"
57,"http://www.gamestop.com
"
58,"http://www.gearclubdirect.com
"
59,"http://www.groupon.com
"
60,"http://www.harmanaudio.com
"
61,"http://www.hconecompanies.com
"
62,"http://www.homeclick.com/default.asp?&tl=BIZRATE&mafid=4530
"
63,"http://www.homedepot.com
"
64,"http://www.homegoodscenter.com
"
65,"http://www.hottopic.com
"
66,"http://www.houzz.com
"
