,Shops
0,"http://amalfidecor.com
"
1,"http://apartysource.com
"
2,"http://bakersauthority.com
"
3,"http://bluebath.com
"
4,"http://brittandjules.com
"
5,"http://clickserve.cc-dt.com/link/click?lid=41000000000574585
"
6,"http://decorzee.com
"
7,"http://discountdecorativeflags.com
"
8,"http://gate4great.info/
"
9,"http://gurneys.com
"
10,"http://holabirdsports.com
"
11,"http://linksoul.com
"
12,"http://my-bio-zen.com
"
13,"http://parkseed.com
"
14,"http://poshmark.com
"
15,"http://ring-ninja.com
"
16,"http://samsclub.com
"
17,"http://shop.mlb.com/
"
18,"http://shop.nhl.com
"
19,"http://soccer.epicsports.com
"
20,"http://store.nba.com/
"
21,"http://store.yahoo.com/cgi-bin/clink?dragonballzcentral+eBT9Zm+index.html
"
22,"http://store.yahoo.com/cgi-bin/clink?landfallnav+jqfRKG+index.html
"
23,"http://store.yahoo.com/cgi-bin/clink?opticsplanet+2FJqzq+index.html
"
24,"http://theelegantoffice.com
"
25,"http://thefixturezone.com
"
26,"http://www.1800lighting.com
"
27,"http://www.Adorama.com
"
28,"http://www.CB2.com
"
29,"http://www.Campmor.com
"
30,"http://www.CatalogFavorites.com/
"
31,"http://www.CenturyNovelty.com
"
32,"http://www.DisneyStore.com
"
33,"http://www.DrsFosterSmith.com
"
34,"http://www.Educents.com
"
35,"http://www.Fanatics.com
"
36,"http://www.JustArtifacts.net
"
37,"http://www.Lenox.com
"
38,"http://www.MidwayUSA.com
"
39,"http://www.PartySpin.com
"
40,"http://www.PulseTV.com
"
41,"http://www.ReStockIt.com
"
42,"http://www.SchoolOutfitters.com
"
43,"http://www.abt.com
"
44,"http://www.acoutlet.shop/
"
45,"http://www.allposters.com
"
46,"http://www.amazon.com
"
47,"http://www.amazon.com/
"
48,"http://www.amsterdamprinting.com
"
49,"http://www.anjaysdesigns.com/
"
50,"http://www.appoutdoors.com
"
51,"http://www.ariat.com
"
52,"http://www.asecretadmirer.com
"
53,"http://www.autoanything.com/car_truck_accessories.aspx?kc=BR351
"
54,"http://www.autogeek.net
"
55,"http://www.autopia-carcare.com
"
56,"http://www.avondaleactive.com
"
57,"http://www.backcountry.com/index.html?CP=BizRateSurvey&SPC-BizRate&mv_pc=r111&GCID=C2000x023
"
58,"http://www.backinthesaddle.com/
"
59,"http://www.bagsandbowsonline.com
"
60,"http://www.ballarddesigns.com
"
61,"http://www.bambeco.com
"
62,"http://www.basspro.com/servlet/catalog.OnlineShopping?hvarAID=bizrate&cm_mmc=Shopzilla-_-Marketing+Link-_--1-_-default
"
63,"http://www.beallsflorida.com
"
64,"http://www.belk.com/
"
65,"http://www.bevmo.com
"
66,"http://www.birchbox.com
"
67,"http://www.bizchair.com
"
68,"http://www.blackhelmetapparel.com
"
69,"http://www.blair.com
"
70,"http://www.bluefly.com
"
71,"http://www.bodybuilding.com
"
72,"http://www.boscovs.com/
"
73,"http://www.brownells.com
"
74,"http://www.buckle.com
"
75,"http://www.build.com
"
76,"http://www.cavenders.com
"
77,"http://www.charlotterusse.com
"
78,"http://www.chicos.com
"
79,"http://www.cleanitsupply.com
"
80,"http://www.cokesbury.com
"
81,"http://www.crateandbarrel.com
"
82,"http://www.crazycarlsdeals.com
"
83,"http://www.cyberteez.com
"
84,"http://www.cymax.com/
"
85,"http://www.deepdiscount.com
"
86,"http://www.denniskirk.com
"
87,"http://www.designeroptics.com
"
88,"http://www.displays2go.com
"
89,"http://www.doversaddlery.com
"
90,"http://www.dutchbulbs.com
"
91,"http://www.efaucets.com
"
92,"http://www.elephantwine.com
"
93,"http://www.emerchantoutlet.com
"
94,"http://www.everestgear.com
"
95,"http://www.expressionscatalog.com/
"
96,"http://www.fansedge.com/
"
97,"http://www.faucetdirect.com?/source=bizrate
"
98,"http://www.finelinens.com
"
99,"http://www.fitzulas.com
"
100,"http://www.fivebarkingdogs.com
"
101,"http://www.franceandson.com
"
102,"http://www.freshnless.com
"
103,"http://www.freshwatersystems.com
"
104,"http://www.frontgate.com/jump.jsp?itemID=162&itemType=HOME_PAGE&k=ZZ50921
"
105,"http://www.gamestop.com
"
106,"http://www.garyswine.com
"
107,"http://www.gliks.com
"
108,"http://www.golfshopplus.com
"
109,"http://www.grandinroad.com/jump.jsp?itemID=163&itemType=HOME_PAGE&k=ZZ50922
"
110,"http://www.groupon.com
"
111,"http://www.halloweencostumes.com
"
112,"http://www.halloweencostumesupplystore.com
"
113,"http://www.harryanddavid.com
"
114,"http://www.hautelook.com
"
115,"http://www.hconecompanies.com
"
116,"http://www.heartratemonitorsusa.com
"
117,"http://www.highfashionhome.com
"
118,"http://www.homeclick.com/default.asp?&tl=BIZRATE&mafid=4530
"
119,"http://www.homedepot.com
"
120,"http://www.homegoodscenter.com
"
121,"http://www.hottopic.com
"
122,"http://www.houzz.com
"
123,"http://www.inthecompanyofdogs.com/
"
124,"http://www.jcpenney.com/
"
125,"http://www.jenniferadams.com
"
126,"http://www.jerrysartarama.com
"
127,"http://www.jmbullion.com/
"
128,"http://www.joylot.com
"
129,"http://www.katespade.com
"
130,"http://www.katom.com
"
131,"http://www.kmart.com
"
132,"http://www.kohls.com
"
133,"http://www.kotulas.com
"
134,"http://www.kqzyfj.com/click-177778-10379988
"
