,Shops
0,"http://brittandjules.com
"
1,"http://livingsocial.com
"
2,"http://my-bio-zen.com
"
3,"http://poshmark.com
"
4,"http://samsclub.com
"
5,"http://store.yahoo.com/cgi-bin/clink?landfallnav+jqfRKG+index.html
"
6,"http://www.Adorama.com
"
7,"http://www.amazon.com
"
8,"http://www.amazon.com/
"
9,"http://www.basspro.com/servlet/catalog.OnlineShopping?hvarAID=bizrate&cm_mmc=Shopzilla-_-Marketing+Link-_--1-_-default
"
10,"http://www.birchbox.com
"
11,"http://www.bluefly.com
"
12,"http://www.boscovs.com/
"
13,"http://www.coolibar.com
"
14,"http://www.familyleisure.com
"
15,"http://www.fragrancenet.com/fnet/index.html?mv_pc=bizrateMF
"
16,"http://www.freshnless.com
"
17,"http://www.hairthirst.com
"
18,"http://www.homedepot.com
"
19,"http://www.luckyvitamin.com
"
20,"http://www.macys.com
"
21,"http://www.naturewoo.com/
"
22,"http://www.netnutri.com
"
23,"http://www.oceansmall.net
"
24,"http://www.olordejulie.com
"
25,"http://www.paulaschoice.com
"
26,"http://www.qvc.com/
"
27,"http://www.stomabags.com/
"
28,"http://www.zulily.com
"
29,"https://goop.com
"
30,"https://www.discountmugs.com
"
31,"https://www.therealreal.com
"
