,Shops
0,"http://carhartt.com
"
1,"http://gurneys.com
"
2,"http://livingsocial.com
"
3,"http://poshmark.com
"
4,"http://shop.mlb.com/
"
5,"http://store.yahoo.com/cgi-bin/clink?landfallnav+jqfRKG+index.html
"
6,"http://www.Adorama.com
"
7,"http://www.BarristerBooks.com
"
8,"http://www.Fanatics.com
"
9,"http://www.agrisupply.com
"
10,"http://www.allposters.com
"
11,"http://www.amazon.com
"
12,"http://www.amazon.com/
"
13,"http://www.americanbookwarehouse.com
"
14,"http://www.autopia-carcare.com
"
15,"http://www.backcountry.com/index.html?CP=BizRateSurvey&SPC-BizRate&mv_pc=r111&GCID=C2000x023
"
16,"http://www.basspro.com/servlet/catalog.OnlineShopping?hvarAID=bizrate&cm_mmc=Shopzilla-_-Marketing+Link-_--1-_-default
"
17,"http://www.bestmaterials.com
"
18,"http://www.bhphotovideo.com/?BI=82
"
19,"http://www.bizchair.com
"
20,"http://www.build.com
"
21,"http://www.cavenders.com
"
22,"http://www.christianbookbag.com
"
23,"http://www.countrystorecatalog.com
"
24,"http://www.crazycarlsdeals.com
"
25,"http://www.deepdiscount.com
"
26,"http://www.doversaddlery.com
"
27,"http://www.efaucets.com
"
28,"http://www.elitemetaltools.com
"
29,"http://www.emerchantoutlet.com
"
30,"http://www.fansedge.com/
"
31,"http://www.faucetdirect.com?/source=bizrate
"
32,"http://www.freshnless.com
"
33,"http://www.halloweencostumesupplystore.com
"
34,"http://www.homedepot.com
"
35,"http://www.ifixit.com
"
36,"http://www.kohls.com
"
37,"http://www.larsonelectronics.com
"
38,"http://www.layoffpain.com/
"
39,"http://www.lightingdirect.com
"
40,"http://www.lockandhinge.com
"
41,"http://www.mobilityequip.com/
"
42,"http://www.net-a-porter.com
"
43,"http://www.officesupersavers.com
"
44,"http://www.onlinelivingaids.com/
"
45,"http://www.replacements.com
"
46,"http://www.respiratorycarestore.com/
"
47,"http://www.sawesometoys.com
"
48,"http://www.sears.com/sr/entry.jsp?eid=2&sid=I0083000010000100286
"
49,"http://www.society6.com/
"
50,"http://www.sportsmanguide.com
"
51,"http://www.stomabags.com/
"
52,"http://www.sweetwater.com
"
53,"http://www.valleyvet.com
"
54,"http://www.walmart.com
"
55,"http://www.wayfair.com
"
56,"http://www.webstaurantstore.com
"
57,"http://www.weldingsuppliesfromioc.com
"
58,"http://www.wholesurgical.com/
"
59,"http://www.woundtx.com/
"
60,"http://www.zazzle.com
"
61,"http://www.zulily.com
"
62,"https://selletonscales.com
"
63,"https://www.cjponyparts.com/
"
64,"https://www.costbuys.com
"
65,"https://www.dhgate.com/
"
66,"https://www.fun.com
"
67,"https://www.hayneedle.com
"
68,"https://www.hexbug.com
"
69,"https://www.homedepot.com
"
70,"https://www.invertersupply.com
"
71,"https://www.lightbulbs.com
"
72,"https://www.secondsale.com
"
73,"https://www.trouva.com/
"
