,Shops
0,"http://livingsocial.com
"
1,"http://samsclub.com
"
2,"http://store.yahoo.com/cgi-bin/clink?opticsplanet+2FJqzq+index.html
"
3,"http://www.abt.com
"
4,"http://www.amazon.com
"
5,"http://www.amazon.com/
"
6,"http://www.belk.com/
"
7,"http://www.bluefly.com
"
8,"http://www.boscovs.com/
"
9,"http://www.build.com
"
10,"http://www.emerchantoutlet.com
"
11,"http://www.fansedge.com/
"
12,"http://www.frontgate.com/jump.jsp?itemID=162&itemType=HOME_PAGE&k=ZZ50921
"
13,"http://www.groupon.com
"
14,"http://www.homedepot.com
"
15,"http://www.houzz.com
"
16,"http://www.jcpenney.com/
"
17,"http://www.katom.com
"
18,"http://www.kohls.com
"
19,"http://www.macys.com
"
20,"http://www.officesupersavers.com
"
21,"http://www.overstock.com/cgi-bin/d2.cgi?cid=19516&fp=f
"
22,"http://www.qvc.com/
"
23,"http://www.sears.com/sr/entry.jsp?eid=2&sid=I0083000010000100286
"
24,"http://www.tschome.com
"
25,"http://www.vidaxl.com
"
26,"http://www.walmart.com
"
27,"http://www.wayfair.com
"
28,"http://www.webstaurantstore.com
"
29,"http://www.zoro.com
"
30,"http://www.zoro1.com
"
31,"http://www.zulily.com
"
32,"https://www.brava.com/
"
33,"https://www.costway.com/
"
34,"https://www.hayneedle.com
"
35,"https://www.homedepot.com
"
36,"https://www.ruelala.com
"
