,Shops
0,"http://brittandjules.com
"
1,"http://livingsocial.com
"
2,"http://poshmark.com
"
3,"http://reslat.com
"
4,"http://samsclub.com
"
5,"http://shop.mlb.com/
"
6,"http://store.nba.com/
"
7,"http://store.yahoo.com/cgi-bin/clink?dragonballzcentral+eBT9Zm+index.html
"
8,"http://www.Adorama.com
"
9,"http://www.DisneyStore.com
"
10,"http://www.Educents.com
"
11,"http://www.abt.com
"
12,"http://www.allposters.com
"
13,"http://www.amazon.com
"
14,"http://www.amazon.com/
"
15,"http://www.backcountry.com/index.html?CP=BizRateSurvey&SPC-BizRate&mv_pc=r111&GCID=C2000x023
"
16,"http://www.beallsflorida.com
"
17,"http://www.bhphotovideo.com/?BI=82
"
18,"http://www.chewy.com
"
19,"http://www.deepdiscount.com
"
20,"http://www.dell.com
"
21,"http://www.emerchantoutlet.com
"
22,"http://www.gamestop.com
"
23,"http://www.groupon.com
"
24,"http://www.homedepot.com
"
25,"http://www.interstatemusic.com
"
26,"http://www.jcpenney.com/
"
27,"http://www.kohls.com
"
28,"http://www.kotulas.com
"
29,"http://www.lenovo.com/think/us/en/
"
30,"http://www.macys.com
"
31,"http://www.musiciansfriend.com/srs7/src=3WBZ4DS/g=home/content/cb/index
"
32,"http://www.onlinemegamall.com
"
33,"http://www.qvc.com/
"
34,"http://www.shindigz.com
"
35,"http://www.softwarecw.com
"
36,"http://www.stumpsparty.com
"
37,"http://www.thinkcooltoys.com
"
38,"http://www.tscshops.com
"
39,"http://www.tsctoys.com
"
40,"http://www.walmart.com
"
41,"http://www.wayfair.com
"
42,"http://www.winechateau.com
"
43,"http://www.youngexplorers.com/
"
44,"http://www.zazzle.com
"
45,"http://www.zulily.com
"
46,"https://AutographsForSale.com
"
47,"https://renewgoo.com/
"
48,"https://www.datavision.com
"
49,"https://www.eneba.com
"
50,"https://www.fun.com
"
51,"https://www.gamedownload247.com
"
52,"https://www.homedepot.com
"
53,"https://www.raise.com/
"
54,"https://www.secondsale.com
"
55,"https://www.thepcconnectstorellc.com/
"
56,"https://www.toyorb.com
"
