,Shops
0,"http://clickserve.cc-dt.com/link/click?lid=41000000005587322
"
1,"http://poshmark.com
"
2,"http://soccer.epicsports.com
"
3,"http://store.yahoo.com/cgi-bin/clink?landfallnav+jqfRKG+index.html
"
4,"http://store.yahoo.com/cgi-bin/clink?opticsplanet+2FJqzq+index.html
"
5,"http://www.Campmor.com
"
6,"http://www.amazon.com
"
7,"http://www.amazon.com/
"
8,"http://www.backcountry.com/index.html?CP=BizRateSurvey&SPC-BizRate&mv_pc=r111&GCID=C2000x023
"
9,"http://www.basspro.com/servlet/catalog.OnlineShopping?hvarAID=bizrate&cm_mmc=Shopzilla-_-Marketing+Link-_--1-_-default
"
10,"http://www.beallsflorida.com
"
11,"http://www.belk.com/
"
12,"http://www.blueandcream.com
"
13,"http://www.coolibar.com
"
14,"http://www.cyberteez.com
"
15,"http://www.deepdiscount.com
"
16,"http://www.emerchantoutlet.com
"
17,"http://www.everythingbutwater.com
"
18,"http://www.fansedge.com/
"
19,"http://www.halloweencostumesupplystore.com
"
20,"http://www.hautelook.com
"
21,"http://www.herroom.com
"
22,"http://www.kinkytoy.store
"
23,"http://www.kohls.com
"
24,"http://www.landsend.com/
"
25,"http://www.layoffpain.com/
"
26,"http://www.llbean.com/
"
27,"http://www.lyst.com
"
28,"http://www.macys.com
"
29,"http://www.mountainsteals.com
"
30,"http://www.nordstrom.com
"
31,"http://www.nordstromrack.com
"
32,"http://www.oceansmall.net
"
33,"http://www.peterglenn.com
"
34,"http://www.pyramidcollection.com/
"
35,"http://www.respiratorycarestore.com/
"
36,"http://www.sears.com/sr/entry.jsp?eid=2&sid=I0083000010000100286
"
37,"http://www.serengeticatalog.com/
"
38,"http://www.speedousa.com
"
39,"http://www.ssense.com
"
40,"http://www.swimoutlet.com
"
41,"http://www.the-house.com
"
42,"http://www.theoutnet.com/
"
43,"http://www.thredup.com
"
44,"http://www.titlenine.com
"
45,"http://www.tommybahama.com
"
46,"http://www.walmart.com
"
47,"http://www.wholesurgical.com/
"
48,"http://www.yoox.com
"
49,"http://www.zappos.com
"
50,"http://www.zulily.com
"
51,"https://ironandresin.com/
"
52,"https://shop.bikini.com
"
53,"https://us.glidesoul.com/en/
"
54,"https://www.big5sportinggoods.com
"
55,"https://www.campsaver.com
"
56,"https://www.costbuys.com
"
57,"https://www.hibbett.com/
"
58,"https://www.marksandspencer.com/us/
"
59,"https://www.mountainwarehouse.com/us/
"
60,"https://www.shoes.com
"
61,"https://www.therealreal.com
"
62,"https://www.tillys.com
"
63,"https://www.trouva.com/
"
