,Shops
0,"http://brittandjules.com
"
1,"http://clickserve.cc-dt.com/link/click?lid=41000000000574585
"
2,"http://closetsauce.com
"
3,"http://discountdecorativeflags.com
"
4,"http://gate4great.info/
"
5,"http://livingsocial.com
"
6,"http://parkseed.com
"
7,"http://poshmark.com
"
8,"http://shop.mlb.com/
"
9,"http://store.yahoo.com/cgi-bin/clink?dragonballzcentral+eBT9Zm+index.html
"
10,"http://store.yahoo.com/cgi-bin/clink?landfallnav+jqfRKG+index.html
"
11,"http://www.Adorama.com
"
12,"http://www.DisneyStore.com
"
13,"http://www.Educents.com
"
14,"http://www.Fanatics.com
"
15,"http://www.PartySpin.com
"
16,"http://www.allposters.com
"
17,"http://www.amazon.com
"
18,"http://www.amazon.com/
"
19,"http://www.autopia-carcare.com
"
20,"http://www.backcountry.com/index.html?CP=BizRateSurvey&SPC-BizRate&mv_pc=r111&GCID=C2000x023
"
21,"http://www.beallsflorida.com
"
22,"http://www.belk.com/
"
23,"http://www.boscovs.com/
"
24,"http://www.brownells.com
"
25,"http://www.cyberteez.com
"
26,"http://www.deepdiscount.com
"
27,"http://www.deluxe.com
"
28,"http://www.emerchantoutlet.com
"
29,"http://www.fansedge.com/
"
30,"http://www.faucetdirect.com?/source=bizrate
"
31,"http://www.fitzulas.com
"
32,"http://www.gamestop.com
"
33,"http://www.golfshopplus.com
"
34,"http://www.groupon.com
"
35,"http://www.halloweencostumes.com
"
36,"http://www.halloweencostumesupplystore.com
"
37,"http://www.homedepot.com
"
38,"http://www.hottopic.com
"
39,"http://www.houzz.com
"
40,"http://www.jcpenney.com/
"
41,"http://www.joylot.com
"
42,"http://www.kohls.com
"
43,"http://www.macys.com
"
44,"http://www.motoin.de/index.php?language=en
"
45,"http://www.musiciansfriend.com/srs7/src=3WBZ4DS/g=home/content/cb/index
"
46,"http://www.partycheap.com
"
47,"http://www.personalcreations.com/x_e.asp?r=PCBZRT
"
48,"http://www.puppethut.com
"
49,"http://www.qvc.com/
"
50,"http://www.sawesometoys.com
"
51,"http://www.scoutandnimble.com
"
52,"http://www.shindigz.com
"
53,"http://www.shoemall.com
"
54,"http://www.sportscollectibles.com
"
55,"http://www.ssense.com
"
56,"http://www.stumpsparty.com
"
57,"http://www.thinkcooltoys.com
"
58,"http://www.tscshops.com
"
59,"http://www.tsctoys.com
"
60,"http://www.underarmour.com
"
61,"http://www.valleyvet.com
"
62,"http://www.walmart.com
"
63,"http://www.warehousespot.com
"
64,"http://www.wayfair.com
"
65,"http://www.wholesurgical.com/
"
66,"http://www.winechateau.com
"
67,"http://www.youngexplorers.com/
"
68,"http://www.zazzle.com
"
69,"http://www.zulily.com
"
70,"https://AutographsForSale.com
"
71,"https://bargainjunkie.com/
"
72,"https://otakuplan.com/
"
73,"https://renewgoo.com/
"
74,"https://store12373258.ecwid.com/
"
75,"https://www.MostlyDead.com
"
76,"https://www.chicksaddlery.com
"
77,"https://www.coedstore.co/
"
78,"https://www.costbuys.com
"
79,"https://www.cozzoo.com/
"
80,"https://www.epicpetster.com
"
81,"https://www.fun.com
"
82,"https://www.hayneedle.com
"
83,"https://www.hexbug.com
"
84,"https://www.hibbett.com/
"
85,"https://www.homedepot.com
"
86,"https://www.marketcol.com
"
87,"https://www.ruelala.com
"
88,"https://www.secondsale.com
"
89,"https://www.sportsmans.com/
"
90,"https://www.threadsquad.com
"
91,"https://www.tillys.com
"
92,"https://www.toyorb.com
"
93,"https://www.trouva.com/
"
