,Shops
0,"http://livingsocial.com
"
1,"http://parkseed.com
"
2,"http://poshmark.com
"
3,"http://store.yahoo.com/cgi-bin/clink?dragonballzcentral+eBT9Zm+index.html
"
4,"http://www.allposters.com
"
5,"http://www.amazon.com
"
6,"http://www.amazon.com/
"
7,"http://www.americanbookwarehouse.com
"
8,"http://www.appoutdoors.com
"
9,"http://www.halloweencostumesupplystore.com
"
10,"http://www.oceansmall.net
"
11,"http://www.onlinelivingaids.com/
"
12,"http://www.spellbinderspaperarts.com
"
13,"http://www.ssense.com
"
14,"http://www.thecrabbynook.com
"
15,"http://www.walmart.com
"
16,"http://www.wayfair.com
"
17,"http://www.winechateau.com
"
18,"http://www.zazzle.com
"
19,"https://AutographsForSale.com
"
20,"https://www.secondsale.com
"
21,"https://www.therealreal.com
"
22,"https://www.trouva.com/
"
23,"www.ssense.com
"
