,Shops
0,"http://brittandjules.com
"
1,"http://livingsocial.com
"
2,"http://poshmark.com
"
3,"http://www.Adorama.com
"
4,"http://www.SchoolOutfitters.com
"
5,"http://www.amazon.com
"
6,"http://www.amazon.com/
"
7,"http://www.belk.com/
"
8,"http://www.bhphotovideo.com/?BI=82
"
9,"http://www.bizchair.com
"
10,"http://www.cpooutlets.com
"
11,"http://www.emerchantoutlet.com
"
12,"http://www.officesupersavers.com
"
13,"http://www.qvc.com/
"
14,"http://www.walmart.com
"
15,"http://www.webstaurantstore.com
"
16,"http://www.zoro.com
"
17,"https://www.marketcol.com
"
