,Shops
0,"http://livingsocial.com
"
1,"http://poshmark.com
"
2,"http://samsclub.com
"
3,"http://soccer.epicsports.com
"
4,"http://tires-guru.com
"
5,"http://www.allposters.com
"
6,"http://www.amazon.com
"
7,"http://www.amazon.com/
"
8,"http://www.autoanything.com/car_truck_accessories.aspx?kc=BR351
"
9,"http://www.autogeek.net
"
10,"http://www.autopartswarehouse.com
"
11,"http://www.autopia-carcare.com
"
12,"http://www.backcountry.com/index.html?CP=BizRateSurvey&SPC-BizRate&mv_pc=r111&GCID=C2000x023
"
13,"http://www.basspro.com/servlet/catalog.OnlineShopping?hvarAID=bizrate&cm_mmc=Shopzilla-_-Marketing+Link-_--1-_-default
"
14,"http://www.carparts.com
"
15,"http://www.cpooutlets.com
"
16,"http://www.crazycarlsdeals.com
"
17,"http://www.denniskirk.com
"
18,"http://www.discounttiredirect.com
"
19,"http://www.homedepot.com
"
20,"http://www.kotulas.com
"
21,"http://www.mobilityequip.com/
"
22,"http://www.northerntool.com/
"
23,"http://www.partsgeek.com
"
24,"http://www.tirebuyer.com
"
25,"http://www.tirerack.com
"
26,"http://www.tires-bestprices.com
"
27,"http://www.tires-easy.com
"
28,"http://www.walmart.com
"
29,"http://www.wholesurgical.com/
"
30,"http://www.zoro.com
"
31,"http://www.zoro1.com
"
32,"https://caautoparts.com/
"
33,"https://sonaxusa.com
"
34,"https://tiresshipped2you.com/
"
35,"https://www.carparts.com/
"
36,"https://www.cjponyparts.com/
"
37,"https://www.hayneedle.com
"
38,"https://www.hlsproparts.com
"
39,"https://www.homedepot.com
"
