,Shops
0,"http://livingsocial.com
"
1,"http://www.Adorama.com
"
2,"http://www.MidwayUSA.com
"
3,"http://www.amazon.com
"
4,"http://www.amazon.com/
"
5,"http://www.bhphotovideo.com/?BI=82
"
6,"http://www.bizchair.com
"
7,"http://www.bluecosmo.com
"
8,"http://www.dell.com
"
9,"http://www.emerchantoutlet.com
"
10,"http://www.homedepot.com
"
11,"http://www.hpshopping.com/cgi-bin/shopping/site_entrance.cgi?template_type=Home&aoid=9142
"
12,"http://www.newegg.com
"
13,"http://www.officesupersavers.com
"
14,"http://www.onlinelivingaids.com/
"
15,"http://www.stomabags.com/
"
16,"http://www.tschome.com
"
17,"http://www.valleyvet.com
"
18,"http://www.walmart.com
"
19,"http://www.wayfair.com
"
20,"http://www.webstaurantstore.com
"
21,"http://www.wholesurgical.com/
"
22,"http://www.zoro.com
"
23,"http://www1.us.dell.com/content/
"
24,"https://www.dhgate.com/
"
25,"https://www.porterelectronics.com
"
26,"https://www.trouva.com/
"
