,Shops
0,"http://brittandjules.com
"
1,"http://gate4great.info/
"
2,"http://holabirdsports.com
"
3,"http://livingsocial.com
"
4,"http://poshmark.com
"
5,"http://samsclub.com
"
6,"http://soccer.epicsports.com
"
7,"http://store.yahoo.com/cgi-bin/clink?opticsplanet+2FJqzq+index.html
"
8,"http://www.6ave.com
"
9,"http://www.Adorama.com
"
10,"http://www.BarristerBooks.com
"
11,"http://www.Campmor.com
"
12,"http://www.DisneyStore.com
"
13,"http://www.DrsFosterSmith.com
"
14,"http://www.Fanatics.com
"
15,"http://www.LambertVetSupply.com
"
16,"http://www.MidwayUSA.com
"
17,"http://www.PulseTV.com
"
18,"http://www.SchoolOutfitters.com
"
19,"http://www.abt.com
"
20,"http://www.allivet.com
"
21,"http://www.amazon.com
"
22,"http://www.amazon.com/
"
23,"http://www.amsterdamprinting.com
"
24,"http://www.appoutdoors.com
"
25,"http://www.authenticwatches.com
"
26,"http://www.autoanything.com/car_truck_accessories.aspx?kc=BR351
"
27,"http://www.backcountry.com/index.html?CP=BizRateSurvey&SPC-BizRate&mv_pc=r111&GCID=C2000x023
"
28,"http://www.basspro.com/servlet/catalog.OnlineShopping?hvarAID=bizrate&cm_mmc=Shopzilla-_-Marketing+Link-_--1-_-default
"
29,"http://www.beallsflorida.com
"
30,"http://www.belk.com/
"
31,"http://www.bhphotovideo.com/?BI=82
"
32,"http://www.bizchair.com
"
33,"http://www.blackbeltshop.us
"
34,"http://www.blair.com
"
35,"http://www.boscovs.com/
"
36,"http://www.brownells.com
"
37,"http://www.build.com
"
38,"http://www.buybizsupplies.com
"
39,"http://www.californiapetpharmacy.com
"
40,"http://www.chewy.com
"
41,"http://www.concordhealthsupply.com
"
42,"http://www.crazycarlsdeals.com
"
43,"http://www.crutchfield.com/I-rbizc000/index.html
"
44,"http://www.cymax.com/
"
45,"http://www.deepdiscount.com
"
46,"http://www.dell.com
"
47,"http://www.designeroptics.com
"
48,"http://www.diabeticstreatment.com/
"
49,"http://www.discountdance.com/spframe_set.php3?mf=/main_index.html&ovmkt=VHVCGLKSIBH11ELMVT8R23BIL0
"
50,"http://www.doversaddlery.com
"
51,"http://www.driparmor.com/
"
52,"http://www.emerchantoutlet.com
"
53,"http://www.fansedge.com/
"
54,"http://www.fivebarkingdogs.com
"
55,"http://www.fossil.com/shopping/default.asp?Tier1=Shopping&PSID=bizfeedfslshop_ratingspage
"
56,"http://www.freshnless.com
"
57,"http://www.gamestop.com
"
58,"http://www.gnc.com
"
59,"http://www.groupon.com
"
60,"http://www.heartratemonitorsusa.com
"
61,"http://www.herroom.com
"
62,"http://www.homeclick.com/default.asp?&tl=BIZRATE&mafid=4530
"
63,"http://www.homedepot.com
"
64,"http://www.homegoodscenter.com
"
65,"http://www.houzz.com
"
66,"http://www.interstatemusic.com
"
67,"http://www.jcpenney.com/
"
68,"http://www.katespade.com
"
69,"http://www.katom.com
"
70,"http://www.kinkytoy.store
"
71,"http://www.kohls.com
"
72,"http://www.kotulas.com
"
73,"http://www.layoffpain.com/
"
74,"http://www.lenovo.com/think/us/en/
"
75,"http://www.llbean.com/
"
76,"http://www.luckyvitamin.com
"
77,"http://www.lyst.com
"
78,"http://www.macys.com
"
79,"http://www.marcusuniforms.com
"
80,"http://www.michaelkors.com/
"
81,"http://www.mobilityequip.com/
"
82,"http://www.mountainsteals.com
"
83,"http://www.mrporter.com
"
84,"http://www.mrwatch.com
"
85,"http://www.netnutri.com
"
86,"http://www.nordstromrack.com
"
87,"http://www.nprbiomed.com
"
88,"http://www.oceansmall.net
"
89,"http://www.officesupersavers.com
"
90,"http://www.onlinelivingaids.com/
"
91,"http://www.onlinemegamall.com
"
92,"http://www.oralprecision.com/
"
93,"http://www.partsgeek.com
"
94,"http://www.peazz.com
"
95,"http://www.petco.com/Landing/RedirectSource.aspx?RedirectURL=http%3a%2f%2fwww.petco.com%3fcm_ven%3dbiz%26cm_cat%3d
"
96,"http://www.petfenceusa.com
"
97,"http://www.petsupplies4less.com
"
98,"http://www.princetonwatches.com
"
99,"http://www.qvc.com/
"
100,"http://www.respiratorycarestore.com/
"
101,"http://www.ritzcamera.com
"
102,"http://www.saksoff5th.com
"
103,"http://www.sears.com/sr/entry.jsp?eid=2&sid=I0083000010000100286
"
104,"http://www.shelhealth.com
"
105,"http://www.sportsmanguide.com
"
106,"http://www.stomabags.com/
"
107,"http://www.supplements-xv.com
"
108,"http://www.supsave.com
"
109,"http://www.swimoutlet.com
"
110,"http://www.tobox.com
"
111,"http://www.toryburch.com
"
112,"http://www.totallyfurniture.com/
"
113,"http://www.tschome.com
"
114,"http://www.tscshops.com
"
115,"http://www.underarmour.com
"
116,"http://www.valleyvet.com
"
117,"http://www.verizonwireless.com/
"
118,"http://www.walmart.com
"
119,"http://www.wayfair.com
"
120,"http://www.webstaurantstore.com
"
121,"http://www.whateverworks.com/
"
122,"http://www.wholesurgical.com/
"
123,"http://www.workoutz.com
"
124,"http://www.woundtx.com/
"
125,"http://www.yoox.com
"
126,"http://www.zappos.com
"
127,"http://www.zazzle.com
"
128,"http://www.zoro.com
"
129,"http://www.zoro1.com
"
130,"http://www.zulily.com
"
131,"https://VeteranMerchandise.com
"
132,"https://bargainjunkie.com/
"
133,"https://biostrap.com/
"
134,"https://renewgoo.com/
"
135,"https://ribbonscure.com/
"
136,"https://selletonscales.com
"
137,"https://www.alphabetdeal.com
"
138,"https://www.amara.com
"
139,"https://www.big5sportinggoods.com
"
140,"https://www.campsaver.com
"
141,"https://www.coedstore.co/
"
142,"https://www.costbuys.com
"
143,"https://www.costway.com/
"
144,"https://www.cozzoo.com/
"
145,"https://www.datavision.com
"
146,"https://www.dhgate.com/
"
147,"https://www.discountmugs.com
"
148,"https://www.entirelypets.com
"
149,"https://www.epicpetster.com
"
150,"https://www.fitnessfirstusa.com/
"
151,"https://www.fun.com
"
152,"https://www.hayneedle.com
"
153,"https://www.hibbett.com/
"
154,"https://www.homedepot.com
"
155,"https://www.homesquare.com
"
156,"https://www.marketcol.com
"
157,"https://www.pethoot.com
"
158,"https://www.ruelala.com
"
159,"https://www.sherrysshack.com/
"
160,"https://www.trouva.com/
"
161,"https://zonabargainsusa.com
"
