,Shops
0,"http://livingsocial.com
"
1,"http://poshmark.com
"
2,"http://store.yahoo.com/cgi-bin/clink?landfallnav+jqfRKG+index.html
"
3,"http://store.yahoo.com/cgi-bin/clink?opticsplanet+2FJqzq+index.html
"
4,"http://www.Adorama.com
"
5,"http://www.ElectricGeneratorDepot.com
"
6,"http://www.PulseTV.com
"
7,"http://www.abt.com
"
8,"http://www.amazon.com
"
9,"http://www.amazon.com/
"
10,"http://www.autoanything.com/car_truck_accessories.aspx?kc=BR351
"
11,"http://www.autopartswarehouse.com
"
12,"http://www.backcountry.com/index.html?CP=BizRateSurvey&SPC-BizRate&mv_pc=r111&GCID=C2000x023
"
13,"http://www.bhphotovideo.com/?BI=82
"
14,"http://www.bossaudio.com
"
15,"http://www.build.com
"
16,"http://www.crazycarlsdeals.com
"
17,"http://www.crutchfield.com/I-rbizc000/index.html
"
18,"http://www.dell.com
"
19,"http://www.emerchantoutlet.com
"
20,"http://www.fansedge.com/
"
21,"http://www.gamestop.com
"
22,"http://www.groupon.com
"
23,"http://www.halloweencostumesupplystore.com
"
24,"http://www.homedepot.com
"
25,"http://www.homegoodscenter.com
"
26,"http://www.houzz.com
"
27,"http://www.johnnyseeds.com
"
28,"http://www.larsonelectronics.com
"
29,"http://www.northerntool.com/
"
30,"http://www.oceansmall.net
"
31,"http://www.officesupersavers.com
"
32,"http://www.partsgeek.com
"
33,"http://www.respiratorycarestore.com/
"
34,"http://www.sonicelectronix.com
"
35,"http://www.sportsmanguide.com
"
36,"http://www.tirerack.com
"
37,"http://www.tschome.com
"
38,"http://www.walmart.com
"
39,"http://www.wayfair.com
"
40,"http://www.wholesurgical.com/
"
41,"http://www.winechateau.com
"
42,"http://www.zoro.com
"
43,"https://customstickershop.us
"
44,"https://renewgoo.com/
"
45,"https://www.cjponyparts.com/
"
46,"https://www.discountmugs.com
"
47,"https://www.epicpetster.com
"
48,"https://www.hayneedle.com
"
49,"https://www.homedepot.com
"
50,"https://www.invertersupply.com
"
51,"https://www.secondsale.com
"
52,"https://www.sportsmans.com/
"
53,"https://www.toolnut.com/?utm_source=shopzilla&utm_medium=cse
"
54,"https://www.trouva.com/
"
55,"www.crutchfield.com
"
