,Shops
0,"http://apartysource.com
"
1,"http://bakersauthority.com
"
2,"http://brittandjules.com
"
3,"http://critpro.com
"
4,"http://discountdecorativeflags.com
"
5,"http://gate4great.info/
"
6,"http://livingsocial.com
"
7,"http://luxycouture.com
"
8,"http://movieszeries.myshopify.com
"
9,"http://my-bio-zen.com
"
10,"http://parkseed.com
"
11,"http://poshmark.com
"
12,"http://sdbullion.com
"
13,"http://shop.mlb.com/
"
14,"http://shop.nhl.com
"
15,"http://shopping.franklincovey.com
"
16,"http://soccer.epicsports.com
"
17,"http://store.nascar.com/entry.point?target=z&source=BZLG:2774:TXT:N:3693:1003:NASCAR
"
18,"http://store.nba.com/
"
19,"http://store.yahoo.com/cgi-bin/clink?dragonballzcentral+eBT9Zm+index.html
"
20,"http://store.yahoo.com/cgi-bin/clink?landfallnav+jqfRKG+index.html
"
21,"http://store.yahoo.com/cgi-bin/clink?opticsplanet+2FJqzq+index.html
"
22,"http://thefixturezone.com
"
23,"http://www.Adorama.com
"
24,"http://www.CatalogFavorites.com/
"
25,"http://www.CenturyNovelty.com
"
26,"http://www.Everymemorabilia.com
"
27,"http://www.Fanatics.com
"
28,"http://www.JustArtifacts.net
"
29,"http://www.LambertVetSupply.com
"
30,"http://www.MidwayUSA.com
"
31,"http://www.PartySpin.com
"
32,"http://www.SchoolOutfitters.com
"
33,"http://www.allposters.com
"
34,"http://www.amazon.com
"
35,"http://www.amazon.com/
"
36,"http://www.amsterdamprinting.com
"
37,"http://www.apmex.com
"
38,"http://www.autoanything.com/car_truck_accessories.aspx?kc=BR351
"
39,"http://www.avondaleactive.com
"
40,"http://www.backcountry.com/index.html?CP=BizRateSurvey&SPC-BizRate&mv_pc=r111&GCID=C2000x023
"
41,"http://www.backinthesaddle.com/
"
42,"http://www.basspro.com/servlet/catalog.OnlineShopping?hvarAID=bizrate&cm_mmc=Shopzilla-_-Marketing+Link-_--1-_-default
"
43,"http://www.bizchair.com
"
44,"http://www.blackbeltshop.us
"
45,"http://www.blackhelmetapparel.com
"
46,"http://www.blair.com
"
47,"http://www.bluefly.com
"
48,"http://www.boscovs.com/
"
49,"http://www.brownells.com
"
50,"http://www.canadavetexpress.com
"
51,"http://www.cellphonecases.com
"
52,"http://www.customthrowbackjerseys.com
"
53,"http://www.cyberteez.com
"
54,"http://www.deepdiscount.com
"
55,"http://www.displays2go.com
"
56,"http://www.emerchantoutlet.com
"
57,"http://www.everydayflowers.net
"
58,"http://www.expressionscatalog.com/
"
59,"http://www.fairpricenow.com
"
60,"http://www.fansedge.com/
"
61,"http://www.faucetdirect.com?/source=bizrate
"
62,"http://www.fitzulas.com
"
63,"http://www.freshnless.com
"
64,"http://www.gliks.com
"
65,"http://www.groupon.com
"
66,"http://www.halloweencostumes.com
"
67,"http://www.halloweencostumesupplystore.com
"
68,"http://www.homeclick.com/default.asp?&tl=BIZRATE&mafid=4530
"
69,"http://www.homedepot.com
"
70,"http://www.hottopic.com
"
71,"http://www.houzz.com
"
72,"http://www.hrdirect.com
"
73,"http://www.jerrysartarama.com
"
74,"http://www.jmbullion.com/
"
75,"http://www.johnsonwallcoverings.com
"
76,"http://www.katom.com
"
77,"http://www.kohls.com
"
78,"http://www.lightingdirect.com
"
79,"http://www.macys.com
"
80,"http://www.memorablegifts.com
"
81,"http://www.motoin.de/index.php?language=en
"
82,"http://www.musiciansfriend.com/srs7/src=3WBZ4DS/g=home/content/cb/index
"
83,"http://www.naturesjewelry.com/
"
84,"http://www.netnutri.com
"
85,"http://www.novica.com
"
86,"http://www.oceansmall.net
"
87,"http://www.officefurniture2go.com
"
88,"http://www.officesupersavers.com
"
89,"http://www.onlinelivingaids.com/
"
90,"http://www.onlinemegamall.com
"
91,"http://www.peazzfurniture.com
"
92,"http://www.personalcreations.com/x_e.asp?r=PCBZRT
"
93,"http://www.personalizationmall.com
"
94,"http://www.pinzoo.com
"
95,"http://www.qvc.com/
"
96,"http://www.replacements.com
"
97,"http://www.saksoff5th.com
"
98,"http://www.sarraf.com
"
99,"http://www.sears.com/sr/entry.jsp?eid=2&sid=I0083000010000100286
"
100,"http://www.serengeticatalog.com/
"
101,"http://www.shindigz.com
"
102,"http://www.slothwingties.com
"
103,"http://www.sportscollectibles.com
"
104,"http://www.sportsmanguide.com
"
105,"http://www.sportsmanslogistics.com
"
106,"http://www.ssense.com
"
107,"http://www.stomabags.com/
"
108,"http://www.stumpsparty.com
"
109,"http://www.successories.com
"
110,"http://www.teamstores.com
"
111,"http://www.teamusashop.com/
"
112,"http://www.thinkcooltoys.com
"
113,"http://www.timex.com
"
