,Shops
0,"http://brittandjules.com
"
1,"http://gate4great.info/
"
2,"http://gurneys.com
"
3,"http://holabirdsports.com
"
4,"http://livingsocial.com
"
5,"http://my-bio-zen.com
"
6,"http://poshmark.com
"
7,"http://samsclub.com
"
8,"http://store.yahoo.com/cgi-bin/clink?landfallnav+jqfRKG+index.html
"
9,"http://store.yahoo.com/cgi-bin/clink?opticsplanet+2FJqzq+index.html
"
10,"http://www.Adorama.com
"
11,"http://www.BarristerBooks.com
"
12,"http://www.CatalogFavorites.com/
"
13,"http://www.Educents.com
"
14,"http://www.SchoolOutfitters.com
"
15,"http://www.allposters.com
"
16,"http://www.amazon.com
"
17,"http://www.amazon.com/
"
18,"http://www.americanbookwarehouse.com
"
19,"http://www.amsterdamprinting.com
"
20,"http://www.autogeek.net
"
21,"http://www.autopia-carcare.com
"
22,"http://www.basspro.com/servlet/catalog.OnlineShopping?hvarAID=bizrate&cm_mmc=Shopzilla-_-Marketing+Link-_--1-_-default
"
23,"http://www.belk.com/
"
24,"http://www.bizchair.com
"
25,"http://www.brownells.com
"
26,"http://www.build.com
"
27,"http://www.buybizsupplies.com
"
28,"http://www.cavenders.com
"
29,"http://www.christianbookbag.com
"
30,"http://www.crateandbarrel.com
"
31,"http://www.cyberteez.com
"
32,"http://www.deepdiscount.com
"
33,"http://www.designeroptics.com
"
34,"http://www.diabeticstreatment.com/
"
35,"http://www.doversaddlery.com
"
36,"http://www.driparmor.com/
"
37,"http://www.emerchantoutlet.com
"
38,"http://www.expressionscatalog.com/
"
39,"http://www.faucetdirect.com?/source=bizrate
"
40,"http://www.freshnless.com
"
41,"http://www.halloweencostumesupplystore.com
"
42,"http://www.homeclick.com/default.asp?&tl=BIZRATE&mafid=4530
"
43,"http://www.homedepot.com
"
44,"http://www.hrdirect.com
"
45,"http://www.interstatemusic.com
"
46,"http://www.jerrysartarama.com
"
47,"http://www.layoffpain.com/
"
48,"http://www.lightingdirect.com
"
49,"http://www.lyst.com
"
50,"http://www.oceansmall.net
"
51,"http://www.officesupersavers.com
"
52,"http://www.onlinelivingaids.com/
"
53,"http://www.onlinemegamall.com
"
54,"http://www.partsgeek.com
"
55,"http://www.personalcreations.com/x_e.asp?r=PCBZRT
"
56,"http://www.personalizationmall.com
"
57,"http://www.qvc.com/
"
58,"http://www.sawesometoys.com
"
59,"http://www.sportscollectibles.com
"
60,"http://www.sportsmanguide.com
"
61,"http://www.stomabags.com/
"
62,"http://www.thinkcooltoys.com
"
63,"http://www.underarmour.com
"
64,"http://www.walmart.com
"
65,"http://www.wayfair.com
"
66,"http://www.webstaurantstore.com
"
67,"http://www.whateverworks.com/
"
68,"http://www.winechateau.com
"
69,"http://www.youngexplorers.com/
"
70,"http://www.zazzle.com
"
71,"http://www.zulily.com
"
72,"https://flogrown.com/
"
73,"https://ironandresin.com/
"
74,"https://www.allhdd.com
"
75,"https://www.balfour.com
"
76,"https://www.cozzoo.com/
"
77,"https://www.epicpetster.com
"
78,"https://www.fun.com
"
79,"https://www.lightbulbs.com
"
80,"https://www.marketcol.com
"
81,"https://www.orientaloutpost.com
"
82,"https://www.secondsale.com
"
83,"https://www.trouva.com/
"
