,Shops
0,"http://brittandjules.com
"
1,"http://linksoul.com
"
2,"http://livingsocial.com
"
3,"http://poshmark.com
"
4,"http://samsclub.com
"
5,"http://soccer.epicsports.com
"
6,"http://store.yahoo.com/cgi-bin/clink?landfallnav+jqfRKG+index.html
"
7,"http://store.yahoo.com/cgi-bin/clink?opticsplanet+2FJqzq+index.html
"
8,"http://www.Adorama.com
"
9,"http://www.DisneyStore.com
"
10,"http://www.abt.com
"
11,"http://www.allposters.com
"
12,"http://www.amazon.com
"
13,"http://www.amazon.com/
"
14,"http://www.basspro.com/servlet/catalog.OnlineShopping?hvarAID=bizrate&cm_mmc=Shopzilla-_-Marketing+Link-_--1-_-default
"
15,"http://www.belk.com/
"
16,"http://www.bhphotovideo.com/?BI=82
"
17,"http://www.bizchair.com
"
18,"http://www.brownells.com
"
19,"http://www.crutchfield.com/I-rbizc000/index.html
"
20,"http://www.cymax.com/
"
21,"http://www.displays2go.com
"
22,"http://www.emerchantoutlet.com
"
23,"http://www.freshnless.com
"
24,"http://www.houzz.com
"
25,"http://www.interstatemusic.com
"
26,"http://www.kohls.com
"
27,"http://www.musiciansfriend.com/srs7/src=3WBZ4DS/g=home/content/cb/index
"
28,"http://www.naturewoo.com/
"
29,"http://www.nordstromrack.com
"
30,"http://www.oceansmall.net
"
31,"http://www.officesupersavers.com
"
32,"http://www.personalcreations.com/x_e.asp?r=PCBZRT
"
33,"http://www.ssense.com
"
34,"http://www.tschome.com
"
35,"http://www.underarmour.com
"
36,"http://www.walmart.com
"
37,"http://www.wayfair.com
"
38,"http://www.webstaurantstore.com
"
39,"http://www.wholesurgical.com/
"
40,"http://www.woundtx.com/
"
41,"http://www.zoro.com
"
42,"https://www.campsaver.com
"
43,"https://www.datavision.com
"
44,"https://www.discountmugs.com
"
45,"https://www.homedepot.com
"
46,"https://www.homesquare.com
"
47,"https://www.trouva.com/
"
