,Shops
0,"http://adameve.com
"
1,"http://alexnld.com
"
2,"http://amazonmicrousa.com
"
3,"http://apartysource.com
"
4,"http://bakersauthority.com
"
5,"http://bluebath.com
"
6,"http://brittandjules.com
"
7,"http://buy.gazelle.com
"
8,"http://buymbs.com
"
9,"http://carhartt.com
"
10,"http://critpro.com
"
11,"http://discountdecorativeflags.com
"
12,"http://gate4great.info/
"
13,"http://holabirdsports.com
"
14,"http://industrial-meters.com
"
15,"http://linksoul.com
"
16,"http://livingsocial.com
"
17,"http://luxycouture.com
"
18,"http://modernofficefurniture.com
"
19,"http://northshorefaucets.com
"
20,"http://parkseed.com
"
21,"http://picturekeeper.com
"
22,"http://poshmark.com
"
23,"http://reslat.com
"
24,"http://samsclub.com
"
25,"http://shop.eaglecreek.com
"
26,"http://shop.mlb.com/
"
27,"http://shop.nhl.com
"
28,"http://shopping.franklincovey.com
"
29,"http://soccer.epicsports.com
"
30,"http://store.nba.com/
"
31,"http://store.yahoo.com/cgi-bin/clink?dragonballzcentral+eBT9Zm+index.html
"
32,"http://store.yahoo.com/cgi-bin/clink?landfallnav+jqfRKG+index.html
"
33,"http://store.yahoo.com/cgi-bin/clink?opticsplanet+2FJqzq+index.html
"
34,"http://textnow.com
"
35,"http://thefixturezone.com
"
36,"http://usa.hudsonreed.com
"
37,"http://vrsdesign.com
"
38,"http://vtechphones.com
"
39,"http://www.1800lighting.com
"
40,"http://www.6ave.com
"
41,"http://www.Adorama.com
"
42,"http://www.AtticTrunk.com
"
43,"http://www.CB2.com
"
44,"http://www.Campmor.com
"
45,"http://www.CatalogFavorites.com/
"
46,"http://www.CellularOutfitter.com
"
47,"http://www.DisneyStore.com
"
48,"http://www.DrsFosterSmith.com
"
49,"http://www.Educents.com
"
50,"http://www.ElectricGeneratorDepot.com
"
51,"http://www.Fanatics.com
"
52,"http://www.LambertVetSupply.com
"
53,"http://www.MidwayUSA.com
"
54,"http://www.PulseTV.com
"
55,"http://www.ReStockIt.com
"
56,"http://www.SchoolOutfitters.com
"
57,"http://www.UtahSkis.com
"
58,"http://www.abesofmaine.com
"
59,"http://www.abt.com
"
60,"http://www.acoutlet.shop/
"
61,"http://www.agrisupply.com
"
62,"http://www.albeebaby.com
"
63,"http://www.allivet.com
"
64,"http://www.allposters.com
"
65,"http://www.allurez.com
"
66,"http://www.amazon.com
"
67,"http://www.amazon.com/
"
68,"http://www.americanbookwarehouse.com
"
69,"http://www.amsterdamprinting.com
"
70,"http://www.anker.com
"
71,"http://www.appoutdoors.com
"
72,"http://www.autoanything.com/car_truck_accessories.aspx?kc=BR351
"
73,"http://www.autogeek.net
"
74,"http://www.autopartswarehouse.com
"
75,"http://www.autopia-carcare.com
"
76,"http://www.avondaleactive.com
"
77,"http://www.backcountry.com/index.html?CP=BizRateSurvey&SPC-BizRate&mv_pc=r111&GCID=C2000x023
"
78,"http://www.bambeco.com
"
79,"http://www.basspro.com/servlet/catalog.OnlineShopping?hvarAID=bizrate&cm_mmc=Shopzilla-_-Marketing+Link-_--1-_-default
"
80,"http://www.batteryclerk.com/
"
81,"http://www.beallsflorida.com
"
82,"http://www.belk.com/
"
83,"http://www.betterhealthinternational.com/
"
84,"http://www.bhphotovideo.com/?BI=82
"
85,"http://www.birchbox.com
"
86,"http://www.bizchair.com
"
87,"http://www.blackbeltshop.us
"
88,"http://www.blackhelmetapparel.com
"
89,"http://www.blair.com
"
90,"http://www.blendmount.com
"
91,"http://www.blueandcream.com
"
92,"http://www.bluecosmo.com
"
93,"http://www.bluefly.com
"
94,"http://www.bodybuilding.com
"
95,"http://www.boostmobile.com
"
96,"http://www.boscovs.com/
"
97,"http://www.bossaudio.com
"
98,"http://www.brownells.com
"
99,"http://www.buckle.com
"
100,"http://www.bulbamerica.com
"
101,"http://www.bulbhead.com
"
102,"http://www.buybizsupplies.com
"
103,"http://www.candymachines.com
"
104,"http://www.carcovers.com
"
105,"http://www.carparts.com
"
106,"http://www.cavenders.com
"
107,"http://www.cellphonecases.com
"
108,"http://www.charlotterusse.com
"
109,"http://www.chewy.com
"
110,"http://www.christianbookbag.com
"
111,"http://www.cleanitsupply.com
"
112,"http://www.computerdealsdirect.com
"
113,"http://www.cpooutlets.com
"
114,"http://www.crateandbarrel.com
"
115,"http://www.crazycarlsdeals.com
"
116,"http://www.crutchfield.com/I-rbizc000/index.html
"
117,"http://www.cyberteez.com
"
118,"http://www.cymax.com/
"
119,"http://www.deepdiscount.com
"
120,"http://www.dell.com
"
121,"http://www.deluxe.com
"
122,"http://www.denniskirk.com
"
123,"http://www.designeroptics.com
"
124,"http://www.devices-now.com
"
125,"http://www.diabeticstreatment.com/
"
126,"http://www.directvapor.com
"
127,"http://www.discountdance.com/spframe_set.php3?mf=/main_index.html&ovmkt=VHVCGLKSIBH11ELMVT8R23BIL0
"
128,"http://www.discounttiredirect.com
"
129,"http://www.displays2go.com
"
130,"http://www.doversaddlery.com
"
131,"http://www.driparmor.com/
"
132,"http://www.earthtechproducts.com
"
133,"http://www.eclipseillumination.com
"
134,"http://www.efaucets.com
"
135,"http://www.eglobalcentral.com
"
136,"http://www.electricsuppliesonline.com
"
137,"http://www.emerchantoutlet.com
"
138,"http://www.energysavinglighting.com
"
139,"http://www.epsonstore.com
"
140,"http://www.eset.com/us/
"
141,"http://www.eufylife.com
"
142,"http://www.eventcameras.com
"
143,"http://www.everestgear.com
"
144,"http://www.factoryoutletstore.com
"
145,"http://www.fansedge.com/
"
146,"http://www.faucetdirect.com?/source=bizrate
"
147,"http://www.fossil.com/shopping/default.asp?Tier1=Shopping&PSID=bizfeedfslshop_ratingspage
"
148,"http://www.fragrancex.com
"
149,"http://www.franceandson.com
"
150,"http://www.freshnless.com
"
151,"http://www.freshwatersystems.com
"
152,"http://www.funridingtoys.com
"
153,"http://www.gamestop.com
"
154,"http://www.gearclubdirect.com
"
155,"http://www.gliks.com
"
156,"http://www.golfshopplus.com
"
157,"http://www.grandinroad.com/jump.jsp?itemID=163&itemType=HOME_PAGE&k=ZZ50922
"
158,"http://www.groupon.com
"
159,"http://www.haband.com
"
160,"http://www.halloweencostumes.com
"
161,"http://www.halloweencostumesupplystore.com
"
162,"http://www.harmanaudio.com
"
163,"http://www.hconecompanies.com
"
164,"http://www.heartratemonitorsusa.com
"
165,"http://www.highfashionhome.com
"
166,"http://www.homeclick.com/default.asp?&tl=BIZRATE&mafid=4530
"
167,"http://www.homedepot.com
"
168,"http://www.homegoodscenter.com
"
169,"http://www.hottopic.com
"
170,"http://www.houzz.com
"
171,"http://www.hpshopping.com/cgi-bin/shopping/site_entrance.cgi?template_type=Home&aoid=9142
"
172,"http://www.ifixit.com
"
173,"http://www.interstatemusic.com
"
174,"http://www.jaspertronics.com
"
175,"http://www.jcpenney.com/
"
176,"http://www.jerrysartarama.com
"
177,"http://www.jmbullion.com/
"
178,"http://www.johnnyseeds.com
"
179,"http://www.joylot.com
"
180,"http://www.katespade.com
"
181,"http://www.katom.com
"
182,"http://www.keylessentryremotefob.com
"
183,"http://www.kinkytoy.store
"
184,"http://www.klipsch.com
"
185,"http://www.kohls.com
"
186,"http://www.kotulas.com
"
187,"http://www.lampsplus.com/source.asp?a=17528
"
188,"http://www.larsonelectronics.com
"
189,"http://www.layoffpain.com/
"
190,"http://www.lechateau.com/style/index.jsp
"
191,"http://www.lenovo.com/think/us/en/
"
192,"http://www.lightingdirect.com
"
193,"http://www.lightingsquad.com
"
194,"http://www.lightsonline.com
"
195,"http://www.llbean.com/
"
196,"http://www.lockandhinge.com
"
197,"http://www.lyst.com
"
198,"http://www.macys.com
"
199,"http://www.madisonseating.com
"
200,"http://www.magellans.com
"
201,"http://www.memorablegifts.com
"
202,"http://www.michaelkors.com/
"
203,"http://www.mobilecellmart.com
"
204,"http://www.mobilityequip.com/
"
205,"http://www.motoin.de/index.php?language=en
"
206,"http://www.mountainsteals.com
"
207,"http://www.mpb.com/en-us
"
208,"http://www.mrporter.com
"
209,"http://www.mrwatch.com
"
210,"http://www.murad.com
"
211,"http://www.musiciansfriend.com/srs7/src=3WBZ4DS/g=home/content/cb/index
"
212,"http://www.naturewoo.com/
"
213,"http://www.ncurv.com
"
214,"http://www.net-a-porter.com
"
215,"http://www.newegg.com
"
216,"http://www.nordstrom.com
"
217,"http://www.nordstromrack.com
"
218,"http://www.northerntool.com/
"
219,"http://www.novica.com
"
220,"http://www.o.com
"
221,"http://www.oceansmall.net
"
222,"http://www.oempcworld.com/?GCID=C8090x010
"
223,"http://www.officefurniture2go.com
"
224,"http://www.officesupersavers.com
"
225,"http://www.oneshotfitness.com
"
