,Shops
0,"http://brecks.com
"
1,"http://gurneys.com
"
2,"http://livingsocial.com
"
3,"http://parkseed.com
"
4,"http://samsclub.com
"
5,"http://www.amazon.com
"
6,"http://www.amazon.com/
"
7,"http://www.autopia-carcare.com
"
8,"http://www.build.com
"
9,"http://www.chewy.com
"
10,"http://www.dutchbulbs.com
"
11,"http://www.freshnless.com
"
12,"http://www.gardensalive.com
"
13,"http://www.groupon.com
"
14,"http://www.homeclick.com/default.asp?&tl=BIZRATE&mafid=4530
"
15,"http://www.homedepot.com
"
16,"http://www.houzz.com
"
17,"http://www.johnnyseeds.com
"
18,"http://www.kotulas.com
"
19,"http://www.luckyvitamin.com
"
20,"http://www.macys.com
"
21,"http://www.michiganbulb.com
"
22,"http://www.naturewoo.com/
"
23,"http://www.northerntool.com/
"
24,"http://www.overstock.com/cgi-bin/d2.cgi?cid=19516&fp=f
"
25,"http://www.petfenceusa.com
"
26,"http://www.petsupplies4less.com
"
27,"http://www.qvc.com/
"
28,"http://www.sears.com/sr/entry.jsp?eid=2&sid=I0083000010000100286
"
29,"http://www.sportsmanguide.com
"
30,"http://www.vidaxl.com
"
31,"http://www.walmart.com
"
32,"http://www.wayfair.com
"
33,"https://goop.com
"
34,"https://www.costway.com/
"
35,"https://www.hayneedle.com
"
36,"https://www.homedepot.com
"
37,"https://www.secondsale.com
"
38,"https://www.springhillnursery.com
"
