,Shops
0,"Https://MyScaryEyes.com
"
1,"Https://happeespice.com
"
2,"http://Skinnymixes.com
"
3,"http://WWW.VITATENT.COM
"
4,"http://adameve.com
"
5,"http://amerilifevitamin.com
"
6,"http://apartysource.com
"
7,"http://applesofgold.com
"
8,"http://bakersauthority.com
"
9,"http://billsoutlets.com
"
10,"http://biprousa.com
"
11,"http://birkenstock.com/us
"
12,"http://blbeauty.co
"
13,"http://bluebath.com
"
14,"http://brittandjules.com
"
15,"http://buymbs.com
"
16,"http://carhartt.com
"
17,"http://clickserve.cc-dt.com/link/click?lid=41000000000059074
"
18,"http://critpro.com
"
19,"http://dermasafe.us
"
20,"http://factoryoutletperfumes.com
"
21,"http://gate4great.info/
"
22,"http://gurneys.com
"
23,"http://holabirdsports.com
"
24,"http://lidonumb.com
"
25,"http://livingsocial.com
"
26,"http://luxycouture.com
"
27,"http://mjboutiqueonline.com
"
28,"http://my-bio-zen.com
"
29,"http://parkseed.com
"
30,"http://poshmark.com
"
31,"http://rollgahealth.mybigcommerce.com/
"
32,"http://samsclub.com
"
33,"http://shop.mlb.com/
"
34,"http://shop.nhl.com
"
35,"http://shopping.franklincovey.com
"
36,"http://soccer.epicsports.com
"
37,"http://store.nba.com/
"
38,"http://store.yahoo.com/cgi-bin/clink?dragonballzcentral+eBT9Zm+index.html
"
39,"http://store.yahoo.com/cgi-bin/clink?landfallnav+jqfRKG+index.html
"
40,"http://store.yahoo.com/cgi-bin/clink?opticsplanet+2FJqzq+index.html
"
41,"http://store.yahoo.com/cgi-bin/clink?vitasprings+QpULg7+index.html
"
42,"http://strongsupplementshop.com
"
43,"http://thefixturezone.com
"
44,"http://thrivemarket.com
"
45,"http://usa.hudsonreed.com
"
46,"http://www.1800contacts.com
"
47,"http://www.1800lighting.com
"
48,"http://www.1800petmeds.com
"
49,"http://www.4AllVitamins.com
"
50,"http://www.6ave.com
"
51,"http://www.Adorama.com
"
52,"http://www.AtticTrunk.com
"
53,"http://www.BarristerBooks.com
"
54,"http://www.CB2.com
"
55,"http://www.Campmor.com
"
56,"http://www.CatalogFavorites.com/
"
57,"http://www.CenturyNovelty.com
"
58,"http://www.CherylLeeMD.com
"
59,"http://www.DisneyStore.com
"
60,"http://www.DrsFosterSmith.com
"
61,"http://www.Educents.com
"
62,"http://www.Fanatics.com
"
63,"http://www.GoLongGoHard.com
"
64,"http://www.JustArtifacts.net
"
65,"http://www.LambertVetSupply.com
"
66,"http://www.Lenox.com
"
67,"http://www.MidwayUSA.com
"
68,"http://www.NewgateDeal.com
"
69,"http://www.PartySpin.com
"
70,"http://www.PulseTV.com
"
71,"http://www.ReStockIt.com
"
72,"http://www.SchoolOutfitters.com
"
73,"http://www.VisionDirect.com
"
74,"http://www.abercrombie.com
"
75,"http://www.abt.com
"
76,"http://www.acoutlet.shop/
"
77,"http://www.agrisupply.com
"
78,"http://www.albeebaby.com
"
79,"http://www.allivet.com
"
80,"http://www.allposters.com
"
81,"http://www.amazon.com
"
82,"http://www.amazon.com/
"
83,"http://www.americanbookwarehouse.com
"
84,"http://www.amsterdamprinting.com
"
85,"http://www.appoutdoors.com
"
86,"http://www.aquapillar.com
"
87,"http://www.ariaperfume.com
"
88,"http://www.arkdiscountpetsupplies.com
"
89,"http://www.art.com
"
90,"http://www.asecretadmirer.com
"
91,"http://www.ashleystewart.com
"
92,"http://www.authenticwatches.com
"
93,"http://www.autoanything.com/car_truck_accessories.aspx?kc=BR351
"
94,"http://www.autogeek.net
"
95,"http://www.autopia-carcare.com
"
96,"http://www.backcountry.com/index.html?CP=BizRateSurvey&SPC-BizRate&mv_pc=r111&GCID=C2000x023
"
97,"http://www.backinthesaddle.com/
"
98,"http://www.bambeco.com
"
99,"http://www.bananarepublic.com/
"
100,"http://www.basspro.com/servlet/catalog.OnlineShopping?hvarAID=bizrate&cm_mmc=Shopzilla-_-Marketing+Link-_--1-_-default
"
101,"http://www.beallsflorida.com
"
102,"http://www.belk.com/
"
103,"http://www.berries.com
"
104,"http://www.betterhealthinternational.com/
"
105,"http://www.bevmo.com
"
106,"http://www.bhphotovideo.com/?BI=82
"
107,"http://www.birchbox.com
"
108,"http://www.birkenstock.com/us
"
109,"http://www.bizchair.com
"
110,"http://www.black.co.uk
"
111,"http://www.blackbeltshop.us
"
112,"http://www.blair.com
"
113,"http://www.bluefly.com
"
114,"http://www.bnbtobacco.com
"
115,"http://www.bodybuilding.com
"
116,"http://www.boscovs.com/
"
117,"http://www.bostonproper.com
"
118,"http://www.brownells.com
"
119,"http://www.buckle.com
"
120,"http://www.build.com
"
121,"http://www.bulbhead.com
"
122,"http://www.buybizsupplies.com
"
123,"http://www.buyrareseeds.com
"
124,"http://www.calexotics.com
"
125,"http://www.californiapetpharmacy.com
"
126,"http://www.candymachines.com
"
127,"http://www.catsnus.com/
"
128,"http://www.cavenders.com
"
129,"http://www.cellphonecases.com
"
