,Shops
0,"http://buymbs.com
"
1,"http://livingsocial.com
"
2,"http://poshmark.com
"
3,"http://samsclub.com
"
4,"http://soccer.epicsports.com
"
5,"http://store.yahoo.com/cgi-bin/clink?opticsplanet+2FJqzq+index.html
"
6,"http://www.ElectricGeneratorDepot.com
"
7,"http://www.MidwayUSA.com
"
8,"http://www.agrisupply.com
"
9,"http://www.amazon.com
"
10,"http://www.amazon.com/
"
11,"http://www.autoanything.com/car_truck_accessories.aspx?kc=BR351
"
12,"http://www.basspro.com/servlet/catalog.OnlineShopping?hvarAID=bizrate&cm_mmc=Shopzilla-_-Marketing+Link-_--1-_-default
"
13,"http://www.brownells.com
"
14,"http://www.build.com
"
15,"http://www.buybizsupplies.com
"
16,"http://www.cpooutlets.com
"
17,"http://www.crazycarlsdeals.com
"
18,"http://www.deepdiscount.com
"
19,"http://www.discounttiredirect.com
"
20,"http://www.doversaddlery.com
"
21,"http://www.efaucets.com
"
22,"http://www.emerchantoutlet.com
"
23,"http://www.faucetdirect.com?/source=bizrate
"
24,"http://www.halloweencostumesupplystore.com
"
25,"http://www.homedepot.com
"
26,"http://www.houzz.com
"
27,"http://www.johnnyseeds.com
"
28,"http://www.kotulas.com
"
29,"http://www.layoffpain.com/
"
30,"http://www.lightingdirect.com
"
31,"http://www.mobilityequip.com/
"
32,"http://www.northerntool.com/
"
33,"http://www.oceansmall.net
"
34,"http://www.onlinelivingaids.com/
"
35,"http://www.qvc.com/
"
36,"http://www.respiratorycarestore.com/
"
37,"http://www.sears.com/sr/entry.jsp?eid=2&sid=I0083000010000100286
"
38,"http://www.shindigz.com
"
39,"http://www.sportsmanguide.com
"
40,"http://www.ssense.com
"
41,"http://www.thesensorconnection.com
"
42,"http://www.tires-easy.com
"
43,"http://www.vidaxl.com
"
44,"http://www.walmart.com
"
45,"http://www.wayfair.com
"
46,"http://www.webstaurantstore.com
"
47,"http://www.wholesurgical.com/
"
48,"http://www.youngexplorers.com/
"
49,"http://www.zoro.com
"
50,"http://www.zoro1.com
"
51,"https://www.cjponyparts.com/
"
52,"https://www.costway.com/
"
53,"https://www.hayneedle.com
"
54,"https://www.hlsproparts.com
"
55,"https://www.homedepot.com
"
56,"https://www.hotelrestaurantsupply.com/
"
57,"https://www.trouva.com/
"
