,Shops
0,"http://livingsocial.com
"
1,"http://poshmark.com
"
2,"http://samsclub.com
"
3,"http://www.Adorama.com
"
4,"http://www.BarristerBooks.com
"
5,"http://www.allposters.com
"
6,"http://www.amazon.com
"
7,"http://www.amazon.com/
"
8,"http://www.americanbookwarehouse.com
"
9,"http://www.basspro.com/servlet/catalog.OnlineShopping?hvarAID=bizrate&cm_mmc=Shopzilla-_-Marketing+Link-_--1-_-default
"
10,"http://www.belk.com/
"
11,"http://www.bhphotovideo.com/?BI=82
"
12,"http://www.deepdiscount.com
"
13,"http://www.franceandson.com
"
14,"http://www.halloweencostumesupplystore.com
"
15,"http://www.homeclick.com/default.asp?&tl=BIZRATE&mafid=4530
"
16,"http://www.officesupersavers.com
"
17,"http://www.onlinelivingaids.com/
"
18,"http://www.spellbinderspaperarts.com
"
19,"http://www.walmart.com
"
20,"http://www.wayfair.com
"
21,"http://www.webstaurantstore.com
"
22,"http://www.wholesurgical.com/
"
23,"http://www.zazzle.com
"
24,"http://www.zoro.com
"
25,"https://www.italist.com/en/
"
26,"https://www.secondsale.com
"
27,"https://www.trouva.com/
"
