,Shops
0,"http://livingsocial.com
"
1,"http://poshmark.com
"
2,"http://samsclub.com
"
3,"http://shop.mlb.com/
"
4,"http://store.yahoo.com/cgi-bin/clink?dragonballzcentral+eBT9Zm+index.html
"
5,"http://store.yahoo.com/cgi-bin/clink?opticsplanet+2FJqzq+index.html
"
6,"http://www.Adorama.com
"
7,"http://www.Campmor.com
"
8,"http://www.Lenox.com
"
9,"http://www.MidwayUSA.com
"
10,"http://www.PulseTV.com
"
11,"http://www.abt.com
"
12,"http://www.amazon.com
"
13,"http://www.amazon.com/
"
14,"http://www.amsterdamprinting.com
"
15,"http://www.backcountry.com/index.html?CP=BizRateSurvey&SPC-BizRate&mv_pc=r111&GCID=C2000x023
"
16,"http://www.basspro.com/servlet/catalog.OnlineShopping?hvarAID=bizrate&cm_mmc=Shopzilla-_-Marketing+Link-_--1-_-default
"
17,"http://www.bhphotovideo.com/?BI=82
"
18,"http://www.bizchair.com
"
19,"http://www.boscovs.com/
"
20,"http://www.brownells.com
"
21,"http://www.buybizsupplies.com
"
22,"http://www.crutchfield.com/I-rbizc000/index.html
"
23,"http://www.cymax.com/
"
24,"http://www.emerchantoutlet.com
"
25,"http://www.eventcameras.com
"
26,"http://www.factoryoutletstore.com
"
27,"http://www.fansedge.com/
"
28,"http://www.gamestop.com
"
29,"http://www.groupon.com
"
30,"http://www.hconecompanies.com
"
31,"http://www.homedepot.com
"
32,"http://www.kohls.com
"
33,"http://www.lenovo.com/think/us/en/
"
34,"http://www.lockandhinge.com
"
35,"http://www.mpb.com/en-us
"
36,"http://www.musiciansfriend.com/srs7/src=3WBZ4DS/g=home/content/cb/index
"
37,"http://www.oceansmall.net
"
38,"http://www.oempcworld.com/?GCID=C8090x010
"
39,"http://www.officesupersavers.com
"
40,"http://www.onlinemegamall.com
"
41,"http://www.ritzcamera.com
"
42,"http://www.serversupply.com
"
43,"http://www.sportsmanguide.com
"
44,"http://www.swimoutlet.com
"
45,"http://www.tschome.com
"
46,"http://www.walmart.com
"
47,"http://www.wayfair.com
"
48,"http://www.webstaurantstore.com
"
49,"http://www.wholesurgical.com/
"
50,"http://www.zoro.com
"
51,"http://www.zulily.com
"
52,"http://www1.us.dell.com/content/
"
53,"https://hexadash.com/
"
54,"https://renewgoo.com/
"
55,"https://www.allhdd.com
"
56,"https://www.alphabetdeal.com
"
57,"https://www.campsaver.com
"
58,"https://www.datavision.com
"
59,"https://www.dhgate.com/
"
60,"https://www.discountmugs.com
"
61,"https://www.hayneedle.com
"
62,"https://www.homedepot.com
"
63,"https://www.sportsmans.com/
"
64,"https://www.thepcconnectstorellc.com/
"
65,"https://www.toolnut.com/?utm_source=shopzilla&utm_medium=cse
"
66,"https://www.toyorb.com
"
67,"www.crutchfield.com
"
