,Shops
0,"http://buymbs.com
"
1,"http://livingsocial.com
"
2,"http://modernofficefurniture.com
"
3,"http://parkseed.com
"
4,"http://poshmark.com
"
5,"http://store.yahoo.com/cgi-bin/clink?landfallnav+jqfRKG+index.html
"
6,"http://store.yahoo.com/cgi-bin/clink?opticsplanet+2FJqzq+index.html
"
7,"http://www.6ave.com
"
8,"http://www.Adorama.com
"
9,"http://www.BarristerBooks.com
"
10,"http://www.CatalogFavorites.com/
"
11,"http://www.DisneyStore.com
"
12,"http://www.MidwayUSA.com
"
13,"http://www.PartySpin.com
"
14,"http://www.SchoolOutfitters.com
"
15,"http://www.abt.com
"
16,"http://www.airturn.com/
"
17,"http://www.allivet.com
"
18,"http://www.allposters.com
"
19,"http://www.amazon.com
"
20,"http://www.amazon.com/
"
21,"http://www.americanbookwarehouse.com
"
22,"http://www.autoanything.com/car_truck_accessories.aspx?kc=BR351
"
23,"http://www.autopia-carcare.com
"
24,"http://www.backcountry.com/index.html?CP=BizRateSurvey&SPC-BizRate&mv_pc=r111&GCID=C2000x023
"
25,"http://www.bambeco.com
"
26,"http://www.basspro.com/servlet/catalog.OnlineShopping?hvarAID=bizrate&cm_mmc=Shopzilla-_-Marketing+Link-_--1-_-default
"
27,"http://www.beallsflorida.com
"
28,"http://www.bhphotovideo.com/?BI=82
"
29,"http://www.bluecosmo.com
"
30,"http://www.bluefly.com
"
31,"http://www.boscovs.com/
"
32,"http://www.build.com
"
33,"http://www.cavenders.com
"
34,"http://www.crutchfield.com/I-rbizc000/index.html
"
35,"http://www.cyberteez.com
"
36,"http://www.deepdiscount.com
"
37,"http://www.deluxe.com
"
38,"http://www.directvapor.com
"
39,"http://www.discounttiredirect.com
"
40,"http://www.displays2go.com
"
41,"http://www.doversaddlery.com
"
42,"http://www.efaucets.com
"
43,"http://www.emerchantoutlet.com
"
44,"http://www.fansedge.com/
"
45,"http://www.fitzulas.com
"
46,"http://www.freshnless.com
"
47,"http://www.groupon.com
"
48,"http://www.halloweencostumesupplystore.com
"
49,"http://www.homeclick.com/default.asp?&tl=BIZRATE&mafid=4530
"
50,"http://www.houzz.com
"
51,"http://www.interstatemusic.com
"
52,"http://www.jcpenney.com/
"
53,"http://www.joylot.com
"
54,"http://www.kohls.com
"
55,"http://www.larsonelectronics.com
"
56,"http://www.layoffpain.com/
"
57,"http://www.lightingdirect.com
"
58,"http://www.lockandhinge.com
"
59,"http://www.lyst.com
"
60,"http://www.macys.com
"
61,"http://www.magellans.com
"
62,"http://www.mobilityequip.com/
"
63,"http://www.musiciansfriend.com/srs7/src=3WBZ4DS/g=home/content/cb/index
"
64,"http://www.net-a-porter.com
"
65,"http://www.onlinemegamall.com
"
66,"http://www.personalcreations.com/x_e.asp?r=PCBZRT
"
67,"http://www.personalizationmall.com
"
68,"http://www.precisiontools.com
"
69,"http://www.princetonwatches.com
"
70,"http://www.proflowers.com
"
71,"http://www.qvc.com/
"
72,"http://www.ritzcamera.com
"
73,"http://www.scoutandnimble.com
"
74,"http://www.shindigz.com
"
75,"http://www.society6.com/
"
76,"http://www.sonicelectronix.com
"
77,"http://www.sportscollectibles.com
"
78,"http://www.ssense.com
"
79,"http://www.stomabags.com/
"
80,"http://www.stumpsparty.com
"
81,"http://www.surrounding.com
"
82,"http://www.sweetwater.com
"
83,"http://www.thestitchery.com/
"
84,"http://www.touchofclass.com
"
85,"http://www.tschome.com
"
86,"http://www.underarmour.com
"
87,"http://www.valleyvet.com
"
88,"http://www.vidaxl.com
"
89,"http://www.walmart.com
"
90,"http://www.wayfair.com
"
91,"http://www.webstaurantstore.com
"
92,"http://www.whateverworks.com/
"
93,"http://www.wholesurgical.com/
"
94,"http://www.winechateau.com
"
95,"http://www.workoutz.com
"
96,"http://www.woundtx.com/
"
97,"http://www.zappos.com
"
98,"http://www.zazzle.com
"
99,"http://www.zoro.com
"
100,"http://www.zulily.com
"
101,"https://bargainjunkie.com/
"
102,"https://daytshirt.com
"
103,"https://luxmart.ca/
"
104,"https://shop.bikini.com
"
105,"https://www.365factoryoutlet.com/
"
106,"https://www.chicksaddlery.com
"
107,"https://www.coedstore.co/
"
108,"https://www.costway.com/
"
109,"https://www.couturecandy.com
"
110,"https://www.cozzoo.com/
"
111,"https://www.epicpetster.com
"
112,"https://www.fun.com
"
113,"https://www.homedepot.com
"
114,"https://www.lightbulbs.com
"
115,"https://www.marketcol.com
"
116,"https://www.orientaloutpost.com
"
117,"https://www.pandasuperstore.com
"
118,"https://www.ruelala.com
"
119,"https://www.secondsale.com
"
120,"https://www.shoes.com
"
121,"https://www.sportsmans.com/
"
122,"https://www.swaggsauce.com
"
123,"https://www.theenhancedmale.com
"
124,"https://www.trouva.com/
"
125,"modernnest.com
"
126,"www.crutchfield.com
"
