,Shops
0,"http://gate4great.info/
"
1,"http://livingsocial.com
"
2,"http://poshmark.com
"
3,"http://store.yahoo.com/cgi-bin/clink?opticsplanet+2FJqzq+index.html
"
4,"http://www.Adorama.com
"
5,"http://www.allposters.com
"
6,"http://www.amazon.com
"
7,"http://www.amazon.com/
"
8,"http://www.backcountry.com/index.html?CP=BizRateSurvey&SPC-BizRate&mv_pc=r111&GCID=C2000x023
"
9,"http://www.bhphotovideo.com/?BI=82
"
10,"http://www.crutchfield.com/I-rbizc000/index.html
"
11,"http://www.emerchantoutlet.com
"
12,"http://www.halloweencostumesupplystore.com
"
13,"http://www.interstatemusic.com
"
14,"http://www.jcpenney.com/
"
15,"http://www.kohls.com
"
16,"http://www.macys.com
"
17,"http://www.motoin.de/index.php?language=en
"
18,"http://www.musiciansfriend.com/srs7/src=3WBZ4DS/g=home/content/cb/index
"
19,"http://www.qvc.com/
"
20,"http://www.seismicaudiospeakers.com
"
21,"http://www.ssense.com
"
22,"http://www.sweetwater.com
"
23,"http://www.thestitchery.com/
"
24,"http://www.walmart.com
"
25,"http://www.wayfair.com
"
26,"http://www.wholesurgical.com/
"
27,"https://www.mountainwarehouse.com/us/
"
28,"https://www.pandasuperstore.com
"
29,"https://www.racksolutions.com/
"
30,"https://www.trouva.com/
"
31,"www.crutchfield.com
"
