,Shops
0,"http://amazonmicrousa.com
"
1,"http://livingsocial.com
"
2,"http://memorydealers.com/
"
3,"http://samsclub.com
"
4,"http://www.6ave.com
"
5,"http://www.Adorama.com
"
6,"http://www.abt.com
"
7,"http://www.albeebaby.com
"
8,"http://www.amazon.com
"
9,"http://www.amazon.com/
"
10,"http://www.anker.com
"
11,"http://www.autoanything.com/car_truck_accessories.aspx?kc=BR351
"
12,"http://www.bhphotovideo.com/?BI=82
"
13,"http://www.bizchair.com
"
14,"http://www.build.com
"
15,"http://www.buybizsupplies.com
"
16,"http://www.crutchfield.com/I-rbizc000/index.html
"
17,"http://www.dell.com
"
18,"http://www.displays2go.com
"
19,"http://www.emerchantoutlet.com
"
20,"http://www.gamestop.com
"
21,"http://www.groupon.com
"
22,"http://www.halloweencostumesupplystore.com
"
23,"http://www.homedepot.com
"
24,"http://www.houzz.com
"
25,"http://www.interstatemusic.com
"
26,"http://www.kohls.com
"
27,"http://www.lenovo.com/think/us/en/
"
28,"http://www.lightingdirect.com
"
29,"http://www.lockandhinge.com
"
30,"http://www.newegg.com
"
31,"http://www.oceansmall.net
"
32,"http://www.officesupersavers.com
"
33,"http://www.onlinemegamall.com
"
34,"http://www.qvc.com/
"
35,"http://www.serversupply.com
"
36,"http://www.tschome.com
"
37,"http://www.tscshops.com
"
38,"http://www.walmart.com
"
39,"http://www.wayfair.com
"
40,"http://www.webstaurantstore.com
"
41,"http://www.wholesurgical.com/
"
42,"http://www1.us.dell.com/content/
"
43,"https://buytesmart.com
"
44,"https://hexadash.com/
"
45,"https://renewgoo.com/
"
46,"https://selletonscales.com
"
47,"https://www.allhdd.com
"
48,"https://www.datavision.com
"
49,"https://www.dhgate.com/
"
50,"https://www.discountmugs.com
"
51,"https://www.homedepot.com
"
52,"https://www.porterelectronics.com
"
53,"https://www.racksolutions.com/
"
54,"www.crutchfield.com
"
