,Shops
0,"http://brittandjules.com
"
1,"http://carhartt.com
"
2,"http://clickserve.cc-dt.com/link/click?lid=41000000000574585
"
3,"http://gate4great.info/
"
4,"http://livingsocial.com
"
5,"http://my-bio-zen.com
"
6,"http://parkseed.com
"
7,"http://poshmark.com
"
8,"http://samsclub.com
"
9,"http://shop.mlb.com/
"
10,"http://shop.nhl.com
"
11,"http://soccer.epicsports.com
"
12,"http://store.nba.com/
"
13,"http://store.yahoo.com/cgi-bin/clink?dragonballzcentral+eBT9Zm+index.html
"
14,"http://store.yahoo.com/cgi-bin/clink?opticsplanet+2FJqzq+index.html
"
15,"http://www.Adorama.com
"
16,"http://www.Campmor.com
"
17,"http://www.DrsFosterSmith.com
"
18,"http://www.Fanatics.com
"
19,"http://www.MidwayUSA.com
"
20,"http://www.PulseTV.com
"
21,"http://www.ReStockIt.com
"
22,"http://www.abbapatio.com/
"
23,"http://www.abt.com
"
24,"http://www.acoutlet.shop/
"
25,"http://www.agrisupply.com
"
26,"http://www.allposters.com
"
27,"http://www.amazon.com
"
28,"http://www.amazon.com/
"
29,"http://www.amsterdamprinting.com
"
30,"http://www.appoutdoors.com
"
31,"http://www.autoanything.com/car_truck_accessories.aspx?kc=BR351
"
32,"http://www.autogeek.net
"
33,"http://www.autopia-carcare.com
"
34,"http://www.backcountry.com/index.html?CP=BizRateSurvey&SPC-BizRate&mv_pc=r111&GCID=C2000x023
"
35,"http://www.bambeco.com
"
36,"http://www.basspro.com/servlet/catalog.OnlineShopping?hvarAID=bizrate&cm_mmc=Shopzilla-_-Marketing+Link-_--1-_-default
"
37,"http://www.beallsflorida.com
"
38,"http://www.belk.com/
"
39,"http://www.bestmaterials.com
"
40,"http://www.bizchair.com
"
41,"http://www.blackbeltshop.us
"
42,"http://www.bluefly.com
"
43,"http://www.boscovs.com/
"
44,"http://www.build.com
"
45,"http://www.chewy.com
"
46,"http://www.crateandbarrel.com
"
47,"http://www.crazycarlsdeals.com
"
48,"http://www.cymax.com/
"
49,"http://www.deepdiscount.com
"
50,"http://www.efaucets.com
"
51,"http://www.emerchantoutlet.com
"
52,"http://www.everestgear.com
"
53,"http://www.fairpricenow.com
"
54,"http://www.familyleisure.com
"
55,"http://www.fansedge.com/
"
56,"http://www.faucetdirect.com?/source=bizrate
"
57,"http://www.freshnless.com
"
58,"http://www.groupon.com
"
59,"http://www.halloweencostumesupplystore.com
"
60,"http://www.homeclick.com/default.asp?&tl=BIZRATE&mafid=4530
"
61,"http://www.homedepot.com
"
62,"http://www.homegoodscenter.com
"
63,"http://www.houzz.com
"
64,"http://www.jcpenney.com/
"
65,"http://www.johnnyseeds.com
"
66,"http://www.katom.com
"
67,"http://www.kohls.com
"
68,"http://www.kotulas.com
"
69,"http://www.lightingdirect.com
"
70,"http://www.llbean.com/
"
71,"http://www.lockandhinge.com
"
72,"http://www.macys.com
"
73,"http://www.memorablegifts.com
"
74,"http://www.mobilityequip.com/
"
75,"http://www.musiciansfriend.com/srs7/src=3WBZ4DS/g=home/content/cb/index
"
76,"http://www.nordstromrack.com
"
77,"http://www.northerntool.com/
"
78,"http://www.oceansmall.net
"
79,"http://www.officesupersavers.com
"
80,"http://www.onlinemegamall.com
"
81,"http://www.overstock.com/cgi-bin/d2.cgi?cid=19516&fp=f
"
82,"http://www.peazz.com
"
83,"http://www.peazzfurniture.com
"
84,"http://www.personalcreations.com/x_e.asp?r=PCBZRT
"
85,"http://www.personalizationmall.com
"
86,"http://www.qvc.com/
"
87,"http://www.respiratorycarestore.com/
"
88,"http://www.rosegal.com
"
89,"http://www.saksoff5th.com
"
90,"http://www.sears.com/sr/entry.jsp?eid=2&sid=I0083000010000100286
"
91,"http://www.sportscollectibles.com
"
92,"http://www.sportsmanguide.com
"
93,"http://www.sportsmanslogistics.com
"
94,"http://www.ssense.com
"
95,"http://www.teamstores.com
"
96,"http://www.tobox.com
"
97,"http://www.tschome.com
"
98,"http://www.tscshops.com
"
99,"http://www.tsctoys.com
"
100,"http://www.vandykes.com
"
101,"http://www.vidaxl.com
"
102,"http://www.vivaterra.com
"
103,"http://www.walmart.com
"
104,"http://www.warehousespot.com
"
105,"http://www.wayfair.com
"
106,"http://www.webstaurantstore.com
"
107,"http://www.whateverworks.com/
"
108,"http://www.wholesurgical.com/
"
109,"http://www.winechateau.com
"
110,"http://www.zappos.com
"
111,"http://www.zazzle.com
"
112,"http://www.zoro.com
"
113,"http://www.zulily.com
"
114,"https://acdecor.biz/
"
115,"https://bargainjunkie.com/
"
116,"https://buyfmgear.com/
"
117,"https://gg-decor.com/
"
118,"https://ironandresin.com/
"
119,"https://ooni.com/
"
120,"https://pstpoolsupplies.com
"
121,"https://renewgoo.com/
"
122,"https://www.365factoryoutlet.com/
"
123,"https://www.acitydiscount.com
"
124,"https://www.alphabetdeal.com
"
125,"https://www.amara.com
"
126,"https://www.aosom.com
"
127,"https://www.big5sportinggoods.com
"
128,"https://www.campsaver.com
"
129,"https://www.costway.com/
"
130,"https://www.cozzoo.com/
"
131,"https://www.discountmugs.com
"
132,"https://www.fun.com
"
133,"https://www.hayneedle.com
"
134,"https://www.hibbett.com/
"
135,"https://www.homedepot.com
"
136,"https://www.homeshoppingmalls.com/
"
137,"https://www.homesquare.com
"
138,"https://www.hotelrestaurantsupply.com/
"
139,"https://www.marketcol.com
"
140,"https://www.mileskimball.com
"
141,"https://www.omahasteaks.com/shop/
"
142,"https://www.secondsale.com
"
143,"https://www.sportsmans.com/
"
144,"https://www.toyorb.com
"
145,"https://www.trouva.com/
"
146,"www.nflshop.com
"
