,Shops
0,"http://brecks.com
"
1,"http://brittandjules.com
"
2,"http://decormarket.com
"
3,"http://discountdecorativeflags.com
"
4,"http://gate4great.info/
"
5,"http://gurneys.com
"
6,"http://holabirdsports.com
"
7,"http://livingsocial.com
"
8,"http://my-bio-zen.com
"
9,"http://onestopfanshop.com
"
10,"http://parkseed.com
"
11,"http://samsclub.com
"
12,"http://shop.mlb.com/
"
13,"http://shop.nhl.com
"
14,"http://soccer.epicsports.com
"
15,"http://store.nascar.com/entry.point?target=z&source=BZLG:2774:TXT:N:3693:1003:NASCAR
"
16,"http://store.nba.com/
"
17,"http://store.yahoo.com/cgi-bin/clink?dragonballzcentral+eBT9Zm+index.html
"
18,"http://store.yahoo.com/cgi-bin/clink?landfallnav+jqfRKG+index.html
"
19,"http://store.yahoo.com/cgi-bin/clink?opticsplanet+2FJqzq+index.html
"
20,"http://thefixturezone.com
"
21,"http://www.1800lighting.com
"
22,"http://www.Adorama.com
"
23,"http://www.AtticTrunk.com
"
24,"http://www.CB2.com
"
25,"http://www.CatalogFavorites.com/
"
26,"http://www.CenturyNovelty.com
"
27,"http://www.DrsFosterSmith.com
"
28,"http://www.Fanatics.com
"
29,"http://www.JustArtifacts.net
"
30,"http://www.LambertVetSupply.com
"
31,"http://www.Lenox.com
"
32,"http://www.PartySpin.com
"
33,"http://www.PulseTV.com
"
34,"http://www.SchoolOutfitters.com
"
35,"http://www.TabletopFountainsPlus.com
"
36,"http://www.acoutlet.shop/
"
37,"http://www.agrisupply.com
"
38,"http://www.allposters.com
"
39,"http://www.amazon.com
"
40,"http://www.amazon.com/
"
41,"http://www.amsterdamprinting.com
"
42,"http://www.asecretadmirer.com
"
43,"http://www.autogeek.net
"
44,"http://www.backcountry.com/index.html?CP=BizRateSurvey&SPC-BizRate&mv_pc=r111&GCID=C2000x023
"
45,"http://www.backinthesaddle.com/
"
46,"http://www.ballarddesigns.com
"
47,"http://www.balsamhill.com
"
48,"http://www.bambeco.com
"
49,"http://www.basspro.com/servlet/catalog.OnlineShopping?hvarAID=bizrate&cm_mmc=Shopzilla-_-Marketing+Link-_--1-_-default
"
