,Shops
0,"http://livingsocial.com
"
1,"http://northshorefaucets.com
"
2,"http://poshmark.com
"
3,"http://samsclub.com
"
4,"http://store.yahoo.com/cgi-bin/clink?opticsplanet+2FJqzq+index.html
"
5,"http://www.Adorama.com
"
6,"http://www.Fanatics.com
"
7,"http://www.MidwayUSA.com
"
8,"http://www.abt.com
"
9,"http://www.amazon.com
"
10,"http://www.amazon.com/
"
11,"http://www.bhphotovideo.com/?BI=82
"
12,"http://www.bizchair.com
"
13,"http://www.build.com
"
14,"http://www.buybizsupplies.com
"
15,"http://www.cellphonecases.com
"
16,"http://www.crutchfield.com/I-rbizc000/index.html
"
17,"http://www.dell.com
"
18,"http://www.emerchantoutlet.com
"
19,"http://www.faucetdirect.com?/source=bizrate
"
20,"http://www.grandinroad.com/jump.jsp?itemID=163&itemType=HOME_PAGE&k=ZZ50922
"
21,"http://www.groupon.com
"
22,"http://www.homeclick.com/default.asp?&tl=BIZRATE&mafid=4530
"
23,"http://www.homedepot.com
"
24,"http://www.houzz.com
"
25,"http://www.interstatemusic.com
"
26,"http://www.jcpenney.com/
"
27,"http://www.klipsch.com
"
28,"http://www.kohls.com
"
29,"http://www.kotulas.com
"
30,"http://www.larsonelectronics.com
"
31,"http://www.lenovo.com/think/us/en/
"
32,"http://www.lightingdirect.com
"
33,"http://www.lightsonline.com
"
34,"http://www.musiciansfriend.com/srs7/src=3WBZ4DS/g=home/content/cb/index
"
35,"http://www.newegg.com
"
36,"http://www.northerntool.com/
"
37,"http://www.oceansmall.net
"
38,"http://www.officesupersavers.com
"
39,"http://www.onlinelivingaids.com/
"
40,"http://www.onlinemegamall.com
"
41,"http://www.qvc.com/
"
42,"http://www.ritzcamera.com
"
43,"http://www.sears.com/sr/entry.jsp?eid=2&sid=I0083000010000100286
"
44,"http://www.sonicelectronix.com
"
45,"http://www.sweetwater.com
"
46,"http://www.tschome.com
"
47,"http://www.walmart.com
"
48,"http://www.wayfair.com
"
49,"http://www.webstaurantstore.com
"
50,"http://www.wholesurgical.com/
"
51,"http://www.zoro.com
"
52,"http://www1.us.dell.com/content/
"
53,"https://modelights.com/
"
54,"https://www.air-innovations.com
"
55,"https://www.campsaver.com
"
56,"https://www.cjponyparts.com/
"
57,"https://www.datavision.com
"
58,"https://www.dhgate.com/
"
59,"https://www.hayneedle.com
"
60,"https://www.homedepot.com
"
61,"https://www.invertersupply.com
"
62,"https://www.marketcol.com
"
63,"https://www.porterelectronics.com
"
64,"www.crutchfield.com
"
