,Shops
0,"http://parkseed.com
"
1,"http://poshmark.com
"
2,"http://www.AtticTrunk.com
"
3,"http://www.albeebaby.com
"
4,"http://www.allposters.com
"
5,"http://www.amazon.com
"
6,"http://www.amazon.com/
"
7,"http://www.christianbookbag.com
"
8,"http://www.deepdiscount.com
"
9,"http://www.lyst.com
"
10,"http://www.net-a-porter.com
"
11,"http://www.personalcreations.com/x_e.asp?r=PCBZRT
"
12,"http://www.personalizationmall.com
"
13,"http://www.spellbinderspaperarts.com
"
14,"http://www.ssense.com
"
15,"http://www.underarmour.com
"
16,"http://www.walmart.com
"
17,"http://www.winechateau.com
"
18,"http://www.zazzle.com
"
19,"https://www.cozzoo.com/
"
20,"https://www.fun.com
"
21,"https://www.joydolls.com/
"
22,"https://www.secondsale.com
"
23,"https://www.trouva.com/
"
