,Shops
0,"http://poshmark.com
"
1,"http://www.abt.com
"
2,"http://www.amazon.com
"
3,"http://www.amazon.com/
"
4,"http://www.boscovs.com/
"
5,"http://www.build.com
"
6,"http://www.emerchantoutlet.com
"
7,"http://www.groupon.com
"
8,"http://www.homedepot.com
"
9,"http://www.houzz.com
"
10,"http://www.jcpenney.com/
"
11,"http://www.katom.com
"
12,"http://www.kohls.com
"
13,"http://www.macys.com
"
14,"http://www.onlinemegamall.com
"
15,"http://www.qvc.com/
"
16,"http://www.tschome.com
"
17,"http://www.wayfair.com
"
18,"http://www.webstaurantstore.com
"
19,"http://www.zulily.com
"
20,"https://acdecor.biz/
"
21,"https://gg-decor.com/
"
22,"https://www.acitydiscount.com
"
23,"https://www.hayneedle.com
"
24,"https://www.homedepot.com
"
25,"https://www.hotelrestaurantsupply.com/
"
