,Shops
0,"http://livingsocial.com
"
1,"http://poshmark.com
"
2,"http://www.Adorama.com
"
3,"http://www.BarristerBooks.com
"
4,"http://www.allposters.com
"
5,"http://www.amazon.com
"
6,"http://www.amazon.com/
"
7,"http://www.basspro.com/servlet/catalog.OnlineShopping?hvarAID=bizrate&cm_mmc=Shopzilla-_-Marketing+Link-_--1-_-default
"
8,"http://www.boscovs.com/
"
9,"http://www.deepdiscount.com
"
10,"http://www.displays2go.com
"
11,"http://www.freshnless.com
"
12,"http://www.halloweencostumesupplystore.com
"
13,"http://www.musiciansfriend.com/srs7/src=3WBZ4DS/g=home/content/cb/index
"
14,"http://www.respiratorycarestore.com/
"
15,"http://www.sportscollectibles.com
"
16,"http://www.walmart.com
"
17,"http://www.winechateau.com
"
18,"https://AutographsForSale.com
"
19,"https://www.MostlyDead.com
"
20,"https://www.fun.com
"
21,"https://www.secondsale.com
"
22,"https://www.trouva.com/
"
