,Shops
0,"http://brittandjules.com
"
1,"http://livingsocial.com
"
2,"http://poshmark.com
"
3,"http://reslat.com
"
4,"http://samsclub.com
"
5,"http://shop.mlb.com/
"
6,"http://soccer.epicsports.com
"
7,"http://store.nba.com/
"
8,"http://store.yahoo.com/cgi-bin/clink?dragonballzcentral+eBT9Zm+index.html
"
9,"http://store.yahoo.com/cgi-bin/clink?opticsplanet+2FJqzq+index.html
"
10,"http://strongsupplementshop.com
"
11,"http://www.Adorama.com
"
12,"http://www.CenturyNovelty.com
"
13,"http://www.DisneyStore.com
"
14,"http://www.Educents.com
"
15,"http://www.MidwayUSA.com
"
16,"http://www.abt.com
"
17,"http://www.allposters.com
"
18,"http://www.amazon.com
"
19,"http://www.amazon.com/
"
20,"http://www.americanbookwarehouse.com
"
21,"http://www.autogeek.net
"
22,"http://www.autopia-carcare.com
"
23,"http://www.backcountry.com/index.html?CP=BizRateSurvey&SPC-BizRate&mv_pc=r111&GCID=C2000x023
"
24,"http://www.backinthesaddle.com/
"
25,"http://www.basspro.com/servlet/catalog.OnlineShopping?hvarAID=bizrate&cm_mmc=Shopzilla-_-Marketing+Link-_--1-_-default
"
26,"http://www.beallsflorida.com
"
27,"http://www.belk.com/
"
28,"http://www.bhphotovideo.com/?BI=82
"
29,"http://www.birchbox.com
"
30,"http://www.boscovs.com/
"
31,"http://www.build.com
"
32,"http://www.cellphonecases.com
"
33,"http://www.checkoutstore.com
"
34,"http://www.chewy.com
"
35,"http://www.christianbookbag.com
"
36,"http://www.cokesbury.com
"
37,"http://www.cpooutlets.com
"
38,"http://www.crazycarlsdeals.com
"
39,"http://www.cymax.com/
"
40,"http://www.deepdiscount.com
"
41,"http://www.dell.com
"
42,"http://www.doversaddlery.com
"
43,"http://www.emerchantoutlet.com
"
44,"http://www.familyleisure.com
"
45,"http://www.gamestop.com
"
46,"http://www.groupon.com
"
47,"http://www.homedepot.com
"
48,"http://www.homegoodscenter.com
"
49,"http://www.houzz.com
"
50,"http://www.hpshopping.com/cgi-bin/shopping/site_entrance.cgi?template_type=Home&aoid=9142
"
51,"http://www.interstatemusic.com
"
52,"http://www.jcpenney.com/
"
53,"http://www.joylot.com
"
54,"http://www.kohls.com
"
55,"http://www.kotulas.com
"
56,"http://www.lenovo.com/think/us/en/
"
57,"http://www.macys.com
"
58,"http://www.musiciansfriend.com/srs7/src=3WBZ4DS/g=home/content/cb/index
"
59,"http://www.northerntool.com/
"
60,"http://www.oceansmall.net
"
61,"http://www.officefurniture2go.com
"
62,"http://www.onlinemegamall.com
"
63,"http://www.qvc.com/
"
64,"http://www.respiratorycarestore.com/
"
65,"http://www.rosegal.com
"
66,"http://www.sawesometoys.com
"
67,"http://www.shindigz.com
"
68,"http://www.society6.com/
"
69,"http://www.softwarecw.com
"
70,"http://www.stumpsparty.com
"
71,"http://www.thinkcooltoys.com
"
72,"http://www.totallyfurniture.com/
"
73,"http://www.trivoshop.com
"
74,"http://www.tschome.com
"
75,"http://www.tscshops.com
"
76,"http://www.tsctoys.com
"
77,"http://www.valleyvet.com
"
78,"http://www.walmart.com
"
79,"http://www.warehousespot.com
"
80,"http://www.wayfair.com
"
81,"http://www.webstaurantstore.com
"
82,"http://www.wholesurgical.com/
"
83,"http://www.winechateau.com
"
84,"http://www.youngexplorers.com/
"
85,"http://www.zazzle.com
"
86,"http://www.zoro.com
"
87,"http://www.zoro1.com
"
88,"http://www.zulily.com
"
89,"https://AutographsForSale.com
"
90,"https://gg-decor.com/
"
91,"https://modelights.com/
"
92,"https://renewgoo.com/
"
93,"https://www.aosom.com
"
94,"https://www.costway.com/
"
95,"https://www.datavision.com
"
96,"https://www.dhgate.com/
"
97,"https://www.eneba.com
"
98,"https://www.epicpetster.com
"
99,"https://www.fun.com
"
100,"https://www.gamedownload247.com
"
101,"https://www.hayneedle.com
"
102,"https://www.homedepot.com
"
103,"https://www.raise.com/
"
104,"https://www.secondsale.com
"
105,"https://www.sportsmans.com/
"
106,"https://www.thepcconnectstorellc.com/
"
107,"https://www.toyorb.com
"
108,"https://www.trouva.com/
"
