,Shops
0,"http://brittandjules.com
"
1,"http://buymbs.com
"
2,"http://carhartt.com
"
3,"http://clickserve.cc-dt.com/link/click?lid=41000000005587322
"
4,"http://gate4great.info/
"
5,"http://holabirdsports.com
"
6,"http://livingsocial.com
"
7,"http://luxycouture.com
"
8,"http://parkseed.com
"
9,"http://poshmark.com
"
10,"http://samsclub.com
"
11,"http://soccer.epicsports.com
"
12,"http://store.yahoo.com/cgi-bin/clink?landfallnav+jqfRKG+index.html
"
13,"http://store.yahoo.com/cgi-bin/clink?opticsplanet+2FJqzq+index.html
"
14,"http://svmoscow.com
"
15,"http://tires-guru.com
"
16,"http://ullapopken.com/
"
17,"http://www.Adorama.com
"
18,"http://www.Campmor.com
"
19,"http://www.DisneyStore.com
"
20,"http://www.Educents.com
"
21,"http://www.Fanatics.com
"
22,"http://www.JustArtifacts.net
"
23,"http://www.MidwayUSA.com
"
24,"http://www.PartySpin.com
"
25,"http://www.SchoolOutfitters.com
"
26,"http://www.UtahSkis.com
"
27,"http://www.abt.com
"
28,"http://www.albeebaby.com
"
29,"http://www.allposters.com
"
30,"http://www.amazon.com
"
31,"http://www.amazon.com/
"
32,"http://www.aninebing.com/
"
33,"http://www.appoutdoors.com
"
34,"http://www.autoanything.com/car_truck_accessories.aspx?kc=BR351
"
35,"http://www.autogeek.net
"
36,"http://www.autopia-carcare.com
"
37,"http://www.backcountry.com/index.html?CP=BizRateSurvey&SPC-BizRate&mv_pc=r111&GCID=C2000x023
"
38,"http://www.barenecessities.com/csi/default.asp?source=bizrate&term=ratings
"
39,"http://www.basspro.com/servlet/catalog.OnlineShopping?hvarAID=bizrate&cm_mmc=Shopzilla-_-Marketing+Link-_--1-_-default
"
40,"http://www.beallsflorida.com
"
41,"http://www.belk.com/
"
42,"http://www.bizchair.com
"
43,"http://www.bluefly.com
"
44,"http://www.bnbtobacco.com
"
45,"http://www.boscovs.com/
"
46,"http://www.brownells.com
"
47,"http://www.build.com
"
48,"http://www.cellphonecases.com
"
49,"http://www.charlotterusse.com
"
50,"http://www.chewy.com
"
51,"http://www.coolibar.com
"
52,"http://www.crazycarlsdeals.com
"
53,"http://www.crutchfield.com/I-rbizc000/index.html
"
54,"http://www.deepdiscount.com
"
55,"http://www.denniskirk.com
"
56,"http://www.designeroptics.com
"
57,"http://www.discounttiredirect.com
"
58,"http://www.displays2go.com
"
59,"http://www.doversaddlery.com
"
60,"http://www.eclipseillumination.com
"
61,"http://www.emerchantoutlet.com
"
62,"http://www.fansedge.com/
"
63,"http://www.faucetdirect.com?/source=bizrate
"
64,"http://www.funridingtoys.com
"
65,"http://www.golfworks.com
"
66,"http://www.groupon.com
"
67,"http://www.halloweencostumesupplystore.com
"
68,"http://www.hautelook.com
"
69,"http://www.heartratemonitorsusa.com
"
70,"http://www.homedepot.com
"
71,"http://www.hottopic.com
"
72,"http://www.houzz.com
"
73,"http://www.ifixit.com
"
74,"http://www.indochino.com
"
75,"http://www.jcpenney.com/
"
76,"http://www.johnnyseeds.com
"
77,"http://www.katom.com
"
78,"http://www.kohls.com
"
79,"http://www.kotulas.com
"
80,"http://www.kungfu4less.com
"
81,"http://www.larsonelectronics.com
"
82,"http://www.layoffpain.com/
"
83,"http://www.lightingdirect.com
"
84,"http://www.llbean.com/
"
85,"http://www.lockandhinge.com
"
86,"http://www.lyst.com
"
87,"http://www.macys.com
"
88,"http://www.mobilityequip.com/
"
89,"http://www.motoin.de/index.php?language=en
"
90,"http://www.mountainsteals.com
"
91,"http://www.net-a-porter.com
"
92,"http://www.netnutri.com
"
93,"http://www.nordstrom.com
"
94,"http://www.nordstromrack.com
"
95,"http://www.northerntool.com/
"
96,"http://www.oceansmall.net
"
97,"http://www.onlinelivingaids.com/
"
98,"http://www.onlinemegamall.com
"
99,"http://www.overstock.com/cgi-bin/d2.cgi?cid=19516&fp=f
"
100,"http://www.partsgeek.com
"
101,"http://www.personalcreations.com/x_e.asp?r=PCBZRT
"
102,"http://www.peterglenn.com
"
103,"http://www.proboardshop.com
"
104,"http://www.ritzcamera.com
"
105,"http://www.rosegal.com
"
106,"http://www.royalrobbins.com
"
107,"http://www.rue21.com/
"
108,"http://www.saferwholesale.com
"
109,"http://www.sawesometoys.com
"
110,"http://www.sears.com/sr/entry.jsp?eid=2&sid=I0083000010000100286
"
111,"http://www.shoemall.com
"
112,"http://www.sneakerhead.com
"
113,"http://www.society6.com/
"
114,"http://www.sportscollectibles.com
"
115,"http://www.sportsmanslogistics.com
"
116,"http://www.ssense.com
"
117,"http://www.stomabags.com/
"
118,"http://www.swimoutlet.com
"
119,"http://www.the-house.com
"
120,"http://www.thefryecompany.com/
"
121,"http://www.thesensorconnection.com
"
122,"http://www.thredup.com
"
123,"http://www.tirerack.com
"
124,"http://www.tires-bestprices.com
"
125,"http://www.tires-easy.com
"
126,"http://www.titlenine.com
"
127,"http://www.topman.com
"
128,"http://www.trivoshop.com
"
129,"http://www.tscshops.com
"
130,"http://www.tsctoys.com
"
131,"http://www.underarmour.com
"
132,"http://www.valleyvet.com
"
133,"http://www.vandykes.com
"
134,"http://www.vidaxl.com
"
135,"http://www.vivaterra.com
"
136,"http://www.voler.com
"
137,"http://www.walmart.com
"
138,"http://www.warehousespot.com
"
139,"http://www.wholesurgical.com/
"
140,"http://www.woundtx.com/
"
141,"http://www.yoox.com
"
142,"http://www.zappos.com
"
143,"http://www.zazzle.com
"
144,"http://www.zoro.com
"
145,"http://www.zulily.com
"
146,"http://x31sports.com
"
147,"https://dadancycles.com
"
148,"https://goop.com
"
149,"https://ironandresin.com/
"
150,"https://pstpoolsupplies.com
"
151,"https://renewgoo.com/
"
152,"https://selletonscales.com
"
153,"https://shop.ballislife.com
"
154,"https://swagtron.com
"
155,"https://thevacuumfactory.com
"
156,"https://www.alphabetdeal.com
"
157,"https://www.aosom.com
"
158,"https://www.balfour.com
"
159,"https://www.campsaver.com
"
160,"https://www.chicksaddlery.com
"
161,"https://www.christmasdesigners.com/
"
162,"https://www.cjponyparts.com/
"
163,"https://www.costbuys.com
"
164,"https://www.costway.com/
"
165,"https://www.cozzoo.com/
"
166,"https://www.crowdcontrolstore.com
"
167,"https://www.discountmugs.com
"
168,"https://www.epicpetster.com
"
169,"https://www.factorydirecthardware.com
"
170,"https://www.fun.com
"
171,"https://www.hayneedle.com
"
172,"https://www.hibbett.com/
"
173,"https://www.hlsproparts.com
"
174,"https://www.homedepot.com
"
