,Shops
0,"http://brittandjules.com
"
1,"http://carhartt.com
"
2,"http://livingsocial.com
"
3,"http://poshmark.com
"
4,"http://samsclub.com
"
5,"http://shop.mlb.com/
"
6,"http://store.yahoo.com/cgi-bin/clink?opticsplanet+2FJqzq+index.html
"
7,"http://www.Adorama.com
"
8,"http://www.Fanatics.com
"
9,"http://www.ReStockIt.com
"
10,"http://www.allposters.com
"
11,"http://www.amazon.com
"
12,"http://www.amazon.com/
"
13,"http://www.bizchair.com
"
14,"http://www.boscovs.com/
"
15,"http://www.buybizsupplies.com
"
16,"http://www.cleanitsupply.com
"
17,"http://www.emerchantoutlet.com
"
18,"http://www.fansedge.com/
"
19,"http://www.groupon.com
"
20,"http://www.homedepot.com
"
21,"http://www.houzz.com
"
22,"http://www.jerrysartarama.com
"
23,"http://www.kohls.com
"
24,"http://www.macys.com
"
25,"http://www.memorablegifts.com
"
26,"http://www.officesupersavers.com
"
27,"http://www.onlinelivingaids.com/
"
28,"http://www.onlinemegamall.com
"
29,"http://www.qvc.com/
"
30,"http://www.respiratorycarestore.com/
"
31,"http://www.shelhealth.com
"
32,"http://www.ssense.com
"
33,"http://www.teamstores.com
"
34,"http://www.teamusashop.com/
"
35,"http://www.tschome.com
"
36,"http://www.walmart.com
"
37,"http://www.wayfair.com
"
38,"http://www.webstaurantstore.com
"
39,"http://www.whateverworks.com/
"
40,"http://www.woundtx.com/
"
41,"http://www.zoro.com
"
42,"https://www.homedepot.com
"
43,"https://www.marketcol.com
"
44,"https://www.porterelectronics.com
"
45,"https://www.secondsale.com
"
46,"https://www.tillys.com
"
47,"https://www.toolnut.com/?utm_source=shopzilla&utm_medium=cse
"
48,"https://www.trouva.com/
"
49,"www.nflshop.com
"
