,Shops
0,"http://livingsocial.com
"
1,"http://poshmark.com
"
2,"http://www.Adorama.com
"
3,"http://www.abt.com
"
4,"http://www.amazon.com
"
5,"http://www.amazon.com/
"
6,"http://www.autoanything.com/car_truck_accessories.aspx?kc=BR351
"
7,"http://www.basspro.com/servlet/catalog.OnlineShopping?hvarAID=bizrate&cm_mmc=Shopzilla-_-Marketing+Link-_--1-_-default
"
8,"http://www.bhphotovideo.com/?BI=82
"
9,"http://www.bossaudio.com
"
10,"http://www.crazycarlsdeals.com
"
11,"http://www.crutchfield.com/I-rbizc000/index.html
"
12,"http://www.emerchantoutlet.com
"
13,"http://www.homedepot.com
"
14,"http://www.musiciansfriend.com/srs7/src=3WBZ4DS/g=home/content/cb/index
"
15,"http://www.oralprecision.com/
"
16,"http://www.peazz.com
"
17,"http://www.respiratorycarestore.com/
"
18,"http://www.sonicelectronix.com
"
19,"http://www.tschome.com
"
20,"http://www.walmart.com
"
21,"http://www.wayfair.com
"
22,"http://www.webstaurantstore.com
"
23,"https://www.homedepot.com
"
24,"www.crutchfield.com
"
