,Shops
0,"http://gate4great.info/
"
1,"http://poshmark.com
"
2,"http://www.amazon.com
"
3,"http://www.amazon.com/
"
4,"http://www.boscovs.com/
"
5,"http://www.deepdiscount.com
"
6,"http://www.lightingdirect.com
"
7,"http://www.macys.com
"
8,"http://www.musiciansfriend.com/srs7/src=3WBZ4DS/g=home/content/cb/index
"
9,"http://www.personalcreations.com/x_e.asp?r=PCBZRT
"
10,"http://www.underarmour.com
"
11,"http://www.walmart.com
"
12,"http://www.wayfair.com
"
13,"http://www.zazzle.com
"
14,"http://www.zulily.com
"
15,"https://www.fun.com
"
16,"https://www.secondsale.com
"
17,"https://www.trouva.com/
"
