,Shops
0,"http://amazonmicrousa.com
"
1,"http://livingsocial.com
"
2,"http://www.Adorama.com
"
3,"http://www.amazon.com
"
4,"http://www.amazon.com/
"
5,"http://www.bhphotovideo.com/?BI=82
"
6,"http://www.dell.com
"
7,"http://www.emerchantoutlet.com
"
8,"http://www.hpshopping.com/cgi-bin/shopping/site_entrance.cgi?template_type=Home&aoid=9142
"
9,"http://www.layoffpain.com/
"
10,"http://www.lenovo.com/think/us/en/
"
11,"http://www.newegg.com
"
12,"http://www.oceansmall.net
"
13,"http://www.onlinelivingaids.com/
"
14,"http://www.respiratorycarestore.com/
"
15,"http://www.serversupply.com
"
16,"http://www.sonicelectronix.com
"
17,"http://www.walmart.com
"
18,"http://www1.us.dell.com/content/
"
19,"https://hexadash.com/
"
20,"https://www.allhdd.com
"
21,"https://www.dhgate.com/
"
