,Shops
0,"http://alexnld.com
"
1,"http://amazonmicrousa.com
"
2,"http://brittandjules.com
"
3,"http://gate4great.info/
"
4,"http://gurneys.com
"
5,"http://industrial-meters.com
"
6,"http://livingsocial.com
"
7,"http://poshmark.com
"
8,"http://samsclub.com
"
9,"http://store.yahoo.com/cgi-bin/clink?landfallnav+jqfRKG+index.html
"
10,"http://www.Adorama.com
"
11,"http://www.AtticTrunk.com
"
12,"http://www.DrsFosterSmith.com
"
13,"http://www.ElectricGeneratorDepot.com
"
14,"http://www.Fanatics.com
"
15,"http://www.LambertVetSupply.com
"
16,"http://www.PartySpin.com
"
17,"http://www.PulseTV.com
"
18,"http://www.ReStockIt.com
"
19,"http://www.SchoolOutfitters.com
"
20,"http://www.abt.com
"
21,"http://www.agrisupply.com
"
22,"http://www.allposters.com
"
23,"http://www.amazon.com
"
24,"http://www.amazon.com/
"
25,"http://www.autoanything.com/car_truck_accessories.aspx?kc=BR351
"
26,"http://www.autogeek.net
"
27,"http://www.autopartswarehouse.com
"
28,"http://www.backcountry.com/index.html?CP=BizRateSurvey&SPC-BizRate&mv_pc=r111&GCID=C2000x023
"
29,"http://www.basspro.com/servlet/catalog.OnlineShopping?hvarAID=bizrate&cm_mmc=Shopzilla-_-Marketing+Link-_--1-_-default
"
30,"http://www.belk.com/
"
31,"http://www.bestmaterials.com
"
32,"http://www.bhphotovideo.com/?BI=82
"
33,"http://www.bizchair.com
"
34,"http://www.blendmount.com
"
35,"http://www.bluecosmo.com
"
36,"http://www.boscovs.com/
"
37,"http://www.brownells.com
"
38,"http://www.build.com
"
39,"http://www.bulbamerica.com
"
40,"http://www.buybizsupplies.com
"
41,"http://www.carcovers.com
"
42,"http://www.carparts.com
"
43,"http://www.cellphonecases.com
"
44,"http://www.cpooutlets.com
"
45,"http://www.crateandbarrel.com
"
46,"http://www.crazycarlsdeals.com
"
47,"http://www.crutchfield.com/I-rbizc000/index.html
"
48,"http://www.deepdiscount.com
"
49,"http://www.dell.com
"
50,"http://www.denniskirk.com
"
51,"http://www.designeroptics.com
"
52,"http://www.directvapor.com
"
53,"http://www.discountcatheters.com/
"
54,"http://www.displays2go.com
"
55,"http://www.doversaddlery.com
"
56,"http://www.eclipseillumination.com
"
57,"http://www.efaucets.com
"
58,"http://www.electricsuppliesonline.com
"
59,"http://www.elitemetaltools.com
"
60,"http://www.emerchantoutlet.com
"
61,"http://www.energysavinglighting.com
"
62,"http://www.envirobarrier.com
"
63,"http://www.faucetdirect.com?/source=bizrate
"
64,"http://www.freshnless.com
"
65,"http://www.freshwatersystems.com
"
66,"http://www.gardensalive.com
"
67,"http://www.grandinroad.com/jump.jsp?itemID=163&itemType=HOME_PAGE&k=ZZ50922
"
68,"http://www.groupon.com
"
69,"http://www.halloweencostumesupplystore.com
"
70,"http://www.heartratemonitorsusa.com
"
71,"http://www.homeclick.com/default.asp?&tl=BIZRATE&mafid=4530
"
72,"http://www.homedepot.com
"
73,"http://www.homegoodscenter.com
"
74,"http://www.houzz.com
"
75,"http://www.interstatemusic.com
"
76,"http://www.jcpenney.com/
"
77,"http://www.johnnyseeds.com
"
78,"http://www.katom.com
"
79,"http://www.kinkytoy.store
"
80,"http://www.kmart.com
"
81,"http://www.kohls.com
"
82,"http://www.kotulas.com
"
83,"http://www.lampsplus.com/source.asp?a=17528
"
84,"http://www.larsonelectronics.com
"
85,"http://www.layoffpain.com/
"
86,"http://www.lightingdirect.com
"
87,"http://www.lightingsquad.com
"
88,"http://www.lightsonline.com
"
89,"http://www.lockandhinge.com
"
90,"http://www.macys.com
"
91,"http://www.magellans.com
"
