,Shops
0,"http://parkseed.com
"
1,"http://www.BarristerBooks.com
"
2,"http://www.Educents.com
"
3,"http://www.allposters.com
"
4,"http://www.amazon.com
"
5,"http://www.amazon.com/
"
6,"http://www.americanbookwarehouse.com
"
7,"http://www.authenticwatches.com
"
8,"http://www.belk.com/
"
9,"http://www.build.com
"
10,"http://www.christianbookbag.com
"
11,"http://www.deepdiscount.com
"
12,"http://www.deluxe.com
"
13,"http://www.emerchantoutlet.com
"
14,"http://www.faucetdirect.com?/source=bizrate
"
15,"http://www.freshnless.com
"
16,"http://www.halloweencostumesupplystore.com
"
17,"http://www.interstatemusic.com
"
18,"http://www.katespade.com
"
19,"http://www.lightingdirect.com
"
20,"http://www.lyst.com
"
21,"http://www.musiciansfriend.com/srs7/src=3WBZ4DS/g=home/content/cb/index
"
22,"http://www.partycheap.com
"
23,"http://www.sportscollectibles.com
"
24,"http://www.ssense.com
"
25,"http://www.walmart.com
"
26,"http://www.wayfair.com
"
27,"http://www.wholesurgical.com/
"
28,"http://www.winechateau.com
"
29,"http://www.zazzle.com
"
30,"https://www.secondsale.com
"
31,"https://www.trouva.com/
"
32,"www.ssense.com
"
